Name,Riskiness R
ACIM,[0.14299961]
BJK,[1.14304578e+13]
CIL,[0.12390762]
CUT,[1.43998314]
DBAW,[0.3047053]
DEW,[1.30365771]
DNL,[2.74234729e+12]
DOO,[1.61317917e+13]
DUST,[4.42785178e+13]
EFZ,[4.81476842e+12]
EXI,[0.16032699]
FAN,[0.54924902]
FILL,[1.83603293e+13]
FPA,[0.34178887]
FYLD,[1.33425226e+13]
GEX,[2.08877908e+13]
GOEX,[0.81829622]
GRES,[2.79763003e+12]
GRID,[0.96091622]
HAP,[7.81889332e+12]
IDHQ,[3.1608312]
IPKW,[0.14475148]
IQDE,[1.48535747e+13]
IQDY,[4.35675955e+12]
ISRA,[8.60517736e+12]
JDST,[3.60744758]
LVL,[4.4103162e+12]
NLR,[7.7047004e+11]
PIO,[1.23259688e+13]
PIZ,[1.24377653e+13]
PZD,[0.84813088]
RING,[1.37422878]
SEA,[5.20290571e+13]
SILJ,[1.07159856]
VEGI,[2.60105685]
YMLP,[1.31591091]
