Name,Riskiness R
AMJ,3843775030713.118
AMLP,28920378973150.535
AMU,12111963997674.79
ATMP,2.661961700469629
DDG,884799482989.3254
DIG,10882817005716.727
DUG,1059706377525.5427
ENFR,127531418291.35895
ENY,42936552881043.84
ERY,0.009919382236169219
FAN,0.5492490171430268
FCG,0.08663381584178856
FENY,20756293814017.465
FILL,17602807925164.824
FRAK,12761147416353.012
FXN,43250340608061.7
GASL,0.001733832108189665
GEX,4797414240466.914
GREK,19977468195061.816
GRID,0.9609140772236431
ICLN,12798989468842.104
IEO,19441465656927.098
IEZ,15950602806880.004
IMLP,17427089160775.354
IXC,9872469649719.562
IYE,10803362492749.734
KOL,9250951807017.484
MLPA,1795756212023.4912
MLPC,13805654105630.078
MLPG,3029408324772.4507
MLPI,6504704637760.869
MLPY,10142699663773.453
NLR,0.00021798574884237103
OIH,17706168709530.812
PBD,24224792269017.258
PBW,57419729557337.32
PSCE,21745230307.819103
PUW,23090461994624.766
PXE,12447951029813.484
PXI,24361624623642.97
PXJ,12320659668543.05
PZD,0.8481308821842196
QCLN,10172400296213.996
RYE,10094787393868.86
TAN,63266422115474.8
VDE,26124021258957.18
XES,14312656170840.262
XLE,2482697781327.714
XOP,7334312689657.893
YMLI,2851879360872.0737
YMLP,1.3159109072876185
ZMLP,13767964505608.855
