Name,Riskiness R
AGF,[1.26017939e+13]
AGQ,[5.20498203e+08]
BCM,[1.38123686e+13]
BDD,[1.68292368e+12]
BNO,[9.91276333e+13]
BOIL,[1.45402952e+14]
BOM,[4.70448562e+08]
BOS,[18.28091989]
CANE,[9.89844016e+12]
CORN,[7.33196097e+13]
CPER,[2.28639178e+13]
DAG,[1.94363544e+13]
DBA,[4.51550129e+13]
DBB,[1.31373882e+12]
DBC,[1.43912025e+13]
DBE,[9.44915935e+13]
DBO,[2.43239483e+13]
DBP,[1.77531591e+13]
DBS,[4.22327467e+12]
DDP,[0.19683535]
DGAZ,[1.2804561]
DGL,[2.98615864e+12]
DGLD,[3.25758115e+12]
DGP,[3.39871246e+12]
DGZ,[4.58201766e+12]
DJCI,[1.6105347e+13]
DJP,[1.38483984e+13]
DSLV,[9.2579738e+11]
DTO,[0.298791]
DYY,[1.73393364e+14]
DZZ,[3.31012976e+12]
FTGC,[8.14218082e+13]
FUD,[8.93508842e+12]
FUE,[4.95565296e+13]
GCC,[1.83278982e+13]
GLD,[1.80077438e+12]
GLL,[1.05409613e+13]
GLTR,[3.03878085e+12]
GRU,[6.48354476e+13]
GSC,[7.24702932e+13]
GSG,[1.98960906e+13]
GSP,[2.32861947e+13]
IAU,[8.87159958e+11]
KOLD,[0.48995612]
LD,[1.14001396]
NIB,[1.48614674e+13]
OLEM,[1.18768161e+14]
OLO,[2.81384732e+13]
OUNZ,[3.22958837e+12]
PALL,[3.53788641]
PPLT,[1.11102055e+13]
RJA,[1.8391155e+13]
RJI,[1.54227494e+13]
RJN,[1.12748381e+14]
RJZ,[1.3169438e+13]
SCO,[0.61592269]
SGOL,[1.17916433e+12]
SIVR,[7.95113313e+12]
SLV,[9.91155154e+12]
SZO,[0.17849773]
TAGS,[2.84743639e+13]
UAG,[1.27998903e+13]
UBG,[3.59893646e+12]
UCI,[1.26605704e+13]
UCO,[5.05519399e+13]
UGA,[1.53827516e+14]
UGL,[6.04034546e+11]
UGLD,[1.31764663]
UNG,[4.18347278]
UNL,[4.4749118e+13]
USCI,[2.1604439e+13]
USL,[2.59532545e+13]
USLV,[1.51923774]
USO,[3.43563949e+13]
USV,[1.97555895e+13]
ZSL,[1.89485046e+13]
