Name,Riskiness R
CHIM,[0.36921447]
COPX,[2.85238763e+12]
CROP,[0.10103584]
CUT,[0.22948776]
DUST,[1.01739317e+13]
FLM,[0.90178056]
FMAT,[0.35186283]
FTAG,[2.0659519]
FXZ,[0.30159546]
GDX,[4.87094973]
GDXJ,[2.99163676]
GNR,[8.34248694e+12]
GOEX,[0.93353264]
GRES,[3.66318828e+12]
GUNR,[1.21762376e+13]
HAP,[4.4079778e+12]
IGE,[4.22290421e+13]
ITB,[0.17890568]
IYM,[1.034685]
JDST,[3.43541974]
JNUG,[5.05654629e+12]
LIT,[0.73496461]
MOO,[0.74266541]
MXI,[1.25451113e+13]
NUGT,[1.91756545]
PAGG,[2.77334722e+12]
PICK,[1.21075697e+13]
PKB,[0.16043287]
PSAU,[6.50152435]
PSCM,[2.12691742]
PYZ,[0.64687808]
REMX,[3.51581705e+13]
RING,[1.61039833]
RTM,[0.30425116]
SBM,[1.03823522e+13]
SIL,[5.40138289]
SILJ,[1.60728685]
SLVP,[2.13589096]
SLX,[35.70813232]
SMN,[1.28257544e+09]
SOIL,[8.12678928e+12]
UYM,[1.37373359]
VAW,[0.37248504]
VEGI,[1.24896777e+12]
XHB,[0.30048383]
XME,[1.00521615e+13]
