Name,Riskiness R
ARKK,[0.14078395]
ARKW,[0.08608577]
CQQQ,[0.19581854]
FDN,[0.06957292]
FTEC,[0.06312745]
FXL,[0.07734835]
IEUS,[0.10396949]
IGM,[0.0571323]
IGN,[0.13868895]
IGV,[0.06131778]
ISRA,[1.07436919e+12]
IXN,[0.0599492]
KWEB,[0.22230913]
PNQI,[0.07842242]
PSCT,[0.04875293]
PSJ,[0.05369118]
PTF,[0.09353879]
PXQ,[0.14765897]
QQQ,[0.06999325]
QTEC,[0.06822346]
REW,[2.75274024e+13]
ROBO,[0.07787756]
ROM,[0.38826145]
RYT,[0.0594711]
SKYY,[0.06880337]
SMH,[0.08432267]
SOCL,[0.09187617]
SOXL,[0.22823333]
SOXX,[0.07430186]
SSG,[6.76590595e+13]
TDIV,[0.11248824]
TECL,[0.18085538]
TECS,[8.91347496e+13]
USD,[0.7480093]
VGT,[0.06124776]
XLK,[0.05966858]
XNTK,[0.06580866]
XSD,[0.07264133]
XSW,[0.07980996]
