Name,Riskiness R
DRN,[1.19883373e+11]
DRV,[0.30205941]
DRW,[0.19256413]
FFR,[3.87955444e+12]
FREL,[4.03591865e+11]
FRI,[2.47278344e+12]
GQRE,[1.17008476]
GRI,[3.61746617e+12]
ICF,[8.72237792e+11]
IFEU,[2.58065499]
IFGL,[1.02650737]
IYR,[3.00712537e+11]
KBWY,[9.521254]
MORL,[0.42204205]
MORT,[0.29137659]
PSR,[3.42729517]
REET,[2.85184908e+12]
REK,[1.32277915e+13]
REM,[0.21729185]
ROOF,[2.16754264e+12]
RWO,[7.33685123e+12]
RWR,[5.07780343e+12]
RWX,[9.06326109e+11]
SCHH,[7.01313066e+12]
SRS,[1.05510784e+13]
TAO,[0.18284408]
URE,[1.11252674]
USRT,[1.32948997e+12]
VNQ,[2.89078605e+12]
VNQI,[0.23429719]
WPS,[3.7742882e+12]
WREI,[2.21715979e+12]
