Name,Riskiness R
AAXJ,[0.09078552]
ADRE,[0.09661566]
AFTY,[2.46571978]
AIA,[0.07461282]
ASEA,[0.08965985]
ASHR,[2.87699985]
ASHS,[1.29072371e+13]
AXJV,[0.42914312]
CHAD,[7.36859086e+12]
CHAU,[0.97312042]
CHIE,[0.18302127]
CHII,[0.5590398]
CHIM,[0.13510211]
CHIQ,[0.18260375]
CN,[0.24769458]
CNXT,[1.05107022e+13]
CQQQ,[0.1297636]
CXSE,[0.12845437]
DBEM,[0.07552613]
DEM,[0.13593735]
DGRE,[0.10364238]
DGS,[0.10213104]
ECNS,[0.24213032]
EDC,[0.35341187]
EDIV,[0.14134238]
EDZ,[3.28132993]
EEM,[0.10635135]
EEMA,[0.08352983]
EEMV,[0.09494993]
EET,[0.21688747]
EEV,[6.87004138e+11]
EIDO,[0.15642212]
EMQQ,[0.11948739]
EPHE,[4.19091041e+12]
EUM,[3.11140123e+13]
EWM,[0.22549035]
EWX,[0.11143578]
FCA,[0.14965923]
FEM,[0.10389822]
FEMS,[0.12257829]
FNI,[0.13456465]
FXI,[0.21592187]
FXP,[99623698.2173265]
GMF,[0.08686395]
GXC,[0.12972111]
HAO,[0.24059472]
IDX,[0.15044502]
INCO,[0.21325043]
INDA,[0.32358761]
INDL,[0.87652631]
INXX,[0.50585385]
KBA,[1.13648122e+13]
KFYP,[0.28096001]
KWEB,[0.16161358]
MCHI,[0.14011446]
PEK,[8.97483781]
PGJ,[0.15627929]
PIE,[0.21157215]
PIN,[0.25364544]
SCIF,[3.35275979]
SCIN,[3.22596811]
SMIN,[0.49899699]
SPEM,[0.09572726]
THD,[0.0888712]
VNM,[0.32872011]
VWO,[0.11832385]
XCEM,[0.119701]
XPP,[0.38230941]
YANG,[4.63931833e+13]
YAO,[0.14091316]
YINN,[0.65136228]
YXI,[5.02847274e+13]
