Name,Riskiness R
AADR,[0.0698049]
COPX,[0.28896783]
CRAK,[0.04418733]
DBAW,[0.0552992]
ECON,[4.02605302]
EDC,[0.35341187]
EEM,[0.10635135]
EEMS,[0.16162629]
EMCG,[0.28546051]
EMFM,[0.1840938]
FAN,[0.12904339]
FIEG,[0.18969119]
FLN,[0.21341935]
FM,[0.23110702]
FNDE,[0.09615246]
FONE,[0.07054523]
FPXI,[0.10144046]
FWDI,[0.1489079]
GDXJ,[0.44334887]
GDXS,[7.25525938e+13]
HAWX,[0.09364646]
HEEM,[0.09303372]
HILO,[0.10774431]
ICLN,[1.0314818e+11]
IEMG,[0.10157272]
IFV,[0.1682596]
IQDF,[0.10146145]
JDST,[5.82159109e+13]
KOL,[0.14322915]
LIT,[0.07937329]
PICK,[0.18745415]
QEMM,[0.09646741]
SIL,[0.56576744]
SLVP,[0.43422654]
SLX,[0.15687602]
SOCL,[0.07987713]
SOIL,[0.18549133]
VIDI,[0.0927522]
