Name,Riskiness R
Alternatives ETF List (35),[0.03759904]
Broad Asia ETF List (44),[0.13445673]
Commodity ETF List (125),[0.13181799]
Consumer Discretionary Equity ETF List (31),[0.0870936]
Consumer Staples Equity ETF List (26),[0.05077324]
Crude Oil ETF List (22),[0.95396362]
Currency ETF List (36),[0.24082719]
Developed Asia Pacific ETF List (108),[0.07444601]
Developed Markets ETF List 1 (100),[0.0663084]
Developed Markets ETF List 2 (100),[0.06305199]
Developed Markets ETF List 3 (93),[0.09542082]
Emerging Asia Pacific ETF List (114),[0.12596283]
Emerging Markets ETF List (79),[0.14077278]
Energy Equity ETF List (80),[0.06588133]
Financials Equity ETF List (51),[0.06218354]
Global ETF List (72),[0.06526741]
Gold ETF List (17),[0.2524212]
Healthcare Equity ETF List (49),[0.06787159]
Industrials Equity ETF List (37),[0.06872177]
Investment Grade Corporate ETF List (50),[0.13824458]
Junk ETF List (43),[0.01888036]
Materials Equity ETF List (62),[0.07343031]
Municipal Bond ETF List (29),[0.06961744]
Preferred Stock ETF List (12),[0.06262879]
Real Estate ETF List (48),[0.06191102]
Target Maturity Date Corporate Bond ETF List (24),[0.05042292]
Technology Equity ETF List (75),[0.05688198]
Telecom Equity ETF List (10),[0.08301788]
Total Bond Market ETF List (82),[7.99617676e+09]
Treasuries ETF List (51),[0.30359359]
Utilities Equity ETF List (24),[0.06181012]
Volatility ETF List (18),[0.63524156]
