Name,Riskiness R
CHIM,[0.5299406]
COPX,[2.04254503]
CROP,[0.56404877]
CUT,[8.15765501e+11]
DUST,[6.31987827e+12]
FLM,[3.2743186e+10]
FMAT,[1.17355114e+11]
FTAG,[3.33932433e+13]
FTRI,[4.32345768e+12]
FXZ,[9.1417583e+10]
GDX,[0.90405959]
GDXJ,[0.65189268]
GNR,[7.82105679e+11]
GOEX,[0.52513838]
GRES,[1.9311494e+12]
GUNR,[7.36523097e+11]
HAP,[2.71626216e+12]
IGE,[2.19522232e+12]
ITB,[1.19627682]
IYM,[2.59457355e+12]
JDST,[6.79280619e+13]
JNUG,[2.47653409]
LIT,[0.35194407]
MOO,[1.08162673e+12]
MXI,[4.34569816e+11]
NUGT,[2.49162035]
PAGG,[1.44360989e+12]
PICK,[1.63031894e+12]
PKB,[0.73273016]
PSAU,[0.91458208]
PSCM,[6.50921079e+11]
PYZ,[9.05337074e+11]
REMX,[8.46576006e+11]
RING,[0.94334722]
RTM,[4.47452219e+11]
SBM,[4.59769615e+12]
SGDM,[1.18759795]
SIL,[1.03926406]
SILJ,[0.58553691]
SLVP,[0.86291345]
SLX,[2.34980522]
SMN,[6.17683811e+12]
SOIL,[4.7209666e+12]
URA,[8.61483817e+12]
UYM,[4.11724309]
VAW,[4.3371708e+11]
VEGI,[5.41164426e+11]
WOOD,[13.29286253]
XHB,[1.08606225e+12]
XLB,[8.55796324e+11]
XME,[8.24040316e+11]
