Name,Riskiness R
ARKK,[0.11254415]
ARKW,[0.07984879]
CQQQ,[0.13225854]
EMQQ,[0.13364169]
FDN,[0.08531059]
FTEC,[0.0777368]
FXL,[0.09669622]
HACK,[0.26243028]
IEUS,[0.08334878]
IGM,[0.07288322]
IGN,[0.13887822]
IGV,[0.07494111]
ISRA,[0.43884367]
IXN,[0.07157748]
IYW,[0.08808746]
KWEB,[0.1394963]
PNQI,[0.08947699]
PSCT,[0.07910013]
PSI,[0.09006046]
PSJ,[0.07625038]
PTF,[0.15291842]
PXQ,[0.13050818]
QQQ,[0.08369788]
QTEC,[0.08248493]
REW,[1.15644208e+13]
ROBO,[0.0764631]
ROM,[0.18152965]
RYT,[0.07246894]
SKYY,[0.07249988]
SMH,[0.08799286]
SOCL,[0.0962637]
SOXL,[0.29498665]
SOXS,[2.84490584e+13]
SOXX,[0.09848297]
SSG,[1.00353721e+13]
TDIV,[0.11922236]
TECL,[0.21920993]
TECS,[1.5329132e+13]
USD,[0.23178572]
VGT,[0.07878789]
XLK,[0.07142128]
XNTK,[0.07517037]
XSD,[0.11185792]
XSW,[0.08840309]
