Name,Riskiness R
AAXJ,168182455592.17032
ADRE,40646241087.27532
AIA,0.4499522544712554
ASEA,697968688037.6714
ASHR,152135051938.84503
ASHS,29489412675.085194
AXJV,0.0034034213042037605
CHIE,2862683016555.3174
CHII,6.271825203714283
CHIM,0.4639744292874796
CHIQ,0.4120053995410482
CHIX,3.9876614806499715
CN,0.8833299906633533
CNXT,3.103839464467897
CQQQ,0.2441422416574335
CXSE,0.257250304932781
DBEM,504810697723.36707
DEM,1662467815839.2837
DGRE,828720261279.4767
DGS,155646916809.53073
ECNS,1.599724873050341
EDC,1.2007060063439978
EDIV,1454708847187.177
EDZ,275805815.854933
EEM,155022144424.90015
EEMA,3.6362928344269236
EEMV,1511064529448.3816
EET,1.2694497845465755
EEV,8963779988788.982
EIDO,1615396974024.0972
EMQQ,0.31064046890018443
EPHE,840724850643.7166
EPI,294548473592.9815
EUM,6144916465010.11
EWM,637257.955437162
EWX,85286639353.37866
FCA,0.5451002149974103
FEM,0.6650632843071633
FEMS,0.5588942801349496
FNI,0.7731982310066804
FXI,165703704162.04706
FXP,4643571595608.053
GMF,1.7794105889562393
GXC,0.6033958660712105
HAO,3.72771574749208
IDX,875546028803.8708
INCO,0.7794067030360285
INDA,0.00017137582178185917
INDL,2.3849324218710617
INDY,442924080671.3987
INXX,315059563945.18964
KBA,364919.23143436684
KFYP,0.4427007932424694
KWEB,0.25658710715531663
MCHI,0.7396689521666149
PEK,1094692167452.4463
PGJ,0.3055155695508586
PIE,648170889903.0801
PIN,1027853665682.7007
SCIF,0.6456491738440475
SCIN,17618826261.563843
SMIN,0.42182417343760403
SPEM,46009614537.11224
THD,548987021635.0122
VNM,4662074055028.332
VWO,1927553969606.3306
XPP,1.7301408485123122
YANG,0.010511976103618804
YAO,1.3447608665874187
YINN,0.01869531228923396
YXI,2826033606094.174
