Name,Riskiness R
CBND,0.0029072179368176917
CORP,25515331656.129494
GSY,3.11510512022525e-05
ICSH,1.8889867226122476e-05
IGHG,1460999187486.357
IGIB,1630534974597.4688
IGSB,2.0175594301644066e-05
LDRI,2432533347873.0894
LQD,35991846.30928722
LQDH,3369933692378.6963
PFIG,2336608106196.8677
QLTA,2772609895451.7344
SKOR,4035197695300.0
SLQD,2282215052772.83
SPIB,2512562156363.212
SPLB,0.00038872475858770954
USIG,4172799693903.4453
VCIT,3010816305048.882
VCLT,0.00033893471481034773
VCSH,2250246672742.178
