Name,Riskiness R
ALTS,602103.1929807845
BTAL,3570657597137.135
CHEP,0.00023154187704523856
CPI,4083914135913.1606
DIVA,2039227585197.4883
DIVY,1159150021921.7231
FLAG,0.00016923835226366225
FMF,0.00036801102758764523
FTLS,0.0002742933742671061
HDG,0.22582101060122728
MCRO,1940933272900.7651
MNA,1960569369273.2847
MOM,0.00017345212725961346
MRGR,1881236585560.2676
QAI,3802275274866.047
QED,0.0003174554616924056
QMN,1686354624834.1875
RALS,2093297689538.5437
RLY,0.00031180688456140413
SIZ,2922625491128.66
WTMF,2875548223128.133
