Name,Riskiness R
AGG,[0.05122465]
AGND,[0.11383638]
AGZD,[0.02493637]
BIV,[0.08165856]
BLV,[0.10971679]
BND,[0.0490912]
BNDX,[0.0258365]
BOND,[0.03951831]
BSV,[0.02660723]
BYLD,[0.0272636]
FBND,[0.03769643]
FCOR,[0.03601803]
FLTB,[0.01792224]
FTSD,[0.02440945]
FWDB,[0.03320352]
GBF,[0.05728613]
GVI,[0.04859405]
HOLD,[0.00466095]
ILTB,[0.0914319]
ISTB,[0.01108797]
IUSB,[0.02779412]
KCNY,[0.05325158]
LDUR,[0.01456809]
MINC,[0.00756836]
MINT,[0.00131068]
NEAR,[0.00229329]
RAVI,[0.00380964]
SAGG,[1.91056687e+12]
SCHZ,[0.04462328]
SPAB,[0.04441912]
TOTL,[0.0242245]
ULST,[0.00371329]
VBND,[0.16626678]
WYDE,[2.61593502e+12]
XMPT,[0.0964533]
