Name,Riskiness R
ADRE,[10.53509119]
BBRC,[1.99915997e+12]
BICK,[2.6426981]
BKF,[7.27776189e+11]
DBEM,[1.60477043e+12]
DEM,[5.18860841e+11]
DGRE,[7.74786259e+11]
DGS,[6.31306252]
DVYE,[1.63445341e+12]
EDC,[1.22990356]
EDIV,[3.76470517e+11]
EDOG,[1.21205983e+12]
EDZ,[2.68374585e+08]
EEB,[2.43040225]
EELV,[1.20345833e+12]
EEM,[1.70471324e+12]
EEMO,[5.28053081e+12]
EEMS,[2.33477925e+12]
EET,[1.2980528]
EEV,[7.98848299e+12]
EMCG,[1.08163967e+12]
EMFM,[1.05411467e+12]
EMIF,[1.61561212e+12]
EMQQ,[0.33418096]
EUM,[1.06734251e+13]
EWEM,[5.86053868e+11]
EWX,[7.35605663e+11]
FEM,[1.17426045e+10]
FEMS,[1.29863794]
FNDE,[3.27323013]
HEEM,[2.63384727e+11]
HILO,[1.94938071e+11]
IEMG,[3.92149744e+11]
JPEM,[1.30129693e+12]
PIE,[4.72151161e+11]
PXH,[5.73823269e+10]
PXR,[8.3790335e+12]
QEMM,[1.40176007e+12]
SCHE,[5.49009241e+11]
SDEM,[6.68372063e+11]
SPEM,[2.61479259e+11]
TLTE,[6.39526583e+11]
VWO,[2.35180243e+11]
XSOE,[1.29366429]
