Name,Riskiness R
ARKG,[1.08221561e+11]
BBC,[5.57386762e+11]
BBH,[2.11816207e+12]
BBP,[6.94416249]
BIB,[999886.48274185]
BIS,[148.19880833]
CURE,[4.30982406]
FBT,[3.4795263e+11]
FHLC,[3.47011348e+11]
FXH,[1.9839071e+13]
IBB,[2.57447572e+12]
IHE,[2.28049965e+12]
IHF,[4.47484534e+11]
IHI,[0.16088135]
IXJ,[2.82899154e+12]
IYH,[1.75181097e+12]
LABD,[9.13417419e+12]
LABU,[5.20263335]
PBE,[7.77763164e+12]
PJP,[2.11956545e+12]
PPH,[1.42870911e+12]
PSCH,[0.2371632]
PTH,[4.90628402]
RXD,[4.49189386e+12]
RXL,[3.09202315e+11]
RYH,[1.36969921e+12]
SBIO,[2.42976355e+11]
UBIO,[1.27978339]
VHT,[4.63752586e+11]
XBI,[3.70260994e+11]
XHE,[0.20233321]
XHS,[2.31763736e+12]
XLV,[1.11374735e+12]
XPH,[8.36108699e+12]
ZBIO,[4.19748158e+11]
