Name,Riskiness R
AADR,[0.09832149]
COPX,[0.33226777]
DBAW,[0.18376617]
ECON,[0.54948416]
EDC,[0.54356715]
EEM,[0.17381226]
EEMS,[0.16735908]
EMCG,[0.23940159]
EMFM,[0.2119443]
FAN,[0.13511028]
FIEG,[0.34461079]
FLN,[0.19049703]
FM,[0.1134017]
FNDE,[0.13702087]
FONE,[0.10933674]
FPA,[0.16649884]
FPXI,[0.12191214]
FWDI,[0.21711491]
GDXJ,[0.27845475]
GDXS,[8.66190398e+12]
HEEM,[0.17025695]
HGI,[0.20030973]
HILO,[0.21810859]
ICLN,[1.2361234]
IEMG,[0.15945509]
IFV,[0.17378182]
IQDF,[0.18348693]
JDST,[7.83927626e+13]
KOL,[0.17353201]
LIT,[0.11635163]
PBD,[0.28699781]
PICK,[0.24050553]
QEMM,[0.15142515]
SIL,[0.30857054]
SLVP,[0.27969273]
SLX,[0.18707194]
SOCL,[0.10312199]
SOIL,[1.19086865]
TLTE,[0.13506358]
VIDI,[0.10772798]
