Name,Riskiness R
BDCL,[0.42381052]
BDCS,[4.02678892]
BDCZ,[3.54416509e+10]
BIZD,[0.55903065]
CHIX,[5.35261889e+10]
DPST,[0.5423761]
DXJF,[1.05369786e+12]
EUFN,[1.04543352e+12]
FAS,[0.3137051]
FAZ,[1.92936181e+13]
FINU,[0.37488386]
FINZ,[2.58155797e+13]
FNCL,[0.25457364]
FXO,[0.3503193]
IAI,[0.2184908]
IAK,[2.74356716]
IAT,[0.2935175]
IXG,[1.67131855]
IYF,[0.30084928]
IYG,[0.24555574]
JHMF,[0.28542716]
KBE,[0.40996843]
KBWB,[0.26925401]
KBWD,[0.87597852]
KBWP,[0.47890892]
KBWR,[0.50150582]
KCE,[0.63079768]
KIE,[0.38731875]
KRE,[0.37085273]
LBDC,[0.45939583]
LMLP,[0.64479724]
PEX,[1.47891715]
PFI,[2.2549443e+11]
PHDG,[9.90690952e+11]
PSCF,[0.2947064]
PSP,[0.7845733]
QABA,[0.4388293]
RWW,[0.37233465]
RYF,[0.13280773]
SEF,[3.23985833e+12]
SKF,[1.69015371e+13]
UYG,[0.26551133]
VFH,[0.23431855]
VQT,[6.90565895e+11]
WDRW,[1.33897229]
XLF,[0.1395334]
