Name,Riskiness R
AMJ,[8.3863825e+11]
AMLP,[9.30100124e+11]
AMU,[1.33471012e+12]
AMUB,[1.33303723]
AMZA,[315.69628042]
ATMP,[1.72684424]
CHIE,[0.74752851]
CRAK,[0.0896148]
DDG,[3.57319256e+12]
DIG,[0.69323282]
DRIP,[8.19531711e+12]
DUG,[1.86276967e+13]
EMLP,[1.63989108e+11]
ENFR,[0.6013699]
ENY,[22.19100833]
ERX,[0.7409786]
ERY,[3.85723387e+13]
FAN,[8.8320418e+11]
FCG,[7.61473611e+11]
FENY,[2.27084338]
FILL,[0.25719354]
FRAK,[1.41853678]
FXN,[3.13406735]
GASL,[4.71192915e+12]
GEX,[9.14203321e+11]
GREK,[3.14931192e+12]
GRID,[0.3190933]
GUSH,[1.25055218]
ICLN,[2.01661621e+12]
IEO,[0.54140864]
IEZ,[1.4219418e+12]
IXC,[0.35757365]
IYE,[4.40331673]
KOL,[0.11185005]
MLPA,[8.20215091e+11]
MLPB,[1.60108509]
MLPC,[1.38846599e+12]
MLPG,[3.352473]
MLPI,[1.02239712e+12]
MLPX,[1.78331319]
MLPY,[1.60375923]
NLR,[1.87315095e+11]
OIH,[8.39914214e+11]
PBD,[2.58519826e+12]
PBW,[1.23424089e+12]
PSCE,[7.05161158e+11]
PUW,[0.90970738]
PXE,[1.08833282]
PXI,[1.51945445]
PXJ,[4.47593288e+12]
PZD,[0.21149433]
QCLN,[1.36008774e+11]
RYE,[0.97443853]
TAN,[1.19886363e+13]
TPYP,[0.41790557]
VDE,[1.19129004]
XES,[5.02893632e+11]
XLE,[1.3024855]
XOP,[0.64734185]
YLCO,[4.86993696e+11]
YMLI,[1.88570279]
YMLP,[2.22924998e+11]
ZMLP,[1.08046765e+12]
