Name,Riskiness R
Alternatives ETF List (35),[7.0607112e+11]
Broad Asia ETF List (44),[0.28624695]
Commodity ETF List (125),[0.14767775]
Consumer Discretionary Equity ETF List (31),[0.17914565]
Consumer Staples Equity ETF List (26),[1.11960282]
Crude Oil ETF List (22),[0.36748371]
Currency ETF List (36),[2.67015437e+12]
Developed Asia Pacific ETF List (108),[0.24784348]
Developed Markets ETF List 1 (100),[0.09779253]
Developed Markets ETF List 2 (100),[0.10863453]
Developed Markets ETF List 3 (93),[0.17348473]
Emerging Asia Pacific ETF List (114),[0.19085321]
Emerging Markets ETF List (79),[0.16811903]
Energy Equity ETF List (80),[0.09550466]
Financials Equity ETF List (51),[0.12249062]
Global ETF List (72),[0.10349242]
Gold ETF List (17),[7.36247771e+11]
Healthcare Equity ETF List (49),[0.10621016]
Industrials Equity ETF List (37),[0.09560733]
Investment Grade Corporate ETF List (50),[1.84831509e+12]
Junk ETF List (43),[0.12080118]
Materials Equity ETF List (62),[0.11085362]
Municipal Bond ETF List (29),[1.31126776e+12]
Preferred Stock ETF List (12),[1.40821279e+12]
Real Estate ETF List (48),[0.11912741]
Target Maturity Date Corporate Bond ETF List (24),[2.39090038e+12]
Technology Equity ETF List (75),[0.07821378]
Telecom Equity ETF List (10),[0.31746969]
Total Bond Market ETF List (82),[2.13257694e+12]
Treasuries ETF List (51),[1.30633699]
Utilities Equity ETF List (24),[0.20986345]
Volatility ETF List (18),[4.16624441e+12]
