Name,Riskiness R
DRN,[1.39309214]
DRV,[1.19952232e+13]
DRW,[8.09363289e+10]
EWRE,[1.18698418e+12]
FFR,[7.07171335e+12]
FREL,[4.86316715e+11]
FRI,[3.67607678e+11]
GQRE,[7.30722823e+11]
GRI,[1.41302389e+12]
ICF,[1.43505316e+12]
IFEU,[2.58651736e+12]
IFGL,[8.19967474e+11]
IYR,[3.81641193e+11]
KBWY,[2.08766476e+11]
LRET,[4.19050801]
MORL,[0.18420215]
MORT,[0.20131738]
MRRL,[0.19358477]
PRME,[5.08811997e+11]
PSR,[5.61850963e+11]
REET,[5.74049703e+11]
REK,[5.47223376e+12]
REM,[0.20474044]
REZ,[3.72797354e+11]
ROOF,[6.43814163e+11]
RWO,[8.35704608e+11]
RWR,[4.99476183e+11]
RWX,[1.08014595e+13]
SCHH,[2.38651789e+11]
SRET,[0.27183958]
SRS,[1.05734486e+13]
TAO,[0.33247371]
URE,[0.88133966]
USRT,[1.12708583e+12]
VNQ,[3.91725939e+11]
VNQI,[7.60170777e+11]
WPS,[8.26821392e+12]
WREI,[6.04473628e+11]
XLRE,[1.69566285e+12]
