Name,Riskiness R
DRN,[0.26664271]
DRV,[8.16741761e+12]
DRW,[0.22239491]
FFR,[0.12170639]
FRI,[0.08967682]
GQRE,[0.0863793]
GRI,[0.13599318]
ICF,[0.084212]
IFEU,[0.40610343]
IFGL,[0.59214052]
IYR,[0.0904946]
KBWY,[0.120913]
MORL,[0.2964078]
MORT,[0.17689087]
PSR,[0.08960411]
REK,[9.21635943e+12]
REM,[0.16345421]
REZ,[0.08760704]
ROOF,[0.12763617]
RWO,[0.10660055]
RWR,[0.08247314]
RWX,[0.43915629]
SCHH,[0.08495179]
SRS,[2.44674894e+12]
TAO,[0.29200882]
URE,[0.17563806]
USRT,[0.10152453]
VNQ,[0.08929871]
VNQI,[0.30464109]
WPS,[0.32033169]
WREI,[0.096829]
