Name,Riskiness R
AADR,[0.28298389]
COPX,[7.78706341e+11]
DBAW,[0.24948193]
ECON,[6.25556033e+11]
EDC,[1.50282905e+10]
EEM,[4.11529807e+11]
EEMS,[2.08827548e+11]
EMCG,[3.89252892e+11]
EMFM,[3.12303294e+12]
FAN,[0.40120383]
FIEG,[0.45029341]
FLN,[3.38474213e+11]
FM,[8.60965094e+11]
FNDE,[1.60582206]
FONE,[0.16445139]
FPA,[0.53291653]
FWDI,[1.13729264e+11]
GDXJ,[1.56700912]
HGI,[4.92086338e+11]
HILO,[7.11596716e+11]
ICLN,[1.87014658e+12]
IEMG,[2.76407516e+11]
IFV,[0.24276654]
IQDF,[1.34138705e+11]
JDST,[6.48293287e+12]
KOL,[1.99030647e+12]
LIT,[2.52701496e+11]
PBD,[1.61260896e+12]
PICK,[9.74603248e+11]
SIL,[4.9245115]
SLVP,[1.81659408]
SLX,[2.74035332]
SOCL,[0.39475666]
SOIL,[1.00649739e+12]
TLTE,[9.11945042]
VIDI,[2.97234354e+11]
