Name,Riskiness R
AGF,[3.65087231e+12]
AGQ,[2.59798866e+12]
BCM,[1.24368574e+13]
BDD,[1.10628573]
BNO,[8.64956106e+12]
BOIL,[1262.7971628]
BOM,[1.37388733]
BOS,[1.44682136]
CANE,[3.11896677e+12]
CORN,[1.18170877e+12]
CPER,[9.67066603e+11]
DAG,[3.01272438e+12]
DBA,[2.22424039e+12]
DBB,[2.26121281]
DBC,[3.8297452e+12]
DBE,[5.17897353e+12]
DBO,[2.12976772e+13]
DBP,[9.17864094e+11]
DBS,[5.88222908e+11]
DDP,[0.33741077]
DGAZ,[0.83295633]
DGL,[3.9723923e+11]
DGLD,[3.09373706]
DGP,[7.79496771e+11]
DGZ,[1.84884217]
DJCI,[9.97927817e+11]
DJP,[4.10417293e+12]
DSLV,[4.17962796]
DTO,[0.26830846]
DYY,[1.96956223]
DZZ,[2.49446071]
FTGC,[3.58507158e+12]
FUD,[2.0168797e+12]
FUE,[3.96306133]
GCC,[3.85260304e+12]
GLD,[1.00801929e+11]
GLL,[8.19357984]
GLTR,[9.42202836e+11]
GRU,[8.50625656e+11]
GSC,[5.08202889e+12]
GSG,[1.22986634e+13]
GSP,[6.04259162e+12]
IAU,[2.75578387e+11]
KOLD,[0.50098292]
LD,[1.01773059]
NIB,[2.8656583e+12]
OLEM,[7.17340103e+12]
OLO,[3.35908905e+12]
OUNZ,[2.61670576e+11]
PALL,[1.49813144]
PPLT,[1.26438195e+12]
RJA,[2.18093981e+12]
RJI,[6.35285847e+12]
RJN,[5.8668882e+12]
RJZ,[1.87306402e+12]
SCO,[0.35243476]
SGOL,[1.73619075e+11]
SIVR,[5.71323209e+11]
SLV,[3.77303463e+11]
SOYB,[1.69771568e+12]
SZO,[0.16464742]
TAGS,[7.93782851e+11]
UAG,[1492611.81098756]
UBG,[9.11077445e+10]
UCI,[4.69391657e+12]
UCO,[7.20511625e+11]
UGA,[6.00153363e+12]
UGAZ,[3.14490635e+13]
UGL,[5.82118059e+11]
UGLD,[6.63848031e+11]
UNG,[1.19173827e+13]
UNL,[2.50540311e+12]
USCI,[3.53993408e+12]
USL,[6.00206315e+12]
USLV,[10541.31650197]
USO,[1.60371031e+13]
USV,[9.60340398e+11]
WEAT,[3.95528913e+12]
ZSL,[2.95695766]
