Name,Riskiness R
CQQQ,[0.30308824]
FDN,[0.11362765]
FTEC,[0.08874338]
FXL,[0.13136885]
IEUS,[0.29631538]
IGM,[0.08613057]
IGN,[0.14445285]
IGV,[0.09574595]
ISRA,[1.3724306e+11]
IXN,[0.0893299]
IYW,[0.09889103]
KWEB,[0.37726569]
PNQI,[0.13351284]
PSCT,[0.0903941]
PSI,[0.10432053]
PSJ,[0.10651208]
PTF,[0.19218574]
PXQ,[0.14044825]
QQQ,[0.08814602]
QTEC,[0.09193905]
REW,[6.62939962e+12]
ROBO,[0.18941266]
ROM,[0.20353135]
RYT,[0.08618964]
SKYY,[0.0861688]
SMH,[0.10313414]
SOCL,[0.20159828]
SOXL,[0.35206027]
SOXS,[1.97542139e+13]
SOXX,[0.11916338]
SSG,[4.47084645e+12]
TDIV,[0.12245605]
TECL,[0.24995081]
TECS,[1.16726076e+13]
USD,[0.25230068]
VGT,[0.09088563]
XLK,[0.08095949]
XNTK,[0.09318188]
XSD,[0.13999682]
XSW,[0.11558976]
