Name,Riskiness R
BDCL,[0.40888461]
BDCS,[0.21586107]
BIZD,[0.18131485]
CHIX,[0.36476657]
DXJF,[0.76493925]
EUFN,[3.15179215e+11]
FAS,[0.32897714]
FAZ,[4.83155784e+12]
FINU,[0.33235083]
FINZ,[6.36381686e+12]
FNCL,[0.10561078]
FXO,[0.09310153]
IAI,[0.1527157]
IAK,[0.10632967]
IAT,[0.14838188]
IXG,[0.28992683]
IYF,[0.10785962]
IYG,[0.15437371]
KBE,[0.16630892]
KBWB,[0.17485065]
KBWD,[0.154672]
KBWP,[0.046606]
KBWR,[0.14622534]
KCE,[0.78568397]
KIE,[0.07186394]
KRE,[0.15404352]
LMLP,[4.94130837e+11]
PEX,[0.20364509]
PFI,[0.24587646]
PHDG,[1.46193916e+11]
PSCF,[0.10159905]
PSP,[0.23130939]
QABA,[0.12167629]
RWW,[0.13423705]
RYF,[0.0788382]
SEF,[5.91556756e+12]
SKF,[3.73174137e+12]
UYG,[0.22082235]
VFH,[0.10303032]
VQT,[4.14319902e+11]
XLF,[0.09006769]
