Name,Riskiness R
BZF,[1.16845822]
CEW,[2.96193033e+11]
CNY,[1.94831684e+11]
CROC,[0.57137161]
CYB,[4.51865205e+11]
DBV,[3.5792333e+11]
DRR,[0.25710182]
EUFX,[0.15444107]
EUO,[0.29752769]
FXA,[6.06702451e+11]
FXB,[1.41835994e+12]
FXC,[9.70113372e+11]
FXCH,[7.30410736e+11]
FXE,[2.21177916e+12]
FXF,[7.46887546e+09]
FXS,[2.08510945e+12]
FXSG,[1.32437284e+11]
FXY,[1.70699168e+11]
INR,[0.08308565]
UDN,[4.39320222e+11]
ULE,[3.64697304e+12]
URR,[2.00086738e+12]
USDU,[0.3473261]
UUP,[0.11785159]
YCL,[1.61665756e+12]
YCS,[1.06828358]
