Name,Riskiness R
AMJ,[2.22813126e+12]
AMLP,[2.74531725e+12]
AMU,[8.62343159e+11]
AMZA,[9.04461046e+11]
ATMP,[1.56755267e+11]
CHIE,[7.87183179e+11]
DDG,[0.60497236]
DIG,[1.19788729e+12]
DUG,[1.45143955]
EMLP,[0.37585681]
ENFR,[1.37421801e+11]
ENY,[2.18079597e+12]
ERX,[7.80977841e+12]
ERY,[5.95699357]
FAN,[0.12729174]
FCG,[2.96150374e+12]
FENY,[2.45387791e+12]
FILL,[7.78055318e+11]
FRAK,[3.49220273e+12]
FXN,[3.26623196e+12]
GASL,[7.87940258e+13]
GEX,[0.24633754]
GREK,[1.39105953e+12]
GRID,[0.12460169]
ICLN,[1.56232351]
IEO,[2.08446616e+12]
IEZ,[5.35189551e+12]
IXC,[3.62425856e+11]
IYE,[8.62625375e+11]
KOL,[1.92726412]
MLPA,[2.05590688e+12]
MLPC,[2.02722027e+12]
MLPG,[9.01185628e+11]
MLPI,[5.87981783e+11]
MLPX,[8.52608513e+11]
MLPY,[3.61700369e+12]
NLR,[0.20073692]
OIH,[3.57891413e+12]
PBD,[0.39724219]
PBW,[6.28541661e+11]
PSCE,[2.20716761e+13]
PUW,[1.45078044]
PXE,[1.09442195e+12]
PXI,[1.00132917e+12]
PXJ,[4.14563028e+12]
PZD,[0.08204284]
QCLN,[0.33397448]
RYE,[3.86505887e+11]
TAN,[1.56265412e+12]
VDE,[1.04520298e+12]
XES,[2.12594279e+12]
XLE,[1.10911362e+12]
XOP,[3.84032676e+12]
YMLI,[4.43150991e+11]
YMLP,[8.299668e+12]
ZMLP,[3.0621673e+12]
