Name,Riskiness R
Alternatives ETF List (35),[0.0185592]
Broad Asia ETF List (44),[0.10936122]
Commodity ETF List (125),[0.15557958]
Consumer Discretionary Equity ETF List (31),[0.06413977]
Consumer Staples Equity ETF List (26),[0.05543232]
Crude Oil ETF List (22),[0.11136948]
Currency ETF List (36),[0.14075264]
Developed Asia Pacific ETF List (108),[0.06124618]
Developed Markets ETF List 1 (100),[0.05593978]
Developed Markets ETF List 2 (100),[0.06300654]
Developed Markets ETF List 3 (93),[0.07463182]
Emerging Asia Pacific ETF List (114),[0.10397025]
Emerging Markets ETF List (79),[0.21193395]
Energy Equity ETF List (80),[0.09372154]
Financials Equity ETF List (51),[0.0510182]
Global ETF List (72),[0.07616063]
Gold ETF List (17),[1.16100856]
Healthcare Equity ETF List (49),[0.05797421]
Industrials Equity ETF List (37),[0.06222828]
Investment Grade Corporate ETF List (50),[0.00399428]
Junk ETF List (43),[0.01614689]
Materials Equity ETF List (62),[0.07253886]
Municipal Bond ETF List (29),[0.01245256]
Preferred Stock ETF List (12),[0.02272438]
Real Estate ETF List (48),[0.09057864]
Target Maturity Date Corporate Bond ETF List (24),[0.01089516]
Technology Equity ETF List (75),[0.06151494]
Telecom Equity ETF List (10),[0.07062074]
Total Bond Market ETF List (82),[0.00101444]
Treasuries ETF List (51),[0.01091266]
Utilities Equity ETF List (24),[0.06702327]
Volatility ETF List (18),[1.77103559e+12]
