Name,Riskiness R
CHIM,[0.32008038]
COPX,[1.24787246]
CROP,[0.065065]
CUT,[0.09780071]
DUST,[7.70939349e+12]
FLM,[0.12143759]
FMAT,[0.12405924]
FTAG,[3.44998316e+13]
FTRI,[6.08758199e+12]
FXZ,[0.11012465]
GDX,[0.71615499]
GDXJ,[0.77994657]
GNR,[0.78944893]
GOEX,[0.50976301]
GRES,[1.19876308]
GUNR,[1.00460014]
HAP,[0.61528031]
IGE,[1.80875202e+12]
ITB,[0.11122798]
IYM,[0.17956653]
JDST,[9.85510274e+12]
JNUG,[12.35559203]
LIT,[0.1408862]
MOO,[0.11573121]
MXI,[0.22484398]
NUGT,[4.3882094]
PAGG,[1.33830753]
PICK,[3.34590933]
PKB,[0.10047034]
PSAU,[0.66654941]
PSCM,[0.28125841]
PYZ,[0.16466161]
REMX,[6.99567868e+11]
RING,[0.80057635]
RTM,[0.12263683]
SBM,[5.39947501e+12]
SGDM,[0.89599885]
SIL,[0.65464532]
SILJ,[0.53065119]
SLVP,[0.56135332]
SLX,[0.75878975]
SMN,[4.61386211e+12]
SOIL,[0.8040632]
URA,[8.08113479e+11]
UYM,[0.38464047]
VAW,[0.13016781]
VEGI,[0.18373769]
WOOD,[0.11076727]
XHB,[0.11856774]
XLB,[0.13943352]
XME,[1.23070275]
