Name,Riskiness R
ARKG,[0.34410547]
BBC,[1.0585975]
BBH,[0.36615637]
BBP,[0.21836613]
BIB,[1.24958368]
BIS,[991.10471359]
CURE,[0.41488647]
FBT,[0.36354236]
FHLC,[0.12305946]
FXH,[0.26060671]
IBB,[0.57035358]
IHE,[0.56880338]
IHF,[0.15290884]
IHI,[0.05687573]
IXJ,[0.13309351]
IYH,[0.12499753]
PBE,[1.6394971]
PJP,[1.9147674]
PPH,[1.66147066e+11]
PSCH,[0.10266619]
PTH,[0.30577186]
RXD,[3.19493826e+12]
RXL,[0.27709638]
RYH,[0.12114741]
SBIO,[0.52881763]
VHT,[0.12820818]
XBI,[0.34190378]
XHE,[0.08905872]
XHS,[0.56753778]
XLV,[0.11531151]
XPH,[4.80469044e+11]
