Name,Riskiness R
AUSE,[0.21579368]
DBJP,[0.21250361]
DBKO,[0.07564355]
DFJ,[0.05606985]
DIM,[0.09319988]
DLS,[0.05867735]
DOL,[0.18568928]
DOO,[0.27233319]
DTH,[0.20403155]
DVYA,[0.28333155]
DWM,[0.13986636]
DXJ,[0.22412945]
DXJF,[0.44604606]
DXJS,[0.11527722]
ENZL,[0.12088518]
EPP,[0.2202746]
EWA,[0.30144673]
EWH,[0.16055548]
EWJ,[0.10662339]
EWS,[0.49565612]
EWT,[0.20981886]
EWV,[9.58160926e+12]
EWY,[0.1503434]
EZJ,[0.22983094]
FAUS,[0.17046534]
FDT,[0.095245]
FDTS,[0.08703814]
FHK,[0.25684627]
FJP,[0.12546899]
FKO,[0.28669469]
FNDC,[0.06059199]
FNDF,[0.1309953]
FPA,[0.15094892]
GWX,[0.08046485]
HEWJ,[0.22838531]
IDHQ,[0.07836045]
IDOG,[0.1684483]
IPAC,[0.10063899]
IVAL,[0.09816253]
JPIN,[0.09450947]
JPMV,[0.06667041]
JPNL,[0.3377411]
JPXN,[0.08597471]
KORU,[0.50444671]
PAF,[0.2063532]
PDN,[0.07567473]
PXF,[0.14418988]
SCJ,[0.06273526]
VPL,[0.09930256]
