Name,Riskiness R
ADRE,[0.17264509]
BBRC,[1.05505552]
BICK,[0.18070401]
BKF,[0.18937138]
DBEM,[0.20994664]
DEM,[0.31032239]
DGRE,[0.29028087]
DGS,[0.18422401]
DVYE,[0.34976168]
EDC,[0.6797775]
EDIV,[0.52633431]
EDOG,[0.33766836]
EDZ,[8.88098852e+08]
EEB,[0.18155099]
EELV,[0.574184]
EEM,[0.21066486]
EEMO,[0.65184129]
EEMS,[0.2265118]
EET,[0.44904898]
EEV,[3.44589397e+12]
EMCG,[0.37497439]
EMFM,[0.37095595]
EMIF,[0.39426591]
EMQQ,[0.14046779]
EUM,[5.90842938e+12]
EWEM,[0.31220825]
EWX,[0.18065956]
FEM,[0.18554733]
FEMS,[0.15938991]
FNDE,[0.19639345]
HEEM,[0.21229474]
HILO,[0.24728566]
IEMG,[0.19456217]
JPEM,[0.24796198]
PIE,[0.27190988]
PXH,[0.23885092]
PXR,[0.52005208]
QEMM,[0.20819496]
SCHE,[0.21987721]
SPEM,[0.20145035]
TLTE,[0.17035945]
VWO,[0.23789863]
XSOE,[0.15627734]
