Name,Riskiness R
ACIM,[0.07740582]
ARKQ,[0.0927604]
BJK,[0.11935975]
CIL,[0.06358089]
CIZ,[0.25297015]
CUT,[0.09868755]
DBAW,[0.15318833]
DBEZ,[0.19180828]
DEW,[0.1029528]
DGT,[0.07440374]
DNL,[0.12991343]
DOO,[0.20790083]
DUST,[1.02835851e+13]
EFAD,[0.22749265]
EFZ,[2.42860823e+12]
EUMV,[0.14005775]
EXI,[0.06437496]
FAN,[0.12673699]
FILL,[0.33780899]
FPA,[0.15812865]
FYLD,[0.08555541]
GEX,[0.38019965]
GHII,[0.14477852]
GOEX,[0.39497848]
GRES,[0.19406655]
GRID,[0.09881146]
HAP,[0.15982505]
IDHQ,[0.08088969]
IMTM,[0.09797715]
IPKW,[0.06359852]
IQDE,[0.13874891]
IQDY,[0.14753853]
ISRA,[0.8879812]
IVAL,[0.10487513]
JDST,[8.09745169e+12]
LOWC,[0.06006074]
LVL,[0.29906913]
NLR,[0.21712529]
PBD,[0.33738011]
PIO,[0.15295979]
PIZ,[0.11811169]
PSAU,[0.46669312]
PZD,[0.0752208]
QWLD,[0.05435344]
RING,[0.52749506]
SEA,[9.89638543e+11]
SGDJ,[0.47727805]
SILJ,[0.34325104]
TOK,[0.0660937]
TOLZ,[0.27263273]
VEGI,[0.12502956]
YMLP,[1.33668691e+13]
