Name,Riskiness R
BIL,[0.00162754]
DFVL,[1.42394646e+12]
DFVS,[0.22150846]
DLBL,[5.61755226e+10]
DLBS,[1.08495643]
DTUL,[2.88280627e+12]
DTUS,[0.10699036]
DTYL,[7.60897661e+11]
DTYS,[0.47129338]
EDV,[0.45204222]
FLAT,[0.21720476]
GOVT,[3.37943895]
IEF,[8.85394614e+10]
IEI,[5.15231181e+10]
ITE,[1.16647222e+09]
PLW,[0.39718154]
PST,[0.7626594]
RISE,[0.08596972]
SCHO,[0.13213507]
SCHR,[8.76277912e+10]
SHV,[0.00142772]
SHY,[2.88793633e+09]
SPTL,[0.31570522]
SPTS,[5.7710938e+10]
STPP,[1.26500018e+12]
TAPR,[2.52181543]
TBF,[4.1279983e+11]
TBT,[5.68721479e+11]
TBX,[2.484416]
TLH,[1.62352449e+09]
TLT,[0.31423248]
TMF,[1.54819557]
TMV,[1.12719901e+12]
TTT,[9.7540475e+11]
TUZ,[1.53953388e+10]
TYBS,[2.08036363e+11]
TYD,[6.2254544e+11]
TYNS,[8.78354755e+10]
TYO,[2.85384717e+11]
UBT,[1.00161936]
UST,[5.42002827e+11]
VGIT,[7.6100487e+10]
VGLT,[0.31835886]
VGSH,[0.13304826]
ZROZ,[0.37286199]
