Name,Riskiness R
AGG,[0.03043012]
AGGY,[0.02940998]
AGND,[0.1141627]
AGZD,[0.01769617]
BIV,[0.04887854]
BLV,[0.07895661]
BND,[0.03136109]
BNDX,[0.01569494]
BOND,[0.02497394]
BSV,[0.01737277]
BYLD,[0.01808817]
FBND,[0.01986497]
FCOR,[0.02314637]
FLTB,[0.01334933]
FTSD,[0.01396437]
FWDB,[0.02342455]
GBF,[0.03641459]
GVI,[0.02562898]
HOLD,[0.00342908]
IAGG,[0.02608589]
ILTB,[0.06967745]
ISTB,[0.00892069]
IUSB,[0.0214658]
KCNY,[0.19260915]
LDUR,[0.01315202]
MINC,[0.00721913]
MINT,[0.00124923]
NEAR,[0.00200393]
NFLT,[0.02272681]
RAVI,[0.00243119]
SAGG,[3.23371133e+11]
SCHZ,[0.02837938]
SPAB,[0.02963018]
TOTL,[0.01726064]
ULST,[0.00278147]
VBND,[0.07697476]
WYDE,[1.11621993e+12]
XMPT,[0.07141821]
