Name,Riskiness R
AAXJ,[0.11144027]
ADRE,[0.11634163]
AFTY,[0.39406458]
AIA,[0.09917895]
ASEA,[0.09292]
ASHR,[3.35999254]
ASHS,[1.03245392e+12]
ASHX,[4.39031698e+11]
AXJV,[0.65300058]
CHAD,[1.56765348e+12]
CHAU,[2.2897562]
CHIE,[0.26425383]
CHII,[0.49050241]
CHIM,[0.19900734]
CHIQ,[0.16183817]
CHIX,[0.23928283]
CN,[0.34322906]
CNHX,[1.0029176e+12]
CNXT,[3.28282791e+12]
CQQQ,[0.17799599]
CXSE,[0.13724387]
DBEM,[0.11070967]
DEM,[0.11314263]
DGRE,[0.13575139]
DGS,[0.09995544]
ECNS,[0.26329083]
EDC,[0.43928232]
EDIV,[0.14088964]
EDZ,[2.19655242e+13]
EEM,[0.1340657]
EEMA,[0.11346493]
EEMV,[0.10025771]
EET,[0.28830007]
EEV,[1.50897098e+13]
EIDO,[0.26234773]
EMQQ,[0.17993045]
EPHE,[2.0630007]
EPI,[0.11461388]
EUM,[6.90031735e+12]
EWM,[13.5878155]
EWX,[0.10680137]
FCA,[0.20482663]
FEM,[0.12425596]
FEMS,[0.11514002]
FNI,[0.13988409]
FXI,[0.25428806]
FXP,[4.26796277e+12]
GMF,[0.10593816]
GXC,[0.16778662]
HAO,[0.25775353]
IDX,[0.24350321]
INCO,[0.08563129]
INDA,[0.12236807]
INDL,[0.38914202]
INDY,[0.10380398]
INXX,[0.16828406]
KBA,[923594.5032932]
KFYP,[0.35731261]
KWEB,[0.22574372]
MCHI,[0.17133099]
PEK,[6.39431313e+11]
PGJ,[0.21552213]
PIE,[0.1606716]
PIN,[0.09990509]
SCIF,[0.32776113]
SCIN,[0.32148759]
SMIN,[0.15945534]
SPEM,[0.11941178]
THD,[0.08459354]
VNM,[0.32867765]
VWO,[0.13384689]
XCEM,[0.13105164]
XINA,[7.84430538e+11]
XPP,[0.47904287]
YANG,[7.56420869e+12]
YAO,[0.19760882]
YINN,[0.73737782]
YXI,[1.95594422e+12]
