Name,Riskiness R
AAXJ,[0.13081009]
ACWX,[0.12941245]
ADRA,[0.12508502]
AIA,[0.1107048]
AXJL,[0.12467516]
AXJV,[0.67576213]
CHIQ,[0.22076456]
CWI,[0.12543033]
DBAP,[0.11145146]
DNL,[0.10186909]
EEMA,[0.13025329]
EMCG,[0.39079226]
FPA,[0.17403698]
FPXI,[0.11448625]
GEM,[0.14485079]
HEEM,[0.11224612]
IEMG,[0.14131154]
IHDG,[0.11067862]
IPOS,[0.17616871]
IQDE,[0.16647315]
IQDY,[0.17845495]
MOTI,[0.13326015]
PAF,[0.12897043]
QEMM,[0.11330786]
REMX,[0.27853269]
VEU,[0.11639444]
VXUS,[0.11879026]
XSOE,[0.12681066]
