Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,24.770000,24.940001,24.410000,24.940001,23.850740,40600
2015-10-05,25.459999,25.750000,25.320000,25.690001,24.567986,102300
2015-10-12,25.790001,25.790001,25.330000,25.750000,24.625362,100400
2015-10-19,25.780001,26.070000,25.719999,25.860001,24.730560,103400
2015-10-26,26.200001,26.340000,25.780001,26.340000,25.189596,102500
2015-11-02,26.280001,26.580000,26.247999,26.350000,25.199162,111600
2015-11-09,26.040001,26.100000,26.000000,26.010000,24.874008,17600
2015-11-16,24.950001,25.969999,24.950001,25.969999,24.835754,9900
2015-11-23,26.020000,26.232000,25.850000,26.232000,25.086311,2100
2015-11-30,25.950001,26.148001,25.660000,25.740000,24.615803,2800
2015-12-07,25.870001,25.870001,25.510000,25.690001,24.567986,2100
2015-12-14,25.260000,25.629999,24.900000,25.188000,24.087910,4100
2015-12-21,25.200001,25.330000,25.200001,25.260000,24.156763,1200
2015-12-28,25.260000,25.507000,25.260000,25.320000,24.278360,4000
2016-01-04,25.320000,25.320000,23.860001,23.930000,22.945543,31400
2016-01-11,23.459999,23.840000,22.690001,22.690001,21.756557,900
2016-01-18,22.690001,23.040001,22.340000,23.040001,22.092159,2600
2016-01-25,23.040001,23.607000,23.040001,23.240000,22.283930,2100
2016-02-01,23.240000,23.490000,22.760000,22.760000,21.823679,800
2016-02-08,22.240000,22.430000,22.129999,22.410000,21.488075,1400
2016-02-15,23.020000,23.690001,23.020000,23.690001,22.715420,2800
2016-02-22,23.690001,24.287001,23.690001,24.287001,23.287859,1000
2016-02-29,24.287001,24.976999,24.287001,24.976999,23.949472,1800
2016-03-07,24.976999,25.230000,24.650000,25.230000,24.192066,3400
2016-03-14,25.277000,25.809999,25.277000,25.790001,24.729029,2500
2016-03-21,25.790001,25.790001,25.200001,25.250000,24.211245,2500
2016-03-28,25.379999,25.938000,25.379999,25.938000,24.870939,1500
2016-04-04,25.940001,25.950001,25.360001,25.455000,24.407808,6500
2016-04-11,25.370001,26.190001,25.370001,25.799999,24.738615,5000
2016-04-18,25.940001,25.940001,25.875999,25.879999,24.815325,2600
2016-04-25,25.618000,25.990000,25.490000,25.490000,24.441370,2900
2016-05-02,25.900000,25.900000,25.900000,25.900000,24.834501,2200
2016-05-09,25.600000,25.889999,24.900000,24.910000,23.885231,6100
2016-05-16,25.063999,25.080000,24.549999,24.820000,23.798933,6400
2016-05-23,24.820000,25.190001,24.820000,25.190001,24.153709,3300
2016-05-30,25.190001,25.190001,25.190001,25.190001,24.153709,0
2016-06-06,25.450001,25.639999,25.270000,25.270000,24.230419,2800
2016-06-13,25.000000,25.120001,24.760000,25.120001,24.086590,4100
2016-06-20,25.500000,25.580000,24.427999,24.510000,23.501684,12000
2016-06-27,23.889999,25.120001,23.730000,25.094000,24.200436,4900
2016-07-04,25.094000,25.643999,25.094000,25.643999,24.730850,1200
2016-07-11,25.643999,26.052000,25.643999,25.950001,25.025957,2100
2016-07-18,26.030001,26.190001,25.799999,26.190001,25.257410,22900
2016-07-25,26.260000,26.270000,26.090000,26.270000,25.334560,9400
2016-08-01,26.270000,26.270000,25.500000,26.080000,25.151329,2700
2016-08-08,26.080000,26.379999,25.969999,26.350000,25.411715,2500
2016-08-15,26.350000,26.350000,26.110001,26.250000,25.315271,312300
2016-08-22,26.190001,26.420000,25.940001,25.940001,25.016314,12200
2016-08-29,26.139999,26.160000,25.870001,25.980000,25.054886,2200
2016-09-05,25.889999,25.969999,25.283001,25.288000,24.387529,2700
2016-09-12,25.554001,25.554001,25.260000,25.306999,24.405851,900
2016-09-19,25.306999,25.719999,25.270000,25.719999,24.804146,700
2016-09-26,25.719999,25.719999,25.600000,25.632000,24.719280,2400
2016-10-03,25.632000,25.760000,25.606001,25.660000,24.746283,1500
