Date,Open,High,Low,Close,Adj Close,Volume
2006-11-06,45.189999,45.730000,45.189999,45.680000,38.903587,5400
2006-11-13,45.860001,47.000000,45.700001,46.720001,39.789295,235200
2006-11-20,46.750000,47.009998,46.520000,46.830002,39.882984,26300
2006-11-27,46.689999,46.689999,45.700001,46.020000,39.193142,16200
2006-12-04,46.570000,47.160000,46.549999,46.810001,39.865948,8700
2006-12-11,46.700001,47.470001,46.560001,47.110001,40.121456,16000
2006-12-18,47.150002,47.270000,46.459999,46.759998,39.823368,17000
2006-12-25,46.759998,47.130001,46.759998,46.939999,39.976650,3200
2007-01-01,47.189999,47.330002,46.630001,46.689999,39.837704,9300
2007-01-08,46.450001,47.880001,46.450001,47.860001,40.835995,230700
2007-01-15,47.959999,48.320000,47.849998,48.320000,41.228493,51300
2007-01-22,48.299999,48.490002,47.490002,47.630001,40.639767,31100
2007-01-29,47.779999,49.009998,47.680000,48.939999,41.757500,24400
2007-02-05,48.790001,49.389999,48.700001,48.849998,41.680717,20400
2007-02-12,48.720001,49.480000,48.599998,49.389999,42.141449,25100
2007-02-19,49.459999,49.810001,49.220001,49.349998,42.107338,26900
2007-02-26,49.360001,49.360001,46.799999,47.009998,40.110752,43000
2007-03-05,46.439999,47.869999,46.360001,47.540001,40.562977,15400
2007-03-12,47.660000,47.720001,46.070000,46.680000,39.829170,170300
2007-03-19,46.959999,48.290001,46.959999,48.200001,41.188366,33200
2007-03-26,48.080002,48.080002,47.139999,47.330002,40.444916,96600
2007-04-02,47.560001,48.259998,47.450001,48.259998,41.239632,31500
2007-04-09,48.270000,48.619999,47.770000,48.250000,41.231094,32300
2007-04-16,48.630001,49.419998,48.630001,49.169998,42.017242,11100
2007-04-23,49.439999,50.080002,48.939999,49.779999,42.538525,43100
2007-04-30,49.730000,49.959999,48.619999,49.740002,42.504353,45500
2007-05-07,49.790001,49.980000,49.340000,49.490002,42.290718,150200
2007-05-14,49.680000,49.970001,49.150002,49.950001,42.683781,47200
2007-05-21,50.029999,50.770000,49.889999,50.020000,42.743610,131900
2007-05-28,50.139999,51.119999,50.009998,51.009998,43.589588,61200
2007-06-04,50.900002,51.220001,49.430000,49.860001,42.606884,39600
2007-06-11,49.820000,50.369999,49.310001,50.200001,42.897430,12500
2007-06-18,50.299999,50.299999,49.209999,49.330002,42.212269,114500
2007-06-25,49.439999,49.700001,48.650002,49.200001,42.101028,90900
2007-07-02,49.480000,50.389999,49.419998,50.389999,43.119335,10500
2007-07-09,50.500000,50.500000,49.080002,50.049999,42.828388,600600
2007-07-16,49.950001,50.049999,49.060001,49.070000,41.989788,104200
2007-07-23,49.209999,49.250000,45.709999,45.709999,39.114586,171000
2007-07-30,45.580002,46.750000,44.660000,44.689999,38.241760,88800
2007-08-06,44.650002,46.320000,44.020000,44.779999,38.318779,86800
2007-08-13,45.560001,45.560001,41.919998,43.840000,37.514397,119500
2007-08-20,44.310001,45.169998,43.750000,45.169998,38.652508,87300
2007-08-27,45.310001,45.310001,43.860001,45.180000,38.661072,217700
2007-09-03,45.090000,45.180000,43.570000,43.619999,37.326168,21600
2007-09-10,43.799999,44.200001,43.060001,44.200001,37.822472,42300
2007-09-17,43.959999,46.439999,43.650002,44.889999,38.412914,706300
2007-09-24,44.849998,44.919998,43.500000,44.310001,37.990715,230500
2007-10-01,44.669998,46.220001,44.509998,46.070000,39.499710,642800
2007-10-08,45.930000,46.209999,45.400002,45.470001,38.985275,138800
2007-10-15,44.580002,45.090000,43.009998,43.020000,36.884674,56200
2007-10-22,42.669998,44.000000,42.669998,43.990002,37.716347,488100
2007-10-29,44.209999,44.669998,42.630001,42.750000,36.653191,16400
2007-11-05,42.439999,42.650002,40.750000,40.840000,35.015583,123600
2007-11-12,41.259998,42.490002,40.520000,40.869999,35.041317,652100
2007-11-19,40.250000,40.250000,38.930000,40.049999,34.338242,148900
2007-11-26,40.020000,41.450001,39.049999,41.049999,35.195637,645200
2007-12-03,41.110001,41.980000,40.529999,41.860001,35.890121,80400
2007-12-10,41.980000,42.119999,39.610001,39.610001,33.960999,100600
2007-12-17,39.590000,39.720001,38.830002,39.410000,33.789520,102900
2007-12-24,39.529999,39.900002,38.799999,38.799999,33.445377,15500
2007-12-31,38.669998,39.029999,35.840000,35.840000,30.893867,10700
2008-01-07,36.119999,36.340000,34.400002,35.070000,30.230124,201600
2008-01-14,35.090000,35.389999,34.230000,34.380001,29.635361,279900
2008-01-21,34.139999,37.950001,34.139999,36.740002,31.669668,34400
2008-01-28,36.290001,40.110001,36.279999,40.020000,34.497009,371000
2008-02-04,39.360001,39.360001,36.790001,37.799999,32.583385,95600
2008-02-11,37.599998,38.830002,37.490002,37.930000,32.695438,102500
2008-02-18,38.200001,38.439999,37.169998,37.900002,32.669586,56400
2008-02-25,37.529999,39.389999,36.689999,36.820000,31.738623,213700
2008-03-03,36.340000,37.580002,35.180000,35.509998,30.609407,202500
2008-03-10,35.049999,36.790001,34.900002,35.540001,30.635269,167200
2008-03-17,34.750000,37.540001,34.380001,37.540001,32.359261,177200
2008-03-24,38.049999,38.950001,36.130001,36.180000,31.299318,70800
2008-03-31,36.070000,39.099998,36.070000,38.570000,33.366909,30700
2008-04-07,38.500000,38.740002,36.820000,36.820000,31.852980,3600
2008-04-14,36.660000,38.400002,36.290001,38.150002,33.003567,12400
2008-04-21,37.880001,38.669998,37.130001,38.380001,33.202538,119900
2008-04-28,38.570000,39.830002,38.150002,39.310001,34.007080,44700
2008-05-05,39.020000,39.540001,38.130001,38.169998,33.020863,68800
2008-05-12,38.380001,40.029999,38.299999,39.709999,34.353119,85500
2008-05-19,39.680000,39.919998,37.110001,37.310001,32.276886,147400
2008-05-26,37.349998,38.320000,37.310001,38.230000,33.072769,82000
2008-06-02,38.029999,38.189999,36.610001,36.610001,31.671303,92000
2008-06-09,36.630001,36.860001,35.509998,36.689999,31.740520,51200
2008-06-16,36.910000,37.029999,35.080002,35.189999,30.442873,22500
2008-06-23,35.160000,35.270000,33.130001,33.270000,28.920172,412800
2008-06-30,33.130001,33.410000,31.969999,32.330002,28.103067,286200
2008-07-07,32.680000,32.709999,30.070000,30.620001,26.616636,28000
2008-07-14,30.450001,33.080002,29.250000,32.849998,28.555080,152100
2008-07-21,32.900002,34.810001,32.060001,33.029999,28.711554,43200
2008-07-28,33.130001,33.810001,32.610001,32.910000,28.607241,12700
2008-08-04,32.730000,35.459999,32.730000,35.450001,30.815145,4100
2008-08-11,35.919998,37.240002,34.330002,36.360001,31.606171,38900
2008-08-18,36.610001,36.610001,33.810001,35.549999,30.902077,44600
2008-08-25,34.880001,35.830002,34.610001,35.480000,30.841227,4600
2008-09-01,36.610001,36.950001,35.040001,35.549999,30.902077,9000
2008-09-08,36.820000,37.320000,36.060001,36.520000,31.745251,15700
2008-09-15,36.000000,36.380001,33.020000,36.180000,31.449715,66500
2008-09-22,35.389999,35.509998,33.290001,34.060001,29.695221,38900
2008-09-29,33.320000,33.320000,30.040001,30.040001,26.190378,65100
2008-10-06,28.590000,29.170000,24.510000,24.510000,21.369049,14000
2008-10-13,26.000000,26.770000,22.629999,24.410000,21.281858,51300
2008-10-20,25.020000,25.860001,21.000000,21.100000,18.396036,5600
2008-10-27,20.600000,24.660000,20.600000,24.660000,21.499815,1600
2008-11-03,24.660000,25.120001,22.719999,22.719999,19.808430,2100
2008-11-10,23.299999,23.299999,19.290001,20.719999,18.064735,15500
2008-11-17,19.920000,19.920000,16.299999,17.110001,14.917352,506000
2008-11-24,18.719999,21.160000,18.639999,21.160000,18.448349,14300
2008-12-01,20.070000,22.160000,19.760000,22.080000,19.250446,103100
2008-12-08,23.110001,23.110001,21.209999,21.840000,19.041206,26300
2008-12-15,21.410000,23.250000,21.410000,23.250000,20.270512,2300
2008-12-22,21.340000,21.790001,21.120001,21.330000,18.697891,23400
2008-12-29,20.860001,23.740000,20.860001,23.740000,20.810497,91400
2009-01-05,23.740000,24.780001,23.200001,23.230000,20.363432,13200
2009-01-12,22.400000,22.520000,20.639999,21.490000,18.838152,19400
2009-01-19,21.780001,21.780001,20.010000,20.430000,17.908949,8600
2009-01-26,20.430000,21.780001,19.700001,19.700001,17.269032,14300
2009-02-02,19.700001,21.110001,19.700001,21.110001,18.505045,2300
2009-02-09,21.000000,21.000000,19.459999,19.799999,17.356691,8100
2009-02-16,18.870001,18.940001,17.920000,17.920000,15.708688,9100
2009-02-23,18.150000,18.610001,17.629999,17.780001,15.585959,13300
2009-03-02,17.510000,17.510000,15.790000,16.160000,14.165865,15000
2009-03-09,16.070000,18.850000,15.960000,18.780001,16.462563,20700
2009-03-16,19.090000,20.139999,18.420000,20.000000,17.532015,3900
2009-03-23,21.809999,22.059999,19.940001,21.440001,18.900160,4900
2009-03-30,20.389999,22.580000,20.030001,22.580000,19.905113,30900
2009-04-06,22.719999,23.809999,21.620001,23.719999,20.910063,20700
2009-04-13,23.809999,25.270000,23.370001,25.139999,22.161848,15200
2009-04-20,24.500000,26.250000,23.620001,25.900000,22.831816,66700
