Date,Open,High,Low,Close,Adj Close,Volume
2010-07-12,3.247500,3.334170,3.116670,3.128330,2.851534,2726400
2010-07-19,3.101670,3.385000,3.070830,3.385000,3.085494,441600
2010-07-26,3.375830,3.482500,3.195830,3.195830,2.913063,51600
2010-08-02,3.421670,3.421670,3.324170,3.335000,3.039919,661200
2010-08-09,3.451670,3.487500,3.191670,3.191670,2.909271,404400
2010-08-16,3.217500,3.375830,3.217500,3.226670,2.941174,163200
2010-08-23,3.318330,3.365000,3.148330,3.288330,2.997378,316800
2010-08-30,3.168330,3.609170,3.135000,3.560830,3.245767,194400
2010-09-06,3.559170,3.577500,3.480000,3.570000,3.254126,67200
2010-09-13,3.640000,3.774170,3.640000,3.716670,3.387819,27600
2010-09-20,3.833330,4.138330,3.833330,4.090830,3.728873,69600
2010-09-27,3.933330,4.137500,3.915830,4.031670,3.676774,116400
2010-10-04,4.031670,4.150830,4.031670,4.150830,3.785444,98400
2010-10-11,4.175000,4.224170,4.022500,4.161670,3.795330,45600
2010-10-18,4.284170,4.284170,3.995830,4.211670,3.840929,284400
2010-10-25,4.283330,4.283330,4.111670,4.160830,3.794564,126000
2010-11-01,4.166670,4.509170,4.135000,4.468330,4.074996,585600
2010-11-08,4.449170,4.465000,4.295000,4.308330,3.929080,403200
2010-11-15,4.325000,4.440830,4.225000,4.419170,4.030163,618000
2010-11-22,4.420830,4.630000,4.405830,4.602500,4.197355,290400
2010-11-29,4.995830,4.995830,4.458330,4.792500,4.370630,799200
2010-12-06,4.795830,4.955000,4.795830,4.832500,4.407109,75600
2010-12-13,4.841670,4.845000,4.544170,4.790830,4.369108,201600
2010-12-20,4.784170,4.838330,4.772500,4.802500,4.417017,124800
2010-12-27,4.800000,4.835830,4.758330,4.822500,4.448318,110400
2011-01-03,4.847500,4.880830,4.510830,4.594170,4.237704,178800
2011-01-10,4.556670,4.731670,4.556670,4.727500,4.360689,584400
2011-01-17,4.719170,4.826670,4.648330,4.710830,4.345312,224400
2011-01-24,4.742500,4.903330,4.668330,4.676670,4.313803,217200
2011-01-31,4.634170,4.802500,4.634170,4.795000,4.422952,85200
2011-02-07,4.781670,5.032500,4.781670,5.030830,4.640483,58800
2011-02-14,4.989170,5.101670,4.978330,5.074170,4.680460,140400
2011-02-21,4.950000,4.950000,4.660830,4.725000,4.358383,55200
2011-02-28,4.725000,4.775000,4.625000,4.665830,4.303803,58800
2011-03-07,4.600000,4.766670,4.600000,4.726670,4.359923,224400
2011-03-14,4.495830,4.646670,4.482500,4.482500,4.134699,43200
2011-03-21,4.482500,4.788330,4.482500,4.750830,4.382209,9600
2011-03-28,4.785830,4.881670,4.670000,4.809170,4.436022,88800
2011-04-04,4.856670,5.058330,4.835830,4.984170,4.597443,138000
2011-04-11,4.977500,5.052500,4.977500,5.040830,4.649707,109200
2011-04-18,4.906670,5.170830,4.906670,5.124170,4.726581,40800
2011-04-25,5.124170,5.301670,5.080830,5.265000,4.856484,50400
2011-05-02,5.265000,5.313330,5.213330,5.250830,4.843413,34800
2011-05-09,5.217500,5.560830,5.217500,5.461670,5.037894,186000
2011-05-16,5.315830,5.345000,5.267500,5.335000,4.921052,44400
2011-05-23,5.087500,5.155000,5.029170,5.114170,4.717357,19200
2011-05-30,5.162500,5.163330,4.883330,4.883330,4.504428,36000
2011-06-06,4.701670,4.715000,4.701670,4.715000,4.349159,4800
2011-06-13,4.715000,4.726670,4.590000,4.666670,4.304578,639600
2011-06-20,4.666670,4.925000,4.666670,4.915830,4.534407,336000
2011-06-27,4.835000,5.195830,4.835000,5.195830,4.792681,90000
2011-07-04,5.195000,5.517500,5.195000,5.382500,4.964867,117600
2011-07-11,5.242500,5.303330,5.163330,5.163330,4.762702,32400
2011-07-18,5.163330,5.327500,5.163330,5.327500,4.914134,48000
2011-07-25,5.286670,5.286670,5.055000,5.055000,4.662777,67200
2011-08-01,4.975830,4.975830,4.550830,4.550830,4.197727,30000
2011-08-08,4.165000,4.255000,3.897500,4.240000,3.911014,172800
2011-08-15,4.301670,4.386670,4.030830,4.030830,3.718074,34800
2011-08-22,4.138330,4.438330,4.055830,4.438330,4.093955,22800
2011-08-29,4.563330,4.766670,4.435000,4.435000,4.090884,76800
2011-09-05,4.245000,4.599170,4.245000,4.599170,4.242317,10800
2011-09-12,4.295830,4.991670,4.283330,4.983330,4.596668,250800
2011-09-19,4.975000,5.010000,4.435000,4.533330,4.181584,199200
2011-09-26,4.533330,4.797500,4.490000,4.490000,4.141617,25200
2011-10-03,4.410000,4.760000,4.140000,4.655000,4.293815,52800
2011-10-10,4.916670,5.165830,4.895000,5.165830,4.765008,282000
2011-10-17,5.140000,5.352500,5.080830,5.352500,4.937194,200400
2011-10-24,5.491670,5.491670,4.975830,5.226670,4.821128,309600
2011-10-31,5.235830,5.261670,5.025830,5.249170,4.841881,946800
2011-11-07,5.301670,5.451670,5.133330,5.406670,4.987162,916800
2011-11-14,5.399170,5.450830,4.994170,5.017500,4.628188,261600
2011-11-21,4.895830,4.915830,4.691670,4.691670,4.327639,303600
2011-11-28,4.940830,5.397500,4.874170,5.278330,4.868780,345600
2011-12-05,5.396670,5.546670,5.253330,5.400830,4.981775,351600
2011-12-12,5.260830,5.275000,4.555000,4.775000,4.404503,462000
2011-12-19,4.830000,5.020000,4.589170,5.013330,4.846910,526800
2011-12-26,5.025830,5.070000,4.920830,4.925830,4.762315,122400
2012-01-02,5.103330,5.103330,4.781670,5.047500,4.879945,228000
2012-01-09,5.061670,5.100000,4.920830,5.017500,4.850942,326400
2012-01-16,5.189170,5.676670,5.185000,5.524170,5.340793,222000
2012-01-23,5.400830,5.694170,5.371670,5.679170,5.490647,417600
2012-01-30,5.603330,5.862500,5.467500,5.860830,5.666277,174000
2012-02-06,5.821670,5.897500,5.789170,5.895000,5.699312,18000
2012-02-13,5.983330,6.110830,5.863330,6.105000,5.902342,64800
2012-02-20,6.147500,6.147500,5.777500,5.975000,5.776657,43200
2012-02-27,5.876670,6.260830,5.876670,6.256670,6.048977,219600
2012-03-05,6.185830,6.690830,6.125000,6.667500,6.446169,261600
2012-03-12,6.760000,6.998330,6.700830,6.933330,6.703175,314400
2012-03-19,6.835000,7.220830,6.765830,7.130830,6.894118,237600
2012-03-26,7.328330,7.635000,7.138330,7.325830,7.082645,194400
2012-04-02,7.320830,7.486670,7.043330,7.340830,7.097147,176400
2012-04-09,7.071670,7.139170,6.639170,7.079170,6.844174,230400
2012-04-16,7.133330,7.503330,6.975000,7.407500,7.161603,97200
2012-04-23,7.080830,7.916670,6.755000,7.835830,7.575716,256800
2012-04-30,7.840000,8.028330,7.395830,7.445000,7.197860,252000
2012-05-07,7.084170,7.475830,6.990000,7.322500,7.079426,152400
2012-05-14,7.140000,7.140000,6.395830,6.427500,6.214136,79200
2012-05-21,6.265000,7.357500,6.265000,7.139170,6.902182,180000
2012-05-28,7.271670,7.341670,6.566670,6.629170,6.409111,115200
2012-06-04,6.705000,7.501670,6.646670,7.495000,7.246200,78000
2012-06-11,7.917500,7.917500,6.997500,7.459170,7.211559,235200
2012-06-18,7.458330,8.033330,7.226670,7.305000,7.062507,104400
2012-06-25,7.067500,7.587500,6.875000,7.583330,7.331598,79200
2012-07-02,8.033330,8.241670,7.482500,7.745000,7.487901,92400
2012-07-09,7.833330,7.880000,7.360830,7.861670,7.600698,40800
2012-07-16,7.675830,7.964170,7.608330,7.846670,7.586196,43200
2012-07-23,7.430000,8.393330,7.416670,8.367500,8.089737,70800
2012-07-30,8.416670,8.646670,7.747500,8.205000,7.932630,56400
2012-08-06,8.288330,8.490000,8.265000,8.276670,8.001923,91200
2012-08-13,8.333330,8.904170,7.820830,8.819170,8.526414,82800
2012-08-20,8.748330,9.366670,8.640000,8.906670,8.611008,97200
2012-08-27,9.000000,9.167500,8.826670,9.115830,8.813227,147600
2012-09-03,9.113330,9.660830,8.917500,9.512500,9.196728,134400
2012-09-10,9.564170,10.083330,9.391670,9.833330,9.506907,156000
2012-09-17,9.975000,9.975000,9.488330,9.851670,9.524639,189600
2012-09-24,9.574170,9.767500,9.166670,9.382500,9.071043,193200
2012-10-01,9.501670,10.185830,9.245000,10.040000,9.706717,196800
2012-10-08,10.062500,10.103330,9.144170,9.164170,8.859962,162000
2012-10-15,9.400000,9.783330,8.750000,9.240830,8.934077,298800
2012-10-22,9.150000,9.456670,8.335830,8.855000,8.561052,163200
2012-10-29,9.285000,9.457500,8.980000,9.083330,8.781805,88800
2012-11-05,8.970830,9.490830,8.367500,8.530000,8.246842,174000
2012-11-12,8.530000,8.813330,8.059170,8.324170,8.047845,111600
2012-11-19,8.396670,9.375000,8.396670,9.375000,9.063791,99600
2012-11-26,9.375000,9.791670,9.129170,9.791670,9.466630,249600
2012-12-03,10.040000,10.040000,9.294170,9.545000,9.228148,79200
2012-12-10,9.650000,9.650000,8.300830,8.300830,8.025279,171600
2012-12-17,8.292500,8.999170,8.292500,8.398330,8.119542,272400
2012-12-24,8.328330,8.422500,7.737500,7.867500,7.606334,177600
2012-12-31,8.021670,9.166670,8.020830,8.809170,8.516745,198000
2013-01-07,8.915830,8.915830,8.488330,8.760830,8.470010,248400
2013-01-14,8.786670,9.254170,8.750000,9.224170,8.917969,153600
2013-01-21,9.223330,10.145000,9.223330,10.115830,9.780030,326400
2013-01-28,10.092500,10.130000,9.694170,9.900000,9.571365,133200
2013-02-04,9.792500,10.088330,9.583330,10.028330,9.695436,112800
2013-02-11,10.054170,10.216670,9.770830,9.856670,9.529473,207600
2013-02-18,10.125000,10.125000,9.523330,9.623330,9.303880,145200
2013-02-25,9.795830,10.216670,9.375000,10.075830,9.741359,62400
2013-03-04,10.416670,11.000000,10.416670,10.846670,10.486609,266400
2013-03-11,10.916670,11.100000,10.473330,10.489170,10.140977,102000
2013-03-18,10.404170,10.666670,10.019170,10.666670,10.312586,69600
2013-03-25,10.833330,11.088330,10.629170,11.070000,10.702525,72000
2013-04-01,11.100000,11.302500,10.415000,10.925000,10.562340,181600
2013-04-08,11.235000,12.215000,11.180000,12.215000,11.809517,156400
2013-04-15,12.000000,12.357500,11.017500,11.572500,11.188346,121600
2013-04-22,11.582500,12.542500,11.532500,12.152500,11.749092,66400
2013-04-29,12.700000,12.700000,11.835000,12.602500,12.184153,143200
2013-05-06,12.602500,13.427500,12.540000,13.382500,12.938260,239600
2013-05-13,13.475000,14.210000,13.137500,13.925000,13.462753,278000
2013-05-20,13.990000,14.390000,13.000000,13.597500,13.146125,214400
2013-05-27,14.000000,14.275000,13.197500,13.215000,12.776321,198800
2013-06-03,13.215000,13.592500,12.575000,13.520000,13.071198,276000
2013-06-10,13.875000,13.875000,12.840000,13.272500,12.831913,123200
2013-06-17,13.625000,13.885000,12.160000,12.517500,12.101974,178800
2013-06-24,12.165000,13.390000,11.750000,13.242500,12.802909,134400
2013-07-01,13.545000,14.120000,13.352500,13.925000,13.462753,178400
2013-07-08,14.247500,15.667500,14.247500,15.667500,15.147409,312000
2013-07-15,15.870000,15.870000,15.362500,15.525000,15.009640,154400
2013-07-22,15.675000,15.737500,14.857500,15.517500,15.002389,159200
2013-07-29,15.525000,16.285000,15.267500,16.237499,15.698489,142000
2013-08-05,16.082500,16.275000,15.055000,15.405000,14.893623,177200
2013-08-12,15.222500,15.500000,13.492500,13.755000,13.298396,196400
2013-08-19,13.797500,14.195000,13.277500,13.950000,13.486922,93600
2013-08-26,14.200000,14.342500,13.090000,13.380000,12.935844,288000
2013-09-02,13.000000,14.350000,13.000000,13.950000,13.486922,98000
2013-09-09,14.180000,14.912500,14.075000,14.695000,14.207192,83200
2013-09-16,15.742500,16.337500,14.842500,15.745000,15.222336,201200
2013-09-23,15.750000,15.792500,15.000000,15.427500,14.915376,160800
2013-09-30,14.907500,15.765000,14.907500,15.470000,14.956467,90400
2013-10-07,15.292500,15.292500,13.852500,15.135000,14.632586,175200
2013-10-14,15.020000,16.250000,14.975000,16.100000,15.565553,106800
2013-10-21,16.237499,17.434999,15.852500,17.312500,16.737803,122400
2013-10-28,17.500000,18.230000,17.264999,17.727501,17.139029,336800
2013-11-04,18.177500,19.012501,17.014999,17.402500,16.824816,111600
2013-11-11,17.375000,20.445000,17.375000,19.660000,19.007376,360000
2013-11-18,19.995001,19.995001,18.500000,19.102501,18.468386,236800
2013-11-25,19.102501,20.350000,19.102501,20.002501,19.338509,213200
2013-12-02,20.080000,20.080000,18.545000,18.977501,18.347534,261200
2013-12-09,18.950001,19.174999,18.250000,18.450001,17.837543,101200
2013-12-16,18.735001,19.405001,18.142500,19.184999,18.548145,94400
2013-12-23,19.235001,20.000000,19.190001,19.555000,18.905861,125200
2013-12-30,19.504999,20.145000,19.457500,19.727501,19.072636,122400
2014-01-06,19.799999,19.799999,18.930000,19.347500,18.705250,119200
