Date,Open,High,Low,Close,Adj Close,Volume
2012-07-16,40.820000,41.070000,40.619999,41.020000,41.020000,11100
2012-07-23,41.310001,41.459999,40.310001,40.430000,40.430000,43100
2012-07-30,40.709999,41.070000,40.240002,40.240002,40.240002,8000
2012-08-06,40.150002,40.580002,40.099998,40.549999,40.549999,8600
2012-08-13,40.369999,40.660000,40.369999,40.389999,40.389999,15500
2012-08-20,40.400002,40.400002,39.439999,39.869999,39.869999,17700
2012-08-27,39.849998,39.849998,39.459999,39.669998,39.669998,5700
2012-09-03,39.549999,39.610001,38.840000,38.840000,38.840000,6300
2012-09-10,39.020000,39.070000,37.680000,38.000000,38.000000,34500
2012-09-17,38.000000,38.439999,37.869999,38.299999,38.299999,10800
2012-09-24,38.549999,38.759998,38.400002,38.639999,38.639999,9700
2012-10-01,38.470001,38.590000,38.230000,38.230000,38.230000,600
2012-10-08,38.230000,38.560001,38.230000,38.500000,38.500000,500
2012-10-15,38.459999,38.490002,37.930000,38.150002,38.150002,8600
2012-10-22,38.150002,38.619999,38.150002,38.430000,38.430000,5100
2012-10-29,38.430000,38.669998,38.080002,38.669998,38.669998,3600
2012-11-05,38.889999,39.049999,38.810001,39.049999,39.049999,6200
2012-11-12,39.049999,39.130001,38.970001,39.130001,39.130001,1800
2012-11-19,38.880001,38.939999,38.720001,38.820000,38.820000,7600
2012-11-26,38.389999,38.490002,38.240002,38.259998,38.259998,4200
2012-12-03,38.029999,38.849998,37.970001,38.470001,38.470001,4600
2012-12-10,38.360001,38.360001,37.900002,37.990002,37.990002,1500
2012-12-17,37.990002,37.990002,37.480000,37.700001,37.700001,2900
2012-12-24,37.660000,37.660000,36.009998,37.500000,37.500000,2700
2012-12-31,37.639999,38.040001,37.639999,38.040001,38.040001,1000
2013-01-07,38.040001,38.049999,36.750000,37.139999,37.139999,2000
2013-01-14,37.070000,37.400002,37.070000,37.139999,37.139999,1500
2013-01-21,37.139999,37.209999,36.849998,36.849998,36.849998,1100
2013-01-28,36.820000,36.820000,36.549999,36.549999,36.549999,1700
2013-02-04,36.549999,36.820000,36.509998,36.709999,36.709999,1900
2013-02-11,36.709999,36.709999,36.709999,36.709999,36.709999,0
2013-02-18,37.060001,37.720001,36.990002,37.630001,37.630001,5200
2013-02-25,37.540001,38.900002,37.540001,38.119999,38.119999,17700
2013-03-04,38.130001,38.450001,37.830002,38.130001,38.130001,21600
2013-03-11,38.139999,38.240002,37.970001,37.980000,37.980000,8500
2013-03-18,39.750000,39.750000,38.119999,38.180000,38.180000,16200
2013-03-25,38.650002,38.810001,38.349998,38.650002,38.650002,7600
2013-04-01,38.869999,39.099998,37.740002,38.070000,38.070000,7900
2013-04-08,38.060001,38.060001,37.689999,37.840000,37.840000,5400
2013-04-15,37.900002,38.740002,37.459999,37.790001,37.790001,3400
2013-04-22,37.790001,38.090000,37.790001,37.950001,37.950001,3500
2013-04-29,37.750000,37.900002,37.509998,37.720001,37.720001,6100
2013-05-06,37.720001,38.290001,37.720001,37.799999,37.799999,300
2013-05-13,37.799999,38.450001,37.799999,38.439999,38.439999,3300
2013-05-20,38.459999,38.750000,38.180000,38.279999,38.279999,2700
2013-05-27,38.459999,38.459999,38.049999,38.060001,38.060001,600
2013-06-03,38.060001,38.060001,37.240002,37.360001,37.360001,12900
2013-06-10,37.360001,37.430000,36.990002,36.990002,36.990002,4200
2013-06-17,37.060001,37.590000,36.810001,37.590000,37.590000,9500
2013-06-24,37.730000,38.009998,37.610001,38.009998,38.009998,7800
2013-07-01,37.830002,38.119999,37.830002,37.939999,37.939999,3600
2013-07-08,38.330002,38.470001,37.660000,37.799999,37.799999,6000
2013-07-15,38.160000,38.160000,37.509998,37.599998,37.599998,101900
2013-07-22,37.369999,37.439999,37.090000,37.169998,37.169998,9500
2013-07-29,37.169998,37.340000,37.169998,37.340000,37.340000,1800
2013-08-05,37.250000,37.290001,36.740002,36.799999,36.799999,31100
2013-08-12,36.799999,37.340000,36.799999,36.860001,36.860001,3900
2013-08-19,36.910000,36.959999,36.639999,36.910000,36.910000,6500
2013-08-26,36.910000,37.310001,36.910000,37.310001,37.310001,500
2013-09-02,37.369999,37.470001,37.259998,37.349998,37.349998,700
2013-09-09,37.250000,37.250000,36.990002,37.000000,37.000000,500
2013-09-16,37.000000,37.000000,36.490002,36.500000,36.500000,2800
2013-09-23,36.470001,36.490002,36.410000,36.410000,36.410000,1100
2013-09-30,36.410000,36.410000,36.160000,36.160000,36.160000,700
2013-10-07,36.160000,36.160000,36.160000,36.160000,36.160000,0
2013-10-14,36.200001,36.430000,35.900002,35.910000,35.910000,20500
2013-10-21,35.939999,35.950001,35.619999,35.650002,35.650002,18800
2013-10-28,35.619999,36.360001,35.619999,36.360001,36.360001,3700
2013-11-04,36.470001,36.529999,36.470001,36.529999,36.529999,400
2013-11-11,36.700001,36.700001,36.509998,36.509998,36.509998,2800
2013-11-18,36.340000,36.340000,36.340000,36.340000,36.340000,500
2013-11-25,36.400002,36.400002,36.150002,36.230000,36.230000,31400
2013-12-02,36.230000,36.230000,36.130001,36.130001,36.130001,800
2013-12-09,36.130001,36.130001,35.619999,35.799999,35.799999,1000
2013-12-16,35.799999,36.000000,35.639999,35.849998,35.849998,6500
2013-12-23,35.849998,35.910000,35.580002,35.580002,35.580002,1500
2013-12-30,35.509998,35.660000,35.509998,35.660000,35.660000,800
2014-01-06,36.090000,36.180000,35.820000,35.820000,35.820000,6600
2014-01-13,35.820000,36.000000,35.820000,35.959999,35.959999,4700
2014-01-20,35.959999,36.259998,35.799999,35.860001,35.860001,2200
2014-01-27,35.790001,36.130001,35.790001,36.119999,36.119999,11400
2014-02-03,36.259998,36.299999,35.950001,35.950001,35.950001,5000
2014-02-10,35.950001,36.040001,35.849998,35.849998,35.849998,2600
2014-02-17,35.580002,35.689999,35.549999,35.689999,35.689999,1600
2014-02-24,35.689999,35.689999,35.450001,35.450001,35.450001,800
2014-03-03,35.490002,35.709999,35.250000,35.320000,35.320000,5600
2014-03-10,35.320000,35.330002,35.150002,35.150002,35.150002,2800
2014-03-17,35.150002,35.389999,35.150002,35.389999,35.389999,1200
2014-03-24,35.299999,35.580002,35.299999,35.580002,35.580002,400
2014-03-31,35.580002,35.759998,35.430000,35.759998,35.759998,2000
2014-04-07,35.970001,35.970001,35.200001,35.320000,35.320000,150200
2014-04-14,35.320000,35.450001,35.310001,35.310001,35.310001,1500
2014-04-21,35.490002,35.490002,35.349998,35.349998,35.349998,5200
2014-04-28,35.259998,35.419998,35.230000,35.250000,35.250000,33200
2014-05-05,35.200001,35.700001,35.060001,35.549999,35.549999,9000
2014-05-12,35.570000,35.720001,35.500000,35.700001,35.700001,8100
2014-05-19,35.700001,36.000000,35.700001,36.000000,36.000000,2100
2014-05-26,35.900002,36.169998,35.820000,35.830002,35.830002,5700
2014-06-02,35.970001,36.040001,35.759998,35.849998,35.849998,10600
2014-06-09,35.970001,36.110001,35.959999,36.110001,36.110001,78800
2014-06-16,36.110001,36.110001,35.759998,35.759998,35.759998,1700
2014-06-23,35.759998,35.830002,35.750000,35.750000,35.750000,800
2014-06-30,35.650002,35.860001,35.570000,35.860001,35.860001,7500
