Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,18.986666,19.156666,18.796667,18.803333,18.731243,21900
2009-06-08,18.020000,19.959999,18.020000,19.410000,19.335583,25800
2009-06-15,18.463333,18.463333,17.496666,18.180000,18.110298,32700
2009-06-22,17.670000,18.223333,17.006666,18.000000,17.930990,21300
2009-06-29,18.336666,18.973333,17.623333,17.623333,17.555767,8700
2009-07-06,17.309999,17.309999,16.350000,16.546667,16.483229,12600
2009-07-13,17.160000,18.959999,17.160000,18.870001,18.797653,51600
2009-07-20,19.543333,20.743334,19.389999,20.713333,20.633921,24300
2009-07-27,20.586666,21.709999,20.186666,21.660000,21.576956,19200
2009-08-03,22.469999,22.776667,22.120001,22.333334,22.247709,32400
2009-08-10,21.959999,22.826666,21.573334,22.230000,22.144770,13800
2009-08-17,20.966667,23.459999,20.893333,23.370001,23.280399,24600
2009-08-24,23.556667,24.666666,22.986666,23.973333,23.881422,250800
2009-08-31,23.476667,23.643333,21.600000,23.366667,23.277081,419700
2009-09-07,24.263334,27.656666,23.796667,25.393333,25.295977,147000
2009-09-14,25.393333,27.443333,25.173334,26.260000,26.159321,107400
2009-09-21,25.313334,26.950001,24.843334,25.073334,24.977203,378000
2009-09-28,25.233334,25.770000,22.400000,23.613333,23.522799,315900
2009-10-05,24.086666,26.120001,24.086666,25.826666,25.727650,153600
2009-10-12,26.433332,27.389999,25.690001,26.693333,26.590992,88500
2009-10-19,27.196667,27.746666,26.746666,26.830000,26.727135,56100
2009-10-26,27.139999,27.139999,24.000000,24.046667,23.954473,84900
2009-11-02,24.356667,25.469999,22.176666,25.469999,25.372349,116700
2009-11-09,27.456667,27.456667,26.120001,26.709999,26.607595,75300
2009-11-16,27.010000,27.780001,25.180000,25.703333,25.604792,179400
2009-11-23,26.850000,27.413334,25.076666,25.590000,25.491890,19500
2009-11-30,25.566668,27.719999,25.483334,26.923334,26.820114,113100
2009-12-07,26.639999,26.733334,25.150000,25.616667,25.518454,11100
2009-12-14,25.666666,25.916666,24.650000,25.030001,24.934034,12300
2009-12-21,25.030001,26.226667,25.030001,26.170000,26.069666,72900
2009-12-28,26.296667,26.469999,26.166666,26.166666,26.084074,5400
2010-01-04,27.153334,27.850000,27.146667,27.850000,27.762093,42300
2010-01-11,28.333334,28.373333,27.506666,27.506666,27.419842,75000
2010-01-18,28.146667,28.280001,25.500000,25.666666,25.585653,46200
2010-01-25,25.469999,25.510000,23.793333,24.080000,24.003992,14100
2010-02-01,24.246666,25.146667,21.166666,21.166666,21.099855,26700
2010-02-08,22.153334,23.340000,21.730000,22.266666,22.196381,24600
2010-02-15,22.896667,24.073334,22.879999,23.836666,23.761427,22200
2010-02-22,23.773333,23.773333,21.636667,23.040001,22.967278,5100
2010-03-01,24.143333,25.780001,23.496666,25.643333,25.562389,15000
2010-03-08,25.670000,26.150000,25.393333,26.150000,26.067459,78600
2010-03-15,25.776667,27.183332,25.776667,26.086666,26.004326,172200
2010-03-22,25.469999,26.396667,25.000000,25.930000,25.848152,214500
2010-03-29,26.400000,26.873333,26.400000,26.566668,26.504641,6900
2010-04-05,26.900000,27.480000,26.043333,27.480000,27.415842,13500
2010-04-12,28.153334,28.650000,27.020000,27.396667,27.332703,58200
2010-04-19,26.633333,27.466667,26.150000,26.760000,26.697525,60600
2010-04-26,27.090000,27.176666,24.533333,24.910000,24.851839,75600
2010-05-03,24.933332,25.049999,17.799999,20.166666,20.119581,74400
2010-05-10,22.940001,23.193333,20.476667,20.656666,20.608437,63900
2010-05-17,20.520000,20.520000,18.333334,19.496666,19.451145,249000
2010-05-24,19.100000,20.100000,17.646667,19.606667,19.560890,93600
2010-05-31,18.926666,20.183332,18.143333,18.143333,18.100973,65400
2010-06-07,18.226667,19.653334,17.700001,19.613333,19.567539,267300
2010-06-14,20.136667,21.200001,19.953333,21.036667,20.987549,268800
2010-06-21,21.683332,21.750000,19.806667,20.143333,20.096304,48300
2010-06-28,20.143333,20.143333,18.406666,18.523333,18.481255,27600
2010-07-05,19.883333,21.216667,19.623333,21.216667,21.168468,35700
2010-07-12,21.216667,22.173334,20.846666,20.846666,20.799309,32700
2010-07-19,20.846666,22.440001,20.463333,22.440001,22.389025,15900
2010-07-26,22.466667,23.423334,22.233334,22.833334,22.781466,31800
2010-08-02,23.733334,24.323334,23.733334,24.263334,24.208216,39300
2010-08-09,24.563334,24.563334,21.436666,21.666666,21.617447,37200
2010-08-16,22.123333,22.533333,21.100000,21.163334,21.115257,5400
2010-08-23,21.163334,21.263334,19.806667,21.263334,21.215033,14100
2010-08-30,21.160000,22.983334,20.823334,22.856667,22.804743,30000
2010-09-06,22.780001,23.346666,22.523333,23.250000,23.197186,3600
2010-09-13,23.950001,24.000000,23.950001,24.000000,23.945480,4800
2010-09-20,24.863333,25.546667,24.583334,25.546667,25.488634,12300
2010-09-27,25.466667,25.746666,25.043333,25.693333,25.640463,7500
2010-10-04,25.286667,26.833334,25.286667,26.833334,26.778120,3900
2010-10-11,26.963333,27.866667,26.473333,27.570000,27.513268,9300
2010-10-18,27.553333,27.850000,26.446667,27.250000,27.193928,167700
2010-10-25,27.250000,27.250000,26.480000,26.830000,26.774792,47400
2010-11-01,27.110001,29.196667,27.110001,29.166666,29.106649,24900
2010-11-08,28.626667,29.020000,27.756666,27.756666,27.699551,11700
2010-11-15,27.610001,27.743334,26.103333,27.600000,27.543207,78300
2010-11-22,27.020000,27.020000,25.256666,25.549999,25.497425,6600
2010-11-29,24.549999,27.030001,24.403334,27.030001,26.974380,26400
2010-12-06,26.703333,27.590000,26.676666,27.356667,27.300375,8400
2010-12-13,28.059999,28.059999,27.283333,27.306667,27.250479,20100
2010-12-20,27.306667,27.920000,27.306667,27.920000,27.862549,9900
2010-12-27,27.520000,28.673334,27.520000,28.629999,28.571087,20100
2011-01-03,28.803333,28.983334,27.613333,27.613333,27.556513,10200
2011-01-10,27.059999,29.443333,26.983334,29.426666,29.366114,65100
2011-01-17,29.786667,30.123333,28.576666,29.353333,29.292933,13500
2011-01-24,29.803333,30.316668,29.500000,29.516666,29.455931,30900
2011-01-31,29.440001,30.923334,29.330000,30.646667,30.583605,39300
2011-02-07,30.703333,31.209999,30.283333,30.850000,30.786520,40500
2011-02-14,30.956667,31.956667,30.783333,31.956667,31.890909,7800
2011-02-21,30.293333,30.973333,30.046667,30.973333,30.909599,34500
2011-02-28,31.459999,31.616667,30.753334,31.090000,31.026028,35100
2011-03-07,30.483334,30.840000,29.286667,29.286667,29.226404,19800
2011-03-14,27.826666,27.863333,25.146667,27.760000,27.702877,33600
2011-03-21,28.856667,29.556667,28.836666,29.240000,29.179832,27600
2011-03-28,29.443333,30.063334,29.183332,29.976667,29.914984,24300
2011-04-04,30.566668,31.166666,29.966667,31.013334,30.949518,54900
2011-04-11,31.139999,31.166666,30.543333,30.700001,30.636829,25200
2011-04-18,29.283333,31.770000,29.123333,31.709999,31.644749,16800
2011-04-25,31.773333,33.700001,31.773333,33.623333,33.554146,65400
2011-05-02,33.883335,33.956665,31.000000,31.253334,31.189024,89700
2011-05-09,31.373333,32.236668,29.826666,30.136667,30.074656,58800
2011-05-16,30.163334,30.966667,29.719999,30.376667,30.314161,26700
2011-05-23,28.833334,29.953333,28.520000,29.953333,29.891699,94800
2011-05-30,31.156666,31.156666,29.860001,30.406666,30.344097,55500
2011-06-06,30.013334,30.533333,28.639999,28.750000,28.690842,12000
2011-06-13,28.793333,29.730000,27.316668,28.230000,28.171909,7200
2011-06-20,27.809999,29.216667,27.273333,27.593334,27.536554,73800
2011-06-27,27.666666,31.030001,27.666666,30.990000,30.926231,10500
2011-07-04,30.879999,31.010000,30.223333,30.223333,30.161142,57900
2011-07-11,28.326666,29.420000,28.219999,28.633333,28.574415,30000
2011-07-18,27.549999,30.549999,27.549999,30.496666,30.433914,46500
