Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,29.990000,30.100000,29.680000,30.100000,30.029301,7400
2017-11-06,30.469999,30.820000,30.469999,30.670000,30.597961,13800
2017-11-13,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-25,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-01-08,null,null,null,null,null,null
2018-01-15,null,null,null,null,null,null
2018-01-22,null,null,null,null,null,null
2018-01-29,null,null,null,null,null,null
2018-02-05,null,null,null,null,null,null
2018-02-12,null,null,null,null,null,null
2018-02-19,null,null,null,null,null,null
2018-02-26,null,null,null,null,null,null
2018-03-05,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-19,null,null,null,null,null,null
2018-03-26,null,null,null,null,null,null
2018-04-02,null,null,null,null,null,null
2018-04-09,null,null,null,null,null,null
2018-04-16,null,null,null,null,null,null
2018-04-23,null,null,null,null,null,null
2018-04-30,null,null,null,null,null,null
2018-05-07,null,null,null,null,null,null
2018-05-14,null,null,null,null,null,null
2018-05-21,30.070000,30.250000,29.809999,29.990000,29.919558,18100
2018-05-28,28.959999,30.959999,28.920000,30.959999,30.887280,35000
2018-06-04,31.000000,31.990000,31.000000,31.549999,31.475893,33000
2018-06-11,31.930000,32.480000,31.290001,31.820000,31.745260,37400
2018-06-18,31.510000,31.510000,30.170000,30.910000,30.837397,29000
2018-06-25,30.250000,30.440001,28.250000,29.590000,29.520498,55500
2018-07-02,28.660000,29.389999,28.510000,29.110001,29.041626,22700
2018-07-09,29.629999,30.170000,28.910000,29.760000,29.690098,34900
2018-07-16,30.000000,30.000000,29.379999,29.690001,29.620264,21500
2018-07-23,29.620001,30.110001,29.190001,29.330000,29.261108,35300
2018-07-30,29.100000,29.100000,27.170000,27.830000,27.764631,46600
2018-08-06,27.459999,27.980000,27.139999,27.290001,27.225901,61600
2018-08-13,27.160000,27.200001,24.549999,25.590000,25.529894,97300
2018-08-20,25.809999,27.129999,25.660000,26.750000,26.687168,47800
2018-08-27,27.100000,27.610001,26.190001,26.280001,26.218273,52300
2018-09-03,26.400000,26.799999,25.270000,25.570000,25.509939,39900
2018-09-10,25.480000,25.959999,24.299999,25.900000,25.839165,33400
2018-09-17,25.570000,26.950001,25.360001,26.780001,26.717098,23900
2018-09-24,26.440001,27.000000,26.160000,26.690001,26.627310,21100
2018-10-01,26.780001,26.850000,24.100000,24.420000,24.362642,52300
2018-10-08,23.600000,24.170000,22.219999,23.420000,23.364990,50200
2018-10-15,23.129999,23.610001,22.290001,22.410000,22.357363,18600
2018-10-22,23.190001,23.309999,21.370001,21.850000,21.798677,58800
2018-10-29,21.809999,24.879999,20.910000,23.900000,23.843863,79800
2018-11-05,23.600000,24.510000,22.540001,22.790001,22.736471,33900
2018-11-12,22.670000,24.190001,22.200001,24.070000,24.013464,97100
2018-11-19,23.910000,24.139999,22.540001,23.299999,23.245272,20100
2018-11-26,23.700001,23.969999,23.000000,23.969999,23.913698,66700
2018-12-03,24.990000,25.000000,22.780001,23.350000,23.295155,41400
2018-12-10,23.150000,24.580000,23.150000,23.799999,23.744097,29400
2018-12-17,23.389999,23.670000,22.520000,22.639999,22.586823,80700
2018-12-24,22.190001,23.490000,22.190001,23.030001,22.975906,61000
2018-12-31,22.760000,23.910000,22.270000,23.400000,23.400000,57900
2019-01-07,23.420000,24.209999,23.420000,23.740000,23.740000,18800
2019-01-14,23.480000,24.340000,23.480000,24.340000,24.340000,4900
2019-01-21,24.959999,24.959999,23.520000,24.809999,24.809999,52200
2019-01-28,24.330000,24.850000,23.790001,23.820000,23.820000,8100
2019-02-04,24.230000,25.389999,24.040001,25.090000,25.090000,12900
2019-02-11,25.000000,25.700001,24.690001,24.950001,24.950001,14800
2019-02-18,25.299999,25.990000,25.040001,25.840000,25.840000,13600
2019-02-25,26.629999,27.000000,26.000000,26.549999,26.549999,19200
2019-03-04,26.590000,26.969999,24.910000,25.160000,25.160000,48900
2019-03-11,25.900000,27.000000,25.650000,26.969999,26.969999,21300
