Date,Open,High,Low,Close,Adj Close,Volume
2013-10-28,25.000000,25.020000,24.950001,25.020000,21.293938,11400
2013-11-04,25.100000,25.230000,24.690001,24.760000,21.072660,34500
2013-11-11,24.980000,25.200001,24.840000,25.200001,21.447134,23000
2013-11-18,25.260000,25.260000,24.900000,25.230000,21.472666,16900
2013-11-25,25.270000,25.290001,24.940001,24.940001,21.225849,9500
2013-12-02,24.969999,24.969999,24.440001,24.740000,21.055635,35400
2013-12-09,24.750000,24.770000,24.320000,24.379999,20.749252,19600
2013-12-16,24.459999,25.190001,24.459999,25.160000,21.413090,9000
2013-12-23,25.270000,25.730000,25.270000,25.520000,21.719479,16900
2013-12-30,25.500000,25.940001,25.480000,25.570000,21.818680,17100
2014-01-06,25.629999,25.629999,25.379999,25.629999,21.869879,19200
2014-01-13,25.490000,25.660000,25.410000,25.660000,21.895473,10000
2014-01-20,25.799999,25.870001,25.500000,25.500000,21.758949,27300
2014-01-27,25.540001,25.920000,25.309999,25.870001,22.074669,15900
2014-02-03,25.990000,26.070000,25.459999,26.070000,22.245325,16100
2014-02-10,25.770000,26.170000,25.580000,26.160000,22.322123,118500
2014-02-17,26.540001,26.540001,26.049999,26.280001,22.424519,8200
2014-02-24,26.219999,26.230000,25.850000,26.100000,22.270929,16600
2014-03-03,26.250000,26.600000,26.049999,26.340000,22.475719,24800
2014-03-10,26.280001,26.309999,26.070000,26.309999,22.450117,13400
2014-03-17,26.420000,26.570000,26.230000,26.350000,22.484253,7800
2014-03-24,26.190001,26.420000,26.070000,26.400000,22.526913,12900
2014-03-31,26.459999,27.080000,26.450001,26.900000,23.088070,9900
2014-04-07,26.940001,26.990000,26.480000,26.920000,23.105238,5800
2014-04-14,27.049999,27.350000,26.870001,27.330000,23.457132,11200
2014-04-21,27.330000,27.639999,27.190001,27.320000,23.448551,14900
2014-04-28,27.320000,27.799999,27.120001,27.660000,23.740374,29100
2014-05-05,27.670000,28.730000,27.660000,27.799999,23.860533,10400
2014-05-12,27.700001,28.160000,27.700001,28.120001,24.135189,15100
2014-05-19,28.930000,28.930000,28.000000,28.370001,24.349760,8400
2014-05-26,28.410000,28.469999,28.180000,28.469999,24.435587,11000
2014-06-02,28.620001,28.990000,28.520000,28.990000,24.881905,7400
2014-06-09,29.000000,29.030001,28.629999,28.750000,24.675913,16600
2014-06-16,29.410000,30.030001,29.299999,29.799999,25.577118,21700
2014-06-23,30.360001,30.360001,29.600000,30.170000,25.894688,26300
2014-06-30,30.330000,30.459999,30.000000,30.049999,25.948442,20300
2014-07-07,30.030001,30.290001,29.350000,29.799999,25.732561,33100
2014-07-14,29.910000,30.219999,29.730000,30.209999,26.086603,17400
2014-07-21,30.330000,30.780001,30.160000,30.340000,26.198858,14300
2014-07-28,30.280001,30.520000,28.920000,28.940001,24.989946,22200
2014-08-04,29.330000,29.420000,28.959999,29.170000,25.188553,15400
2014-08-11,29.900000,30.510000,29.690001,30.450001,26.293846,119900
2014-08-18,30.469999,31.180000,30.450001,30.629999,26.449276,45400
2014-08-25,31.000000,31.280001,30.629999,31.230000,26.967381,24300
2014-09-01,31.379999,31.420000,31.049999,31.389999,27.105539,23400
2014-09-08,31.350000,31.350000,30.450001,30.520000,26.354290,20100
2014-09-15,30.370001,31.150000,30.219999,30.990000,26.760139,30500
2014-09-22,31.120001,31.120001,29.400000,29.809999,25.741194,27200
2014-09-29,29.799999,30.129999,29.379999,29.770000,25.845444,20800
2014-10-06,29.770000,29.959999,27.520000,28.150000,24.439009,43900
2014-10-13,28.000000,28.790001,26.049999,28.240000,24.517145,54300
2014-10-20,28.430000,29.620001,28.430000,29.459999,25.576309,34400
2014-10-27,29.580000,29.850000,29.090000,29.340000,25.472132,48800
2014-11-03,29.180000,29.760000,28.639999,29.360001,25.489492,21300
2014-11-10,29.490000,29.490000,28.870001,29.090000,25.255089,15400
2014-11-17,29.219999,30.260000,29.209999,29.830000,25.897533,20000
2014-11-24,30.030001,30.030001,28.549999,28.549999,24.786274,11100
2014-12-01,28.490000,28.910000,27.459999,28.480000,24.725504,26700
2014-12-08,27.920000,27.920000,25.959999,26.160000,22.711349,27000
2014-12-15,26.139999,27.750000,25.500000,27.650000,24.004921,97900
2014-12-22,27.549999,28.450001,27.549999,28.389999,24.647367,17900
2014-12-29,28.389999,28.889999,28.389999,28.680000,25.000996,49800
2015-01-05,28.580000,28.580000,26.620001,26.840000,23.397030,18800
2015-01-12,26.600000,26.600000,25.299999,26.379999,22.996035,29800
2015-01-19,26.540001,27.430000,26.400000,27.299999,23.798018,29400
2015-01-26,27.469999,27.469999,26.379999,26.590000,23.179100,72500
2015-02-02,26.850000,27.930000,26.850000,27.309999,23.806742,26000
2015-02-09,27.520000,28.160000,26.920000,27.570000,24.033384,33900
2015-02-16,27.559999,27.820000,27.320000,27.450001,23.928782,18000
2015-02-23,27.280001,27.510000,26.870001,27.040001,23.571373,29200
2015-03-02,27.070000,27.290001,26.690001,26.690001,23.266268,28000
2015-03-09,26.850000,26.980000,25.580000,25.639999,22.350962,33800
2015-03-16,25.920000,26.860001,25.750000,26.740000,23.309855,29300
2015-03-23,26.570000,27.059999,26.549999,26.549999,23.144226,24000
2015-03-30,26.820000,26.969999,26.750000,26.870001,23.583536,19800
2015-04-06,27.230000,27.320000,27.000000,27.309999,23.969721,22400
2015-04-13,27.250000,28.090000,27.120001,27.969999,24.549000,37100
2015-04-20,28.200001,28.459999,27.870001,28.450001,24.970293,25000
2015-04-27,28.510000,28.520000,28.120001,28.240000,24.785973,20000
2015-05-04,28.540001,28.540001,27.500000,27.740000,24.347128,24000
2015-05-11,27.620001,27.790001,27.340000,27.660000,24.276909,16100
2015-05-18,27.900000,27.910000,27.510000,27.639999,24.259356,22000
2015-05-25,27.219999,27.219999,26.860001,26.900000,23.609869,9600
2015-06-01,26.799999,26.980000,25.990000,26.110001,22.916494,16700
2015-06-08,25.870001,26.129999,25.670000,25.740000,22.591743,8500
2015-06-15,25.610001,26.290001,25.610001,25.889999,22.723398,22700
2015-06-22,26.520000,26.620001,25.889999,25.910000,22.740955,4100
2015-06-29,26.309999,26.309999,24.959999,25.170000,22.263636,14400
2015-07-06,25.270000,25.370001,24.680000,25.180000,22.272470,27800
2015-07-13,25.450001,25.670000,24.920000,24.930000,22.051344,13700
2015-07-20,24.830000,24.830000,23.610001,23.650000,20.919144,15000
2015-07-27,23.650000,24.670000,23.360001,24.290001,21.485243,29600
2015-08-03,23.879999,24.059999,22.299999,22.379999,19.795788,18400
2015-08-10,22.670000,23.610001,22.610001,23.450001,20.742235,21100
2015-08-17,23.530001,23.780001,22.040001,22.040001,19.495050,10100
2015-08-24,21.150000,22.650000,20.950001,22.549999,19.946163,53300
2015-08-31,22.370001,22.719999,21.730000,21.740000,19.229692,12900
2015-09-07,21.740000,21.980000,21.000000,21.000000,18.575142,50800
2015-09-14,21.030001,21.510000,20.870001,21.280001,18.822803,29800
2015-09-21,21.360001,21.549999,19.860001,20.200001,17.867516,18000
2015-09-28,20.780001,20.830000,18.480000,20.290001,18.058977,48400
2015-10-05,20.940001,22.150000,20.940001,22.150000,19.714458,16600
2015-10-12,21.740000,21.809999,21.350000,21.809999,19.411840,16300
2015-10-19,21.639999,21.639999,20.870001,20.879999,18.584103,7700
2015-10-26,20.530001,20.600000,19.740000,20.600000,18.334892,38100
2015-11-02,20.620001,21.040001,19.639999,19.770000,17.596153,8900
2015-11-09,19.780001,19.780001,18.580000,18.830000,16.759508,14400
2015-11-16,18.719999,19.540001,18.719999,18.840000,16.768417,27100
2015-11-23,18.770000,19.160000,18.770000,18.969999,16.884117,22700
