Date,Open,High,Low,Close,Adj Close,Volume
2015-06-22,20.200001,20.430000,17.934000,18.450001,18.450001,383500
2015-06-29,17.790001,18.690001,16.700001,17.993000,17.993000,618400
2015-07-06,17.620001,18.750000,16.740000,18.200001,18.200001,601000
2015-07-13,18.799999,22.100000,18.790001,22.049999,22.049999,1437000
2015-07-20,22.360001,22.660000,18.740000,18.910000,18.910000,1129300
2015-07-27,17.900000,19.940001,17.700001,19.500000,19.500000,1521100
2015-08-03,19.660000,20.620001,16.462999,17.200001,17.200001,1228200
2015-08-10,17.920000,88.250000,16.011000,16.709999,16.709999,977700
2015-08-17,82.349998,88.900002,13.530000,13.530000,13.530000,1279800
2015-08-24,9.000000,14.840000,9.000000,14.840000,14.840000,2432600
2015-08-31,14.590000,71.150002,12.260000,12.810000,12.810000,660300
2015-09-07,13.500000,73.750000,13.350000,73.750000,73.750000,710600
2015-09-14,73.550003,76.724998,14.360000,14.990000,14.990000,849600
2015-09-21,15.250000,15.250000,9.100000,9.700000,9.700000,3445300
2015-09-28,9.350000,49.849998,7.366000,49.799999,49.799999,4039500
2015-10-05,50.900002,52.900002,39.055000,46.150002,46.150002,862700
2015-10-12,47.450001,50.200001,41.150002,48.450001,48.450001,499800
2015-10-19,47.750000,51.450001,8.260000,48.650002,48.650002,1621100
2015-10-26,9.670000,55.400002,9.350000,53.400002,53.400002,3847400
2015-11-02,54.400002,61.049999,11.280000,55.049999,55.049999,1155800
2015-11-09,54.049999,56.650002,49.919998,51.849998,51.849998,313600
2015-11-16,50.880001,59.610001,49.000000,56.410000,56.410000,564900
2015-11-23,56.590000,60.555000,55.759998,60.349998,60.349998,396300
2015-11-30,61.000000,61.060001,49.619999,55.029999,55.029999,622300
2015-12-07,54.669998,54.880001,48.970001,49.110001,49.110001,683400
2015-12-14,49.660000,58.330002,46.750000,53.939999,53.939999,676800
2015-12-21,54.869999,59.020000,53.130001,58.560001,58.560001,510900
2015-12-28,57.560001,60.529999,56.279999,57.849998,57.849998,238100
2016-01-04,53.919998,54.290001,40.509998,40.650002,40.650002,1214800
2016-01-11,41.590000,41.590000,29.754000,33.080002,33.080002,1137800
2016-01-18,34.709999,35.029999,27.830000,34.189999,34.189999,1028000
2016-01-25,33.270000,35.000000,24.650000,26.990000,26.990000,1139600
2016-02-01,26.480000,28.260000,22.480000,23.700001,23.700001,1300200
2016-02-08,22.410000,23.850000,19.400000,22.080000,22.080000,1366500
2016-02-15,23.080000,26.590000,23.080000,24.809999,24.809999,924300
2016-02-22,25.900000,26.200001,21.660000,24.700001,24.700001,969400
2016-02-29,24.709999,26.825001,22.520000,25.040001,25.040001,1436900
2016-03-07,24.639999,27.500000,21.903000,24.440001,24.440001,1211700
2016-03-14,24.170000,24.840000,19.049999,21.430000,21.430000,1487900
2016-03-21,21.100000,24.750000,20.889999,22.360001,22.360001,1092300
2016-03-28,22.790001,25.889999,20.219999,25.760000,25.760000,1541300
2016-04-04,25.910000,31.469999,25.459999,28.200001,28.200001,2312600
2016-04-11,28.650000,29.820000,26.059999,29.100000,29.100000,835300
2016-04-18,28.730000,31.830000,28.150000,31.389999,31.389999,699400
2016-04-25,31.139999,31.760000,24.534000,25.180000,25.180000,945500
2016-05-02,25.299999,26.030001,20.799999,21.740000,21.740000,787900
2016-05-09,21.750000,24.180000,19.900000,21.170000,21.170000,967900
2016-05-16,21.559999,23.889999,21.559999,23.670000,23.670000,602600
2016-05-23,23.780001,26.931999,23.680000,26.910000,26.910000,563800
2016-05-30,27.639999,29.955000,27.290001,28.559999,28.559999,638900
2016-06-06,28.709999,30.070000,23.940001,24.316999,24.316999,723000
2016-06-13,23.820000,24.837999,21.389999,21.430000,21.430000,630700
2016-06-20,22.330000,22.900000,19.420000,19.440001,19.440001,1793300
2016-06-27,18.879999,22.702999,17.370001,22.510000,22.510000,1616100
2016-07-04,22.030001,24.879999,21.299999,24.610001,24.610001,745600
2016-07-11,25.049999,25.600000,23.600000,25.010000,25.010000,695800
2016-07-18,25.110001,27.730000,24.080000,27.280001,27.280001,909300
2016-07-25,27.180000,29.910000,26.590000,29.760000,29.760000,859800
2016-08-01,30.010000,33.000000,29.531000,32.290001,32.290001,1064200
2016-08-08,32.380001,32.650002,29.309999,30.620001,30.620001,607500
2016-08-15,30.980000,31.820000,29.500000,29.930000,29.930000,356100
2016-08-22,30.590000,32.730000,26.400000,28.200001,28.200001,747100
2016-08-29,28.500000,28.590000,26.360001,26.860001,26.860001,262900
