Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,24.990000,25.320000,24.900000,25.320000,24.483328,120000
2015-10-05,25.920000,26.400000,25.920000,26.400000,25.527639,120500
2015-10-12,26.430000,26.639999,26.320000,26.639999,25.759712,120300
2015-10-19,26.614000,27.590000,26.500000,27.590000,26.678320,102100
2015-10-26,27.700001,27.700001,27.250000,27.320000,26.417240,107200
2015-11-02,27.459999,27.780001,27.459999,27.711000,26.795322,109700
2015-11-09,27.459999,27.459999,26.540001,26.540001,25.663015,19000
2015-11-16,26.500000,27.549999,26.480000,27.500000,26.591293,10700
2015-11-23,27.473000,27.510000,27.110001,27.417999,26.512003,4600
2015-11-30,27.520000,27.879999,27.250000,27.250000,26.349556,6100
2015-12-07,27.709999,27.709999,26.900000,26.900000,26.011120,32300
2015-12-14,26.759001,27.370001,26.601000,26.900000,26.011120,6600
2015-12-21,26.570000,27.110001,26.570000,27.090000,26.194841,7500
2015-12-28,27.000000,27.413000,27.000000,27.313000,26.501411,4300
2016-01-04,26.379999,26.500000,24.972000,25.120001,24.373577,5900
2016-01-11,24.896000,25.240000,23.799999,24.219999,23.500319,31200
2016-01-18,24.549999,24.600000,23.900000,24.600000,23.869030,20000
2016-01-25,24.336000,24.860001,24.150000,24.860001,24.121302,7800
2016-02-01,24.830000,25.044001,24.260000,24.260000,23.539131,3100
2016-02-08,24.260000,24.260000,22.830000,23.160000,22.471815,2200
2016-02-15,23.500000,24.639999,23.500000,24.590000,23.859322,1100
2016-02-22,24.870001,25.049999,24.120001,25.014999,24.271694,3900
2016-02-29,24.889999,25.816000,24.889999,25.816000,25.048895,3800
2016-03-07,25.816000,26.110001,25.454000,26.110001,25.334162,6800
2016-03-14,26.160000,26.440001,26.070000,26.440001,25.654354,1600
2016-03-21,26.705999,26.836000,26.372000,26.499001,25.711597,5100
2016-03-28,26.410000,27.198999,26.410000,27.198999,26.390800,7400
2016-04-04,27.100000,27.100000,26.700001,26.721001,25.927004,3900
2016-04-11,26.993999,27.120001,26.608999,26.858000,26.059931,6600
2016-04-18,26.790001,27.010000,26.690001,26.736000,25.941557,7200
2016-04-25,26.736000,26.760000,25.760000,25.760000,24.994560,7100
2016-05-02,25.879999,25.879999,25.510000,25.610001,24.849016,3300
2016-05-09,25.700001,26.068001,25.639999,25.768000,25.002321,10700
2016-05-16,25.910000,26.299999,25.690001,26.299999,25.518513,7600
2016-05-23,26.431000,27.379999,26.431000,27.379999,26.566423,11800
2016-05-30,27.450001,27.559999,27.299999,27.434999,26.619787,6400
2016-06-06,27.500000,27.709999,27.209999,27.219999,26.411177,3600
2016-06-13,27.309999,27.309999,27.059999,27.070000,26.265635,11000
2016-06-20,27.360001,27.601999,26.240000,26.274000,25.493284,4800
2016-06-27,25.719999,26.840000,25.309999,26.827000,26.233244,5100
2016-07-04,26.552000,26.639999,26.552000,26.639999,26.050381,1400
2016-07-11,26.639999,28.120001,26.639999,28.011000,27.391035,5700
2016-07-18,28.230000,28.580999,28.120001,28.549999,27.918106,3200
2016-07-25,28.549999,29.020000,28.549999,28.823999,28.186043,2400
2016-08-01,29.030001,29.370001,28.780001,29.350000,28.700401,3100
2016-08-08,29.337000,29.549999,29.318001,29.412001,28.761028,4200
2016-08-15,29.700001,29.740000,29.330000,29.620001,28.964426,208900
2016-08-22,29.620001,29.889999,29.620001,29.750000,29.091545,1800
2016-08-29,30.000000,30.115000,29.780001,30.115000,29.448467,1500
2016-09-05,30.162001,30.240000,29.448000,29.448000,28.796232,3000
2016-09-12,29.480000,30.000000,29.476000,29.850000,29.189337,3100
2016-09-19,29.850000,30.500000,29.850000,30.259001,29.589283,900
2016-09-26,30.230000,30.590000,29.969000,30.570000,29.893400,1900
2016-10-03,30.500000,30.540001,30.364000,30.520000,29.844503,3500
2016-10-10,30.520000,30.520000,29.639999,30.139999,29.472914,5300
2016-10-17,29.879999,30.150000,29.870001,29.969999,29.306677,7000
2016-10-24,30.271999,30.400000,30.000000,30.000000,29.336014,8000
2016-10-31,30.139999,30.160000,29.350000,29.490000,28.837303,137000
2016-11-07,29.969999,30.476999,29.670000,30.143999,29.476828,19700
2016-11-14,30.219999,30.809999,29.948999,30.686001,30.006832,14600
2016-11-21,30.680000,31.059999,30.680000,31.030001,30.343216,20500
2016-11-28,31.000000,31.090000,29.799999,30.000000,29.336014,162200
2016-12-05,30.000000,31.319000,30.000000,31.222000,30.530968,10200
2016-12-12,31.080000,31.580000,31.020000,31.200001,30.509457,12500
2016-12-19,31.274000,31.650000,31.169001,31.169001,30.479141,18600
2016-12-26,31.299999,31.440001,30.729000,30.760000,30.259808,8400
2017-01-02,30.959999,31.420000,30.799999,31.420000,30.909071,12800
2017-01-09,31.389999,31.750000,31.389999,31.691999,31.176651,17300
2017-01-16,31.639999,31.790001,31.402000,31.709999,31.194357,25000
2017-01-23,31.620001,32.730000,31.607000,32.500000,31.971514,12800
2017-01-30,32.270000,32.759998,31.968000,32.619999,32.089558,123700
2017-02-06,32.900002,33.040001,32.570000,33.011002,32.474205,19200
2017-02-13,33.169998,33.740002,33.067001,33.590000,33.043785,24700
2017-02-20,33.900002,33.900002,33.500000,33.810001,33.260204,14900
2017-02-27,33.790001,34.330002,33.619999,33.844002,33.293659,20100
2017-03-06,33.779999,34.070000,33.669998,34.040001,33.486469,17100
2017-03-13,34.096001,34.470001,33.971001,34.369999,33.811104,16700
2017-03-20,34.419998,34.630001,33.660000,34.110001,33.555336,11000
2017-03-27,33.759998,34.471001,33.727001,34.410000,33.850456,15400
2017-04-03,34.490002,34.580002,34.049999,34.324001,33.765850,47400
2017-04-10,34.330002,34.330002,33.799999,33.810001,33.260204,10800
2017-04-17,33.939999,34.669998,33.928001,34.340000,33.781593,17000
2017-04-24,34.740002,35.169998,34.669998,35.160000,34.588257,23200
2017-05-01,35.189999,35.639999,35.189999,35.580002,35.001431,27000
2017-05-08,35.630001,35.919998,35.560001,35.790001,35.208015,27100
2017-05-15,36.090000,36.340000,35.220001,35.619999,35.040775,26100
2017-05-22,35.880001,36.610001,35.830002,36.540001,35.945816,29800
2017-05-29,36.560001,37.029999,36.470001,37.023998,36.421944,22400
2017-06-05,37.000000,37.439999,36.000000,36.169998,35.581829,23900
2017-06-12,36.000000,36.410000,35.380001,35.790001,35.208015,25200
2017-06-19,36.330002,36.935001,36.119999,36.799999,36.201588,32300
2017-06-26,36.953999,36.953999,35.236000,35.660000,35.080124,29500
2017-07-03,35.799999,35.869999,35.222000,35.720001,35.264687,15700
2017-07-10,35.730000,36.889999,35.730000,36.889999,36.419769,15100
2017-07-17,37.000000,37.509998,36.869999,37.292999,36.817635,17400
2017-07-24,37.254002,37.570000,36.700001,36.856998,36.387192,25900
2017-07-31,37.009998,37.009998,36.506001,36.647999,36.180855,23800
2017-08-07,36.799999,37.035000,35.862999,36.180000,35.718822,39800
2017-08-14,36.756001,37.160000,36.167000,36.354000,35.890602,18900
2017-08-21,36.076000,36.775002,36.000000,36.740002,36.271683,15200
2017-08-28,36.759998,37.768002,36.750000,37.648998,37.169090,23200
2017-09-04,37.639999,37.650002,37.084000,37.169998,36.696201,14600
2017-09-11,37.810001,38.008999,37.694000,37.894001,37.410976,32500
2017-09-18,38.130001,38.349998,37.730999,37.939999,37.456387,13300
