Date,Open,High,Low,Close,Adj Close,Volume
2011-07-11,50.020000,50.040001,49.889999,49.990002,42.135895,22900
2011-07-18,50.000000,50.130001,49.869999,49.980000,42.127457,94100
2011-07-25,49.900002,50.299999,49.759998,50.299999,42.397182,58700
2011-08-01,50.130001,51.009998,50.130001,50.779999,42.801754,168200
2011-08-08,50.410000,51.389999,50.410000,51.099998,43.098904,156700
2011-08-15,51.110001,51.520000,51.000000,51.299999,43.267574,196800
2011-08-22,51.320000,51.330002,50.889999,51.060001,43.065189,117800
2011-08-29,50.950001,51.509998,50.849998,51.480000,43.419415,230500
2011-09-05,51.599998,51.599998,51.220001,51.549999,43.541447,183700
2011-09-12,51.650002,51.650002,51.160000,51.250000,43.288055,215700
2011-09-19,51.459999,51.900002,51.290001,51.560001,43.549889,239500
2011-09-26,51.540001,51.540001,51.080002,51.380001,43.397850,187100
2011-10-03,51.430000,51.470001,50.869999,50.910000,43.000881,98700
2011-10-10,50.860001,50.939999,50.730000,50.889999,43.034225,192000
2011-10-17,51.160000,51.189999,50.900002,51.119999,43.228737,152000
2011-10-24,51.160000,51.279999,50.889999,51.099998,43.211796,622100
2011-10-31,51.320000,51.599998,51.230000,51.419998,43.482391,876500
2011-11-07,51.389999,51.520000,51.020000,51.270000,43.412186,294100
2011-11-14,51.360001,51.400002,51.259998,51.299999,43.437569,130100
2011-11-21,51.310001,51.419998,51.279999,51.340000,43.471436,81600
2011-11-28,51.220001,51.360001,50.939999,51.250000,43.395248,333300
2011-12-05,51.209999,51.470001,51.119999,51.360001,43.548779,190500
2011-12-12,51.419998,52.419998,51.389999,51.720001,43.854004,345100
2011-12-19,51.759998,51.790001,51.380001,51.419998,43.599644,287200
2011-12-26,51.520000,51.750000,51.430000,51.700001,43.837070,318600
2012-01-02,51.680000,51.750000,51.400002,51.570000,43.800842,627100
2012-01-09,51.590000,51.900002,51.450001,51.900002,44.081120,859100
2012-01-16,51.790001,51.970001,51.610001,51.619999,43.843307,271300
2012-01-23,51.619999,51.970001,51.549999,51.970001,44.140583,188700
2012-01-30,52.099998,52.130001,51.759998,51.869999,44.055649,549600
2012-02-06,51.860001,51.919998,51.549999,51.820000,44.076591,257100
2012-02-13,51.750000,52.000000,51.730000,51.779999,44.042553,212100
2012-02-20,51.790001,51.919998,51.650002,51.910000,44.153156,186600
2012-02-27,52.020000,52.090000,51.720001,51.950001,44.187160,312600
2012-03-05,51.959999,51.990002,51.639999,51.759998,44.088280,231800
2012-03-12,51.880001,51.880001,51.299999,51.410000,43.790165,213700
2012-03-19,51.410000,51.549999,50.959999,51.529999,43.892380,178900
2012-03-26,51.540001,51.730000,51.439999,51.490002,43.858330,660000
2012-04-02,51.470001,51.570000,51.259998,51.430000,43.807217,174200
2012-04-09,51.750000,51.849998,51.549999,51.709999,44.121124,325800
2012-04-16,51.830002,51.880001,51.759998,51.830002,44.223495,146500
2012-04-23,51.959999,51.970001,51.799999,51.930000,44.308830,148600
2012-04-30,52.029999,52.119999,51.840000,52.119999,44.470940,737000
2012-05-07,52.119999,52.250000,51.900002,52.070000,44.513847,178800
2012-05-14,52.160000,52.200001,51.970001,52.139999,44.573692,166200
2012-05-21,52.080002,52.110001,51.950001,52.070000,44.513847,328700
2012-05-28,52.080002,52.470001,52.049999,52.430000,44.821598,446400
2012-06-04,52.419998,52.459999,52.110001,52.119999,44.639259,354800
2012-06-11,52.209999,52.320000,52.099998,52.320000,44.810570,175400
2012-06-18,52.369999,52.419998,52.220001,52.360001,44.844837,334500
2012-06-25,52.470001,52.470001,52.270000,52.360001,44.844837,353200
2012-07-02,52.189999,52.480000,52.060001,52.380001,44.861961,278500
2012-07-09,52.480000,52.650002,52.430000,52.650002,45.172573,118600
2012-07-16,52.790001,52.880001,52.669998,52.869999,45.361317,481700
2012-07-23,52.869999,52.970001,52.700001,52.830002,45.327003,742700
2012-07-30,52.830002,52.950001,52.750000,52.820000,45.318436,323100
2012-08-06,52.820000,52.849998,52.439999,52.560001,45.169571,1036600
2012-08-13,52.630001,52.630001,52.139999,52.240002,44.894562,181900
2012-08-20,52.250000,52.650002,52.209999,52.549999,45.160980,246400
2012-08-27,52.500000,52.790001,52.490002,52.779999,45.358631,404200
2012-09-03,52.740002,52.740002,52.520000,52.590000,45.195343,287000
2012-09-10,52.599998,52.639999,52.299999,52.360001,45.079685,211500
2012-09-17,52.380001,52.639999,52.369999,52.599998,45.286316,236300
2012-09-24,52.639999,53.119999,52.599998,52.810001,45.467121,247500
2012-10-01,52.830002,52.869999,52.389999,52.639999,45.320751,358500
2012-10-08,52.689999,52.830002,52.570000,52.799999,45.540436,221500
2012-10-15,52.779999,52.849998,52.520000,52.630001,45.393806,201500
2012-10-22,52.720001,52.720001,52.400002,52.610001,45.376549,217600
2012-10-29,52.790001,52.790001,52.540001,52.630001,45.393806,185500
2012-11-05,52.680000,52.799999,52.549999,52.709999,45.462799,265800
2012-11-12,52.700001,52.820000,52.570000,52.709999,45.462799,329500
2012-11-19,52.889999,52.889999,52.650002,52.689999,45.445545,968400
2012-11-26,52.759998,52.860001,52.669998,52.840000,45.574928,228500
2012-12-03,52.689999,52.840000,52.599998,52.700001,45.454182,333300
2012-12-10,52.810001,52.810001,52.549999,52.660000,45.492855,538900
2012-12-17,52.669998,52.669998,52.349998,52.459999,45.320076,1072800
2012-12-24,52.470001,52.500000,52.299999,52.380001,45.250980,430900
2012-12-31,52.360001,52.410000,52.029999,52.200001,45.169556,507800
2013-01-07,52.130001,52.279999,52.130001,52.259998,45.221485,456600
2013-01-14,52.299999,52.380001,52.230000,52.320000,45.273384,281900
2013-01-21,52.290001,52.369999,52.130001,52.160000,45.134945,274000
2013-01-28,52.099998,52.139999,51.939999,51.959999,44.961876,541600
2013-02-04,51.939999,52.130001,51.939999,52.090000,45.148029,440700
2013-02-11,52.080002,52.099998,51.959999,52.029999,45.096031,320400
2013-02-18,52.090000,52.150002,52.009998,52.119999,45.174049,264700
2013-02-25,52.099998,52.340000,52.090000,52.180000,45.226025,548300
2013-03-04,52.250000,52.250000,51.860001,51.889999,45.046261,459400
2013-03-11,51.939999,52.000000,51.849998,51.900002,45.054947,292100
2013-03-18,52.099998,52.160000,51.950001,52.099998,45.228565,265000
2013-03-25,52.099998,52.250000,52.009998,52.230000,45.341427,197900
2013-04-01,52.150002,52.500000,52.119999,52.459999,45.541084,427400
2013-04-08,52.410000,52.520000,52.400002,52.509998,45.657928,391800
2013-04-15,52.549999,52.610001,52.529999,52.610001,45.744881,333900
2013-04-22,52.599998,52.689999,52.540001,52.660000,45.788345,404400
2013-04-29,52.730000,52.779999,52.549999,52.560001,45.701405,779100
2013-05-06,52.500000,52.509998,52.160000,52.180000,45.433090,875300
