,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,CARZ,First Trust NASDAQ Global Auto Index Fund,Equity,"US$24,037,202.00 ",9.44%,"9,719",US$34.31 ,0.20%,No,No,-0.16%,8.46%,-19.26%,14.82%,0.78%,US$0.00 ,US$0.00 ,US$0.00 ,"US$6,410,276.00 ","(US$5,315,406.00)","(US$27,653,340.50)",Consumer Discretionary Equities,2011-05-09,0.70%,,US$0.89 ,18/12/2018,US$0.24 ,2.60%,6.95,1.01,35,60.91%,35%,15%,1099.0,US$31.85 ,US$34.78 ,US$34.25 ,US$34.36 ,59.36,C+,B,C,A+,C+,C,B-,3.79,3.61%,5.50%,30.09,0.11%,7.53%
2,ROGS,Hartford Multifactor Global Small Cap ETF,Equity,"US$23,442,917.00 ",9.02%,"9,706",US$29.36 ,-0.03%,No,No,0.86%,6.92%,-8.09%,46.96%,,"US$2,887,699.00 ","US$2,887,699.00 ","US$2,887,699.00 ","US$6,034,343.00 ","US$14,019,111.00 ","US$16,484,384.00 ",Small Cap Blend Equities,2015-03-23,0.39%,,US$0.77 ,20/12/2018,US$0.48 ,2.63%,13.3,0.85,422,6.66%,35%,15%,1099.0,US$27.47 ,US$29.62 ,,,61.67,B-,B-,C+,,,B+,B+,4.6,23.81%,20.64%,109.85,2.34%,2.56%
3,SMCP,AlphaMark Actively Managed Small Cap ETF,Equity,"US$23,052,300.00 ",10.46%,"3,143",US$23.02 ,0.66%,No,No,2.31%,10.04%,-13.67%,15.68%,,US$0.00 ,US$0.00 ,US$0.00 ,"(US$1,354,880.00)","(US$3,628,680.00)","US$23,140,820.00 ",Small Cap Blend Equities,2015-04-21,1.22%,,US$0.00 ,,,0.00%,17.79,1.11,7,100.00%,39%,20%,1099.0,US$20.96 ,US$23.33 ,US$22.88 ,US$23.10 ,55.47,C,B-,C,,B,,C+,3.95,10.29%,7.57%,45.17,0.00%,0.17%
7,PAGG,Invesco Global Agriculture ETF,Equity,"US$20,742,168.00 ",8.39%,"2,278",US$25.64 ,0.63%,No,No,2.68%,7.55%,-7.90%,24.58%,1.10%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$113,030.00)","(US$6,236,649.00)","(US$56,432,103.00)",Commodity Producers Equities,2008-09-18,0.77%,,US$0.34 ,24/12/2018,US$0.07 ,1.31%,20.31,0.92,51,56.25%,35%,15%,1099.0,US$24.11 ,US$26.04 ,US$25.41 ,US$25.75 ,55.76,B-,C+,C,A-,A-,C+,B+,4.99,0.00%,33.06%,581.3,3.50%,3.72%
8,FPXI,First Trust International IPO ETF,Equity,"US$19,954,475.00 ",9.93%,"3,525",US$33.31 ,0.00%,No,No,0.42%,7.42%,-13.73%,42.43%,,US$0.00 ,US$0.00 ,US$0.00 ,"(US$963,199.00)","US$18,847,180.00 ","US$17,397,842.50 ",Large Cap Blend Equities,2014-11-04,0.70%,,US$0.53 ,18/12/2018,US$0.10 ,1.59%,14.74,1.13,51,54.39%,35%,15%,1099.0,US$30.48 ,US$33.78 ,US$33.26 ,US$33.42 ,62.86,C+,B+,C+,,,B-,C+,4.96,2.85%,32.26%,261.49,1.49%,8.05%
9,PEX,ProShares Global Listed Private Equity ETF,Equity,"US$19,584,518.00 ",9.37%,"2,882",US$32.58 ,0.25%,No,No,1.21%,6.84%,-9.46%,28.91%,20.85%,US$0.00 ,US$0.00 ,US$0.00 ,"US$13,628,740.25 ","US$10,548,486.75 ","US$14,925,236.75 ",Financials Equities,2013-02-26,2.78%,,US$1.40 ,26/12/2018,US$0.50 ,4.31%,10.96,0.8,31,62.39%,35%,15%,1099.0,US$30.78 ,US$32.80 ,US$32.56 ,US$32.61 ,61.0,C,C,C+,,,C,C+,,,,,,
13,IPO,Renaissance IPO ETF,Equity,"US$16,543,707.00 ",18.27%,"3,681",US$27.51 ,0.26%,No,No,1.96%,15.54%,-3.19%,58.42%,30.55%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$1,214,464.50)","(US$4,235,967.00)","(US$10,273,574.50)",Mid Cap Growth Equities,2013-10-14,0.60%,,US$0.12 ,14/9/2018,US$0.02 ,0.42%,0.0,1.21,82,41.70%,35%,15%,1099.0,US$23.97 ,US$27.80 ,US$27.43 ,US$27.55 ,64.74,C,B-,B,C,C,C,C+,,,,,,
14,DZK,Direxion Daily Developed Markets Bull 3X Shares,Equity,"US$16,507,044.00 ",20.15%,"3,903",US$55.03 ,-0.24%,No,3x,2.32%,13.21%,-41.60%,36.68%,-10.68%,"(US$2,299,720.00)",US$0.00 ,US$0.00 ,"(US$5,980,604.50)","(US$8,850,542.00)","(US$15,795,989.95)",Leveraged Equities,2008-12-17,1.12%,,US$0.90 ,27/12/2018,US$0.31 ,1.63%,13.15,2.57,2,100.00%,35%,15%,1099.0,US$48.31 ,US$55.69 ,,,57.84,B-,B,B-,C+,B-,,,,,,,,
16,YLCO,Global X YieldCo Index ETF,Equity,"US$16,253,390.00 ",11.52%,"7,300",US$12.52 ,0.32%,No,No,1.90%,7.41%,6.22%,41.70%,,US$0.00 ,US$0.00 ,US$0.00 ,"(US$4,691,651.00)","US$11,246,586.00 ","US$14,482,086.00 ",Alternative Energy Equities,2015-05-27,0.65%,,US$0.59 ,8/11/2018,US$0.15 ,4.72%,15.33,0.84,38,54.44%,35%,15%,1099.0,US$11.49 ,US$12.55 ,US$12.48 ,US$12.55 ,69.59,,,B+,,,,,6.83,0.00%,89.65%,1256.72,31.60%,32.42%
21,GSD,WisdomTree Global SmallCap Dividend Fund,Equity,"US$14,846,509.00 ",8.98%,"1,792",US$29.73 ,0.13%,No,No,-0.03%,5.31%,-8.17%,41.02%,,US$0.00 ,US$0.00 ,US$0.00 ,"(US$6,227,849.00)","(US$26,159,179.94)","US$2,753,244.78 ",Small Cap Blend Equities,2015-11-10,0.43%,,US$0.99 ,24/12/2018,US$0.34 ,3.32%,17.27,0.95,625,11.90%,39%,20%,1099.0,US$28.46 ,US$30.09 ,,,58.63,B-,B-,B+,,,C,A-,4.6,23.02%,20.59%,188.73,5.69%,4.81%
