,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,VWO,Vanguard FTSE Emerging Markets ETF,Equity,"US$60,569,126,307.00 ",8.85%,"22,156,650",US$41.47 ,-0.74%,No,No,1.15%,6.72%,-13.73%,45.17%,25.74%,"US$471,470,074.95 ","US$389,769,020.64 ","US$471,421,893.52 ","(US$613,916,653.62)","US$17,009,859,401.50 ","US$16,970,243,615.10 ",Emerging Markets Equities,2005-03-10,0.14%,3 Platforms,US$1.10 ,24/12/2018,US$0.26 ,2.68%,12.0,0.9,1565,20.53%,35%,15%,1099.0,US$38.56 ,US$41.73 ,US$41.38 ,US$41.57 ,61.8,A,A,A,B+,B,B+,A+,4.31,28.37%,14.14%,389.41,2.87%,4.00%
1,EEM,iShares MSCI Emerging Markets ETF,Equity,"US$33,806,372,014.00 ",9.47%,"95,219,072",US$42.76 ,-0.79%,No,No,1.33%,7.73%,-13.22%,48.55%,24.39%,"US$1,865,828,497.50 ","US$998,486,185.50 ","US$1,675,182,663.00 ","(US$4,920,580,728.00)","US$7,083,732,415.50 ","(US$580,563,994.50)",Emerging Markets Equities,2003-04-11,0.67%,,US$0.87 ,18/12/2018,US$0.58 ,2.08%,11.97,0.91,1088,23.82%,35%,15%,1099.0,US$39.29 ,US$43.07 ,US$42.65 ,US$42.86 ,62.37,A-,A+,B-,B,B,B,A,4.34,31.40%,14.72%,344.66,3.21%,4.32%
2,FXI,iShares China Large-Cap ETF,Equity,"US$6,145,494,802.00 ",9.37%,"36,593,920",US$42.74 ,-0.93%,No,No,1.30%,8.53%,-15.65%,47.71%,40.66%,US$0.00 ,US$0.00 ,US$0.00 ,"US$2,327,880,265.50 ","US$416,383,774.50 ","US$647,777,718.00 ",China Equities,2004-10-05,0.74%,2 Platforms,US$1.05 ,18/12/2018,US$0.45 ,2.50%,11.15,1.22,77,57.28%,35%,15%,1099.0,US$38.86 ,US$43.09 ,US$42.55 ,US$42.90 ,61.1,A-,A+,C+,B+,B+,B+,C+,3.27,23.33%,1.96%,328.7,0.00%,4.75%
3,EEMV,iShares Edge MSCI Min Vol Emerging Markets ETF,Equity,"US$5,569,420,862.00 ",5.84%,"854,566",US$59.13 ,-0.42%,No,No,1.03%,4.87%,-5.30%,35.70%,25.32%,"US$301,397,448.00 ","US$29,063,835.00 ","US$240,668,428.00 ","US$998,937,296.00 ","US$2,105,595,638.00 ","US$3,054,183,638.00 ",Asia Pacific Equities,2011-10-18,0.25%,Fidelity,US$1.37 ,18/12/2018,US$0.86 ,2.33%,14.8,0.68,323,14.61%,35%,15%,1099.0,US$55.95 ,US$59.36 ,,,64.33,A+,A,A,A-,A,B,A-,4.52,49.77%,18.68%,370.5,4.37%,6.49%
4,INDA,iShares MSCI India ETF,Equity,"US$4,646,156,235.00 ",-2.58%,"5,505,713",US$32.48 ,-0.98%,No,No,-0.55%,-2.46%,-10.50%,28.80%,45.80%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$451,731,699.50)","US$477,238,256.00 ","US$3,714,725,756.00 ",Asia Pacific Equities,2012-02-02,0.68%,,US$0.31 ,28/12/2018,US$0.02 ,0.97%,19.78,0.74,79,52.93%,15%,35%,1099.0,US$32.05 ,US$33.22 ,US$32.39 ,US$32.63 ,50.01,B+,A,B-,C+,A-,C+,B,4.83,48.58%,28.70%,601.53,7.57%,5.51%
5,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Equity,"US$4,509,376,695.00 ",7.82%,"1,529,602",US$68.50 ,-0.70%,No,No,0.96%,7.65%,-13.30%,45.95%,33.01%,"US$24,998,768.00 ",US$0.00 ,US$0.00 ,"(US$177,469,028.00)","US$1,455,553,342.00 ","US$1,681,661,342.00 ",Asia Pacific Equities,2008-08-13,0.69%,2 Platforms,US$1.34 ,18/12/2018,US$0.93 ,1.94%,11.58,0.92,834,27.89%,35%,15%,1099.0,US$63.18 ,US$69.08 ,US$68.34 ,US$68.65 ,60.55,B,A-,C+,B-,A-,C+,A,4.45,19.42%,17.21%,331.11,3.95%,5.44%
6,MCHI,iShares MSCI China ETF,Equity,"US$4,246,740,384.00 ",12.03%,"7,691,347",US$58.95 ,-0.61%,No,No,1.92%,11.08%,-18.22%,57.37%,47.92%,"US$187,978,382.00 ",US$0.00 ,"US$187,978,382.00 ","US$1,451,331,692.00 ","US$1,602,439,342.00 ","US$2,868,684,804.00 ",China Equities,2011-03-29,0.59%,Fidelity,US$0.84 ,18/12/2018,US$0.53 ,1.42%,11.66,1.15,311,52.74%,35%,15%,1099.0,US$52.73 ,US$59.51 ,US$58.73 ,US$59.14 ,61.78,A,A,A-,B,B+,A-,B+,3.18,20.00%,1.51%,297.71,1.23%,6.06%
7,SPEM,SPDR Portfolio Emerging Markets ETF,Equity,"US$2,260,221,490.00 ",8.90%,"1,023,716",US$35.24 ,-0.59%,No,No,1.61%,6.66%,-12.56%,51.40%,30.17%,"US$160,547,578.00 ",US$0.00 ,"US$128,498,818.00 ","US$1,013,400,861.00 ","US$1,787,300,361.00 ","US$1,787,300,361.00 ",Emerging Markets Equities,2007-03-23,0.11%,,US$0.76 ,24/12/2018,US$0.43 ,2.16%,11.72,0.89,1020,20.70%,39%,20%,1099.0,US$32.77 ,US$35.37 ,US$35.15 ,US$35.32 ,62.84,,,,,,,,4.36,36.28%,15.21%,408.03,3.32%,4.07%
8,DEM,WisdomTree Emerging Markets Equity Income Fund,Equity,"US$2,168,416,750.00 ",9.61%,"497,385",US$44.01 ,-0.77%,No,No,1.69%,7.42%,-6.66%,62.69%,16.86%,"US$12,502,977.00 ",US$0.00 ,"US$12,502,977.00 ","US$109,463,201.00 ","US$430,121,354.00 ","(US$1,558,700,481.00)",Emerging Markets Equities,2007-07-13,0.63%,E*TRADE,US$1.79 ,24/12/2018,US$0.23 ,4.13%,9.73,0.86,468,24.48%,35%,15%,1099.0,US$40.50 ,US$44.27 ,US$43.90 ,US$44.13 ,64.85,A-,A,B,B,B-,A,A-,3.88,0.39%,6.68%,556.52,1.85%,4.55%
9,KWEB,KraneShares CSI China Internet ETF,Equity,"US$1,872,614,040.00 ",15.68%,"2,439,877",US$43.38 ,-0.94%,No,No,1.52%,13.12%,-30.49%,36.61%,37.63%,"US$133,114,691.00 ","US$29,701,661.00 ","US$142,179,196.00 ","US$827,865,979.50 ","US$1,946,613,684.00 ","US$2,057,283,184.00 ",China Equities,2013-07-31,0.70%,,US$1.27 ,26/12/2018,US$1.27 ,2.92%,27.52,1.35,52,59.98%,35%,15%,1099.0,US$38.00 ,US$43.82 ,US$43.13 ,US$43.81 ,58.75,B+,B+,B,B-,A-,B-,,2.59,0.71%,0.27%,22.38,0.03%,1.06%
