,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,AGG,iShares Core U.S. Aggregate Bond ETF,Bond,"$57,071,132,686.00",0.45%,"6,141,948",$106.97,-0.46%,No,No,0.27%,0.26%,2.01%,4.30%,10.60%,"-$287,411,342.00","-$181,387,424.00","-$787,901,899.00","$3,944,881,933.00","$26,956,813,884.00","$42,984,660,434.00",Total Bond Market,2003-09-22,0.05%,2 Platforms,$2.89,2018-12-18,$0.21,2.70%,0.0,-0.04,7619.0,6.44%,35%,15%,1099.0,$106.12,$107.15,$106.85,$107.12,62.6,A+,A+,A,A-,A-,B+,A,6.14,73.97%,71.15%,333.04,3.38%,1.05%
1,BND,Vanguard Total Bond Market ETF,Bond,"$36,982,657,772.00",0.83%,"2,943,894",$79.67,-0.52%,No,No,0.52%,0.53%,2.23%,5.54%,11.85%,"$277,429,000.00","$23,862,000.00","$229,805,000.00","$627,568,481.00","$10,016,207,945.48","$19,038,403,428.68",Total Bond Market,2007-04-10,0.05%,2 Platforms,$2.23,2019-02-01,$0.20,2.79%,0.0,-0.04,64.0,45.32%,35%,15%,1099.0,$78.79,$79.68,$79.55,$79.84,66.36,A,A,A,A-,B+,B+,A+,6.13,71.92%,70.97%,355.94,3.84%,1.22%
2,BSV,Vanguard Short-Term Bond ETF,Bond,"$23,944,569,102.00",0.42%,"3,493,945",$78.74,-0.40%,No,No,0.24%,0.36%,2.35%,3.52%,6.11%,"-$3,873,386,000.00","-$39,375,000.00","-$3,904,918,000.00","-$152,923,000.00","$6,856,993,273.03","$10,707,480,973.23",Total Bond Market,2007-04-10,0.07%,3 Platforms,$1.61,2019-02-01,$0.16,2.04%,0.0,-0.03,36.0,69.23%,35%,15%,1099.0,$78.26,$78.79,$78.70,$78.81,65.21,A,A,A,A-,A,C+,A,6.34,82.71%,77.26%,221.62,3.04%,1.27%
3,BNDX,Vanguard Total International Bond ETF,Bond,"$13,673,292,937.00",0.98%,"1,808,582",$54.73,-0.11%,No,No,0.28%,0.94%,4.47%,9.68%,20.54%,"$410,375,720.97","$6,934,373.74","$366,624,489.52","$2,847,585,816.70","$8,663,459,790.07","$12,177,435,167.76",Total Bond Market,2013-06-04,0.11%,Vanguard,$1.64,2019-02-01,$0.05,2.99%,0.0,-0.02,5233.0,4.77%,35%,15%,1099.0,$53.93,$54.82,$54.69,$54.76,74.76,A-,A,B+,A,B+,C+,,6.26,65.85%,74.99%,150.77,1.90%,0.64%
4,MINT,PIMCO Enhanced Short Maturity Strategy Fund,Bond,"$11,853,323,153.00",0.23%,"1,462,739",$101.18,-0.22%,No,No,-0.12%,0.20%,1.79%,5.29%,6.24%,"-$346,757,420.10","-$78,018,124.80","-$219,543,300.20","$3,701,740,765.10","$7,440,928,544.70","$7,983,239,628.70",Total Bond Market,2009-11-16,0.42%,,$2.34,2018-12-28,$0.23,2.31%,0.0,0.01,517.0,22.49%,35%,15%,1099.0,$100.89,$101.44,$101.16,$101.19,57.45,A+,A-,C+,A,A-,A,A+,4.89,9.77%,30.15%,262.78,7.51%,1.53%
5,BIV,Vanguard Intermediate-Term Bond ETF,Bond,"$11,594,989,298.00",1.30%,"1,284,874",$82.13,-0.57%,No,No,0.74%,1.01%,3.07%,5.45%,13.51%,"-$1,293,742,000.00","$24,564,000.00","-$1,244,846,000.00","-$3,364,262,808.00","$4,281,160,277.20","$8,910,175,277.20",Total Bond Market,2007-04-10,0.07%,3 Platforms,$2.37,2019-02-01,$0.22,2.87%,0.0,-0.06,41.0,63.31%,35%,15%,1099.0,$80.83,$82.12,$82.03,$82.27,69.06,A,A,A-,A+,B-,A-,A-,6.01,62.33%,66.43%,299.22,4.55%,1.72%
6,NEAR,iShares Short Maturity Bond ETF,Bond,"$5,729,724,447.00",0.34%,"1,485,379",$50.02,-0.18%,No,No,-0.06%,0.28%,1.80%,4.24%,5.60%,"-$184,813,058.50","-$7,514,952.00","-$15,262,579.50","$2,625,524,438.00","$3,456,645,703.50","$5,436,778,703.50",Total Bond Market,2013-09-25,0.25%,,$1.12,2018-12-18,$0.09,2.24%,0.0,0.01,404.0,18.35%,35%,15%,1099.0,$49.82,$50.12,$50.01,$50.03,63.35,B,B+,B,A-,B,A-,,,,,,,
7,SCHZ,Schwab U.S. Aggregate Bond ETF,Bond,"$5,711,956,451.00",0.59%,"875,194",$50.89,-0.53%,No,No,0.24%,0.34%,1.99%,5.03%,11.60%,"$122,001,693.00",$0.00,"$45,593,658.00","$808,350,460.00","$3,545,259,270.00","$5,271,085,742.00",Total Bond Market,2011-07-14,0.04%,Charles Schwab,$1.41,2018-12-19,$0.11,2.77%,0.0,-0.03,1378.0,35.70%,35%,15%,1099.0,$50.51,$50.98,$50.83,$50.97,62.39,A,A-,A+,A,A-,B+,A-,6.08,68.49%,69.18%,316.07,3.51%,1.05%
8,FTSM,First Trust Enhanced Short Maturity ETF,Bond,"$4,120,394,615.00",0.33%,"988,477",$59.92,0.00%,No,No,0.11%,0.28%,2.04%,4.87%,,"$50,816,868.50",$0.00,"-$35,954,614.00","$2,719,252,033.00","$3,966,571,488.88","$5,813,084,482.00",Total Bond Market,2014-08-05,0.35%,,$1.33,2019-01-31,$0.13,2.21%,0.0,-0.01,619.0,21.00%,35%,15%,1099.0,$59.68,$59.94,,,80.61,B+,B+,B,B,A+,C,,5.17,17.81%,37.84%,376.53,10.97%,1.50%
9,SPAB,SPDR Portfolio Aggregate Bond ETF,Bond,"$3,789,496,474.00",0.50%,"1,247,969",$27.99,-0.53%,No,No,0.25%,0.36%,1.89%,4.35%,10.86%,"$181,652,388.00","$13,959,776.00","$72,540,415.00","$1,669,553,216.00","$2,733,423,059.00","$2,733,423,059.00",Total Bond Market,2007-05-23,0.04%,,$0.82,2018-12-19,$0.07,2.93%,0.0,-0.02,969.0,29.97%,39%,20%,1099.0,$27.77,$28.05,$27.95,$28.04,61.42,,,,,,,,6.11,69.86%,70.28%,336.66,3.41%,1.05%
