Date,Open,High,Low,Close,Adj Close,Volume
2011-11-01,25.100000,27.040001,23.309999,25.200001,25.200001,15300
2011-12-01,25.200001,25.969999,23.280001,24.500000,24.500000,24300
2012-01-01,24.950001,27.740000,24.350000,27.200001,27.200001,36900
2012-02-01,27.200001,28.250000,26.459999,27.230000,27.230000,25800
2012-03-01,27.770000,27.770000,26.520000,27.129999,27.129999,21900
2012-04-01,27.620001,28.000000,25.450001,26.959999,26.959999,8400
2012-05-01,26.990000,27.020000,23.530001,23.709999,23.709999,14100
2012-06-01,23.379999,24.000000,23.139999,23.520000,23.520000,12600
2012-07-01,23.520000,24.559999,23.520000,24.200001,24.200001,19700
2012-08-01,24.200001,24.440001,23.340000,24.200001,24.200001,19000
2012-09-01,24.360001,26.670000,23.070000,25.879999,25.879999,14000
2012-10-01,25.879999,26.240000,24.650000,24.650000,24.650000,4500
2012-11-01,25.100000,25.299999,24.049999,25.250000,25.250000,2700
2012-12-01,26.139999,26.139999,24.620001,25.010000,25.010000,6900
2013-01-01,26.070000,26.500000,25.200001,26.160000,26.160000,22600
2013-02-01,26.250000,26.379999,24.650000,24.830000,24.830000,9400
2013-03-01,24.410000,25.150000,23.620001,24.010000,24.010000,33800
2013-04-01,24.010000,24.010000,21.370001,22.000000,22.000000,46600
2013-05-01,21.260000,23.389999,21.170000,22.690001,22.690001,50500
2013-06-01,22.820000,23.490000,20.660000,21.100000,21.100000,26700
2013-07-01,22.190001,22.190001,20.790001,21.340000,21.340000,21500
2013-08-01,21.719999,22.889999,21.700001,22.070000,22.070000,36700
2013-09-01,22.580000,22.700001,21.629999,22.440001,22.440001,111400
2013-10-01,22.440001,22.530001,22.129999,22.510000,22.510000,24400
2013-11-01,22.510000,22.510000,21.240000,21.850000,21.850000,10000
2013-12-01,21.600000,24.959999,21.400000,22.900000,22.900000,19100
2014-01-01,22.879999,22.879999,21.230000,21.459999,21.459999,17000
2014-02-01,21.360001,22.100000,21.360001,21.520000,21.520000,8100
