Date,Open,High,Low,Close,Adj Close,Volume
2008-11-01,25.629999,25.629999,24.200001,24.209999,24.209999,44800
2008-12-01,24.000000,31.920000,23.900000,29.490000,29.490000,323100
2009-01-01,29.070000,29.400000,23.950001,24.490000,24.490000,261500
2009-02-01,24.250000,25.629999,23.389999,24.059999,24.059999,152000
2009-03-01,23.750000,28.129999,23.430000,26.219999,26.219999,392900
2009-04-01,26.139999,27.059999,24.730000,26.080000,26.080000,162400
2009-05-01,26.129999,29.809999,25.900000,29.700001,29.700001,234800
2009-06-01,30.020000,30.549999,28.150000,29.209999,29.209999,286600
2009-07-01,29.670000,30.200001,28.370001,30.129999,30.129999,139100
2009-08-01,30.490000,30.850000,29.209999,30.360001,30.360001,175000
2009-09-01,30.260000,32.349998,29.770000,31.530001,31.530001,310500
2009-10-01,31.389999,34.389999,31.090000,31.950001,31.950001,153800
2009-11-01,32.000000,33.709999,30.700001,33.230000,33.230000,96200
2009-12-01,33.549999,33.709999,29.760000,30.170000,30.170000,143700
2010-01-01,30.580000,31.180000,28.219999,28.280001,28.280001,153900
2010-02-01,27.639999,28.730000,26.670000,27.230000,27.230000,395900
2010-03-01,26.889999,27.830000,25.790001,26.740000,26.740000,391200
2010-04-01,26.670000,27.340000,25.219999,25.910000,25.910000,416500
2010-05-01,25.600000,25.600000,21.629999,21.959999,21.959999,3318700
2010-06-01,21.670000,22.420000,20.700001,21.760000,21.760000,1431100
2010-07-01,22.330000,24.910000,22.320000,24.709999,24.709999,821200
2010-08-01,24.959999,25.809999,23.070000,23.350000,23.350000,662800
2010-09-01,23.860001,27.030001,23.309999,26.930000,26.930000,501300
2010-10-01,27.330000,28.750000,27.080000,27.980000,27.980000,398000
2010-11-01,28.010000,29.490000,24.270000,24.350000,24.350000,465400
2010-12-01,24.770000,26.170000,24.590000,25.860001,25.860001,438100
2011-01-01,25.600000,27.209999,23.950001,27.010000,27.010000,352800
2011-02-01,27.320000,27.580000,26.070000,27.400000,27.400000,244900
2011-03-01,27.490000,29.110001,27.230000,28.900000,28.900000,214400
2011-04-01,28.500000,32.680000,28.500000,31.600000,31.600000,254900
2011-05-01,31.719999,32.040001,28.100000,29.760000,29.760000,482700
2011-06-01,29.830000,31.010000,28.639999,30.160000,30.160000,326500
2011-07-01,30.059999,30.280001,27.950001,29.620001,29.620001,258500
2011-08-01,29.580000,30.370001,28.590000,29.650000,29.650000,317600
2011-09-01,29.260000,29.280001,25.750000,25.750000,25.750000,332500
2011-10-01,25.400000,29.000000,24.799999,27.400000,27.400000,225800
2011-11-01,26.530001,27.389999,25.000000,25.730000,25.730000,239100
2011-12-01,25.950001,25.959999,23.740000,23.870001,23.870001,474500
2012-01-01,24.240000,24.870001,22.719999,24.309999,24.309999,922700
2012-02-01,24.730000,25.799999,24.070000,25.219999,25.219999,363200
2012-03-01,25.080000,25.270000,24.000000,25.209999,25.209999,199500
2012-04-01,25.010000,25.160000,24.040001,24.780001,24.780001,87500
2012-05-01,24.900000,24.900000,21.639999,21.650000,21.650000,163600
2012-06-01,21.900000,22.889999,21.600000,22.620001,22.620001,225600
2012-07-01,22.230000,22.430000,20.500000,21.309999,21.309999,239000
2012-08-01,21.340000,22.500000,20.799999,22.200001,22.200001,160500
2012-09-01,22.190001,24.629999,22.100000,23.180000,23.180000,152700
2012-10-01,23.520000,24.160000,23.170000,23.450001,23.450001,59400
2012-11-01,23.459999,23.730000,22.280001,23.610001,23.610001,62600
2012-12-01,23.850000,24.790001,23.240000,24.320000,24.320000,79100
2013-01-01,24.440001,25.990000,23.590000,25.730000,25.730000,131800
2013-02-01,25.740000,26.129999,23.620001,23.760000,23.760000,141100
2013-03-01,23.629999,23.969999,22.629999,22.920000,22.920000,81300
2013-04-01,22.150000,24.320000,21.580000,24.080000,24.080000,161500
2013-05-01,24.290001,24.290001,22.540001,23.049999,23.049999,136300
2013-06-01,23.650000,25.010000,23.180000,23.250000,23.250000,84300
2013-07-01,23.450001,24.430000,22.389999,23.940001,23.940001,117000
2013-08-01,24.200001,24.910000,23.900000,24.049999,24.049999,164400
2013-09-01,23.830000,25.440001,23.650000,25.299999,25.299999,82700
2013-10-01,25.400000,26.360001,25.139999,25.350000,25.350000,90200
2013-11-01,25.170000,25.350000,24.110001,25.350000,25.350000,50100
2013-12-01,25.209999,26.190001,25.209999,25.980000,25.980000,35100
2014-01-01,25.610001,25.809999,24.930000,24.950001,24.950001,21700
2014-02-01,25.000000,26.209999,25.000000,26.209999,26.209999,16600
2014-03-01,26.070000,26.750000,25.889999,25.980000,25.980000,24100
2014-04-01,25.980000,26.490000,25.500000,26.420000,26.420000,19000
2014-05-01,26.299999,26.610001,25.270000,25.290001,25.290001,19000
2014-06-01,25.330000,25.799999,25.070000,25.799999,25.799999,12200
2014-07-01,25.799999,25.799999,24.580000,24.639999,24.639999,39700
2014-08-01,24.700001,24.799999,23.629999,23.700001,23.700001,29500
2014-09-01,23.500000,23.700001,21.719999,21.719999,21.719999,162500
2014-10-01,21.850000,22.510000,21.200001,21.350000,21.350000,52900
2014-11-01,21.209999,21.600000,20.900000,20.980000,20.980000,53400
2014-12-01,21.170000,21.360001,19.799999,19.799999,19.799999,206600
2015-01-01,19.620001,19.650000,17.000000,17.360001,17.360001,507900
2015-02-01,17.459999,18.080000,16.860001,16.969999,16.969999,1009100
2015-03-01,17.070000,17.110001,14.800000,15.540000,15.540000,2101200
2015-04-01,15.580000,17.000000,14.960000,16.910000,16.910000,1308900
2015-05-01,17.030001,17.620001,15.710000,16.150000,16.150000,1337900
2015-06-01,16.070000,17.459999,15.870000,16.590000,16.590000,1168600
2015-07-01,16.379999,16.719999,15.630000,16.070000,16.070000,592000
2015-08-01,16.070000,18.190001,15.710000,16.700001,16.700001,540200
2015-09-01,16.830000,17.350000,16.340000,16.530001,16.530001,349500
2015-10-01,16.530001,17.480000,15.710000,16.010000,16.010000,593100
2015-11-01,16.129999,16.129999,14.720000,14.760000,14.760000,385700
2015-12-01,14.850000,16.080000,14.670000,15.510000,15.510000,362700
2016-01-01,15.430000,15.800000,15.070000,15.410000,15.410000,558500
2016-02-01,15.480000,16.889999,15.390000,15.480000,15.480000,337400
2016-03-01,15.390000,16.959999,15.310000,16.870001,16.870001,246000
2016-04-01,16.820000,17.080000,16.350000,17.059999,17.059999,194100
2016-05-01,17.080000,17.350000,16.000000,16.049999,16.049999,162500
2016-06-01,16.129999,16.889999,15.560000,15.860000,15.860000,330700
2016-07-01,16.030001,16.120001,15.440000,16.120001,16.120001,142900
2016-08-01,15.990000,16.590000,15.680000,15.950000,15.950000,197100
2016-09-01,16.059999,16.379999,15.870000,16.120001,16.120001,117500
2016-10-01,16.070000,16.080000,15.040000,15.310000,15.310000,382700
2016-11-01,15.540000,15.850000,14.100000,14.220000,14.220000,410700
2016-12-01,14.310000,14.820000,13.540000,14.090000,14.090000,339300
2017-01-01,13.610000,14.700000,13.500000,14.700000,14.700000,279100
2017-02-01,14.610000,14.780000,13.910000,14.150000,14.150000,207900
2017-03-01,13.960000,14.910000,13.830000,14.270000,14.270000,564600
2017-04-01,14.200000,14.970000,14.000000,14.790000,14.790000,1157400
2017-05-01,14.800000,15.790000,14.670000,15.720000,15.720000,1577400
2017-06-01,15.660000,16.240000,15.340000,16.170000,16.170000,244000
2017-07-01,16.000000,17.290001,15.880000,17.290001,17.290001,556900
2017-08-01,17.219999,17.830000,16.850000,17.430000,17.430000,762600
2017-09-01,17.400000,17.850000,16.840000,17.100000,17.100000,667500
2017-10-01,16.959999,17.270000,16.370001,16.570000,16.570000,429500
2017-11-01,16.440001,17.400000,16.330000,17.280001,17.280001,1011700
2017-12-01,17.180000,17.510000,16.719999,17.459999,17.459999,468400
2018-01-01,17.570000,18.969999,17.190001,18.590000,18.590000,578200
2018-02-01,18.700001,18.900000,17.860001,17.889999,17.889999,389200
2018-03-01,17.790001,18.580000,17.790001,18.090000,18.090000,341900
2018-04-01,18.150000,18.330000,17.330000,17.370001,17.370001,185000
2018-05-01,17.170000,17.180000,15.760000,16.250000,16.250000,491500
2018-06-01,16.170000,16.559999,15.750000,16.059999,16.059999,365300
