Date,Open,High,Low,Close,Adj Close,Volume
2013-06-01,24.980000,25.260000,24.969999,25.120001,19.796547,10400
2013-07-01,25.330000,27.000000,24.889999,26.389999,20.797405,332500
2013-08-01,26.709999,27.340000,26.250000,26.290001,20.718603,406100
2013-09-01,26.879999,29.240000,26.709999,28.400000,22.381447,1313400
2013-10-01,28.490000,29.690001,27.920000,29.240000,23.214510,953200
2013-11-01,29.170000,29.629999,28.750000,29.320000,23.278027,654300
2013-12-01,29.270000,29.750000,28.139999,29.309999,23.270086,488400
2014-01-01,28.950001,29.469999,27.860001,27.920000,22.326004,828600
2014-02-01,27.799999,30.330000,27.490000,29.900000,23.909286,639800
2014-03-01,29.100000,30.389999,29.090000,30.240000,24.181171,602900
2014-04-01,30.350000,31.110001,29.780001,31.070000,25.054453,565200
2014-05-01,31.110001,31.700001,30.780001,31.540001,25.433456,773300
2014-06-01,31.809999,32.360001,31.250000,31.480000,25.385073,750300
2014-07-01,31.639999,31.870001,30.190001,30.190001,24.753325,1312700
2014-08-01,30.260000,30.559999,29.379999,30.110001,24.687733,961300
2014-09-01,30.280001,30.389999,28.190001,28.340000,23.236475,1158000
2014-10-01,28.180000,28.180000,25.709999,27.790001,22.939161,1184200
2014-11-01,27.570000,27.820000,27.110001,27.360001,22.584221,905600
2014-12-01,27.320000,27.510000,25.500000,26.010000,21.469866,1379900
2015-01-01,26.139999,26.670000,24.920000,26.350000,21.909431,643300
2015-02-01,26.459999,28.440001,26.459999,27.850000,23.156645,1155600
2015-03-01,27.850000,28.680000,26.219999,26.959999,22.416632,997800
2015-04-01,27.129999,28.799999,26.950001,28.120001,23.526993,1233200
2015-05-01,28.340000,28.840000,27.370001,27.520000,23.024988,974700
2015-06-01,27.500000,27.879999,25.830000,26.000000,21.753258,919700
2015-07-01,26.209999,26.700001,24.910000,26.250000,22.337433,902900
2015-08-01,26.209999,26.490000,22.570000,24.490000,20.839766,1268300
2015-09-01,24.030001,25.090000,22.600000,23.230000,19.767563,676100
2015-10-01,23.389999,25.469999,23.110001,24.590000,21.110846,979400
2015-11-01,24.730000,24.930000,23.559999,24.190001,20.767441,477200
2015-12-01,24.350000,24.500000,22.780001,23.480000,20.157894,764900
2016-01-01,23.040001,23.110001,20.370001,22.459999,19.399429,411700
2016-02-01,22.260000,22.490000,20.799999,21.910000,18.924374,705000
2016-03-01,22.230000,24.240000,22.180000,23.709999,20.479092,832000
2016-04-01,23.120001,24.830000,22.639999,24.219999,21.092379,389600
2016-05-01,24.309999,24.430000,23.190001,23.680000,20.622110,352300
2016-06-01,23.450001,24.350000,21.280001,23.260000,20.256348,841400
2016-07-01,23.299999,24.100000,22.459999,24.090000,21.371334,747500
2016-08-01,23.950001,24.620001,23.650000,23.900000,21.202778,965700
2016-09-01,24.049999,24.719999,23.430000,24.209999,21.477793,593200
2016-10-01,24.110001,24.340000,23.290001,23.469999,20.966843,483200
2016-11-01,23.559999,23.570000,22.520000,22.870001,20.430838,721100
2016-12-01,22.980000,24.120001,22.840000,23.629999,21.109777,1466000
2017-01-01,23.770000,24.430000,23.700001,24.090000,21.656937,969800
2017-02-01,24.219999,24.870001,23.900000,24.660000,22.169369,736400
2017-03-01,24.860001,25.709999,24.629999,25.639999,23.050386,1344400
2017-04-01,25.629999,25.900000,24.930000,25.680000,23.232988,1215600
2017-05-01,26.000000,27.150000,25.770000,27.030001,24.454348,1747800
2017-06-01,27.129999,27.469999,26.350000,26.469999,23.947708,2148700
2017-07-01,26.500000,27.270000,26.049999,27.180000,25.022242,1257600
2017-08-01,27.389999,27.450001,26.840000,27.290001,25.123507,1472000
2017-09-01,27.440001,28.250000,27.219999,27.870001,25.657461,907700
2017-10-01,27.780001,28.549999,27.580000,28.379999,26.265560,1006400
2017-11-01,28.600000,28.650000,27.780001,28.379999,26.265560,848100
2017-12-01,28.309999,28.860001,27.930000,28.650000,26.515444,1488300
2018-01-01,28.809999,30.260000,28.780001,29.650000,27.615969,2311400
2018-02-01,29.690001,29.840000,27.049999,28.400000,26.451719,1628600
2018-03-01,28.320000,29.010000,27.080000,27.670000,25.771801,1006100
2018-04-01,27.690001,28.580000,27.090000,28.450001,26.808168,676700
2018-05-01,28.340000,29.129999,27.309999,27.850000,26.242794,737400
2018-06-01,27.930000,28.309999,26.680000,26.990000,25.432423,1380000
2018-07-01,26.709999,27.860001,26.639999,27.760000,26.529284,1731400
2018-08-01,27.629999,27.660000,26.049999,26.760000,25.573616,800600
2018-09-01,26.469999,27.100000,26.020000,26.860001,25.669184,1090500
2018-10-01,26.809999,26.930000,24.379999,25.129999,24.195070,1098400
2018-11-01,25.379999,26.080000,24.760000,25.190001,24.252838,1230700
2018-12-01,25.469999,25.549999,23.059999,23.820000,22.933807,2957200
2019-01-01,23.510000,25.959999,23.500000,25.900000,25.105675,1497800
2019-02-01,25.860001,26.709999,25.540001,26.350000,25.541876,922700
2019-03-01,26.440001,27.200001,25.809999,26.250000,25.444942,533600
