Date,Open,High,Low,Close,Adj Close,Volume
2011-05-01,30.120001,30.340000,28.379999,29.900000,25.986164,60000
2011-06-01,29.650000,30.820000,28.350000,30.820000,26.785736,15200
2011-07-01,30.940001,31.830000,30.330000,30.420000,26.481628,99100
2011-08-01,30.500000,30.680000,23.559999,25.580000,22.268250,94600
2011-09-01,25.580000,25.580000,21.309999,22.450001,19.543474,16800
2011-10-01,22.000000,26.340000,21.469999,26.129999,22.747038,10900
2011-11-01,24.160000,24.870001,21.580000,23.600000,20.544592,11400
2011-12-01,23.600000,24.350000,22.270000,22.840000,19.882990,3900
2012-01-01,23.500000,26.730000,23.500000,26.010000,22.666796,31800
2012-02-01,26.510000,28.459999,26.459999,27.809999,24.235435,97200
2012-03-01,27.870001,28.469999,26.540001,27.950001,24.357445,64200
2012-04-01,28.080000,28.540001,26.010000,27.299999,23.790989,97300
2012-05-01,27.160000,27.430000,23.790001,24.559999,21.403175,23100
2012-06-01,23.510000,25.020000,23.330000,24.170000,21.063303,22200
2012-07-01,24.200001,24.330000,22.000000,23.590000,20.670208,21700
2012-08-01,23.590000,25.200001,23.590000,24.120001,21.134611,25100
2012-09-01,24.120001,25.940001,23.309999,24.290001,21.283569,92800
2012-10-01,24.540001,25.500000,24.510000,25.000000,21.927286,49400
2012-11-01,25.260000,27.040001,24.299999,26.930000,23.620079,77900
2012-12-01,27.240000,29.240000,26.750000,29.120001,25.540905,149200
2013-01-01,29.610001,30.809999,28.910000,30.420000,26.743889,379100
2013-02-01,30.730000,31.620001,29.580000,30.610001,26.910925,233900
2013-03-01,29.980000,31.600000,29.980000,30.129999,26.488934,186300
2013-04-01,30.160000,32.419998,29.110001,32.200001,28.308779,194400
2013-05-01,32.200001,37.220001,31.980000,35.250000,30.990204,336500
2013-06-01,35.169998,35.669998,31.840000,34.099998,29.979174,770400
2013-07-01,34.389999,37.490002,34.340000,36.330002,32.156654,733700
2013-08-01,37.009998,38.099998,36.000000,36.150002,31.997349,709800
2013-09-01,37.099998,40.090000,36.279999,38.860001,34.396042,627500
