Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,18.986666,19.959999,17.006666,18.506666,18.405010,105300
2009-07-01,18.973333,21.709999,16.350000,21.660000,21.541023,112800
2009-08-01,22.469999,24.666666,20.893333,23.503334,23.374231,327000
2009-09-01,23.496666,27.656666,21.600000,25.516666,25.376507,1055700
2009-10-01,24.923334,27.746666,22.400000,24.046667,23.914581,690000
2009-11-01,24.356667,27.780001,22.176666,25.740000,25.598616,479100
2009-12-01,26.750000,27.719999,24.650000,26.166666,26.022938,126600
2010-01-01,27.153334,28.373333,23.793333,24.080000,23.964018,177600
2010-02-01,24.246666,25.146667,21.166666,23.040001,22.929029,78600
2010-03-01,24.143333,27.183332,23.496666,26.566668,26.438707,487200
2010-04-01,26.566668,28.650000,24.533333,24.910000,24.810452,207900
2010-05-01,24.933332,25.049999,17.646667,19.606667,19.528315,480900
2010-06-01,18.926666,21.750000,17.700001,18.436666,18.362988,676200
2010-07-01,18.916666,23.423334,18.523333,22.833334,22.743526,117300
2010-08-01,23.733334,24.563334,19.806667,20.823334,20.741430,96900
2010-09-01,21.840000,25.746666,21.840000,25.056667,24.958115,55200
2010-10-01,25.666666,27.866667,25.286667,26.830000,26.730202,230400
2010-11-01,27.110001,29.196667,24.403334,24.916666,24.823984,140700
2010-12-01,25.276667,28.673334,25.276667,28.629999,28.523506,65700
2011-01-01,28.803333,30.316668,26.983334,29.653334,29.543034,138600
2011-02-01,30.326666,31.956667,30.046667,31.459999,31.342979,106200
2011-03-01,31.596666,31.616667,25.146667,29.866667,29.755573,133800
2011-04-01,29.773333,33.700001,29.123333,33.623333,33.498268,165900
2011-05-01,33.883335,33.956665,28.520000,31.073334,30.957752,271200
2011-06-01,30.900000,30.933332,27.273333,30.676666,30.562563,154800
2011-07-01,30.513334,31.030001,27.549999,28.786667,28.679590,181500
2011-08-01,29.666666,29.680000,20.680000,23.576666,23.488970,207900
2011-09-01,23.576666,23.576666,17.420000,18.456667,18.388016,406500
2011-10-01,18.250000,24.783333,16.643333,22.116667,22.034401,274800
2011-11-01,20.059999,22.106667,17.163334,20.520000,20.443672,188700
2011-12-01,20.410000,20.986666,17.990000,19.393333,19.321198,133200
2012-01-01,20.379999,22.113333,19.223333,21.530001,21.449915,117000
2012-02-01,22.233334,24.206667,22.233334,23.896667,23.807781,267300
2012-03-01,24.230000,24.676666,21.973333,23.613333,23.525501,84300
2012-04-01,23.926666,23.926666,21.106667,22.523333,22.439554,73500
2012-05-01,23.000000,23.000000,17.639999,17.639999,17.574385,105900
2012-06-01,17.200001,20.283333,17.026667,20.283333,20.207888,201300
2012-07-01,20.400000,20.973333,18.200001,20.363333,20.287590,143400
2012-08-01,20.363333,22.613333,19.486666,21.933332,21.851749,177300
2012-09-01,21.320000,24.653334,21.160000,22.776667,22.691944,339000
2012-10-01,23.133333,24.333334,22.680000,22.933332,22.848030,227100
2012-11-01,23.246666,24.396667,21.646667,24.216667,24.126589,72600
2012-12-01,24.216667,26.306667,24.216667,26.293333,26.195532,67800
2013-01-01,27.173334,28.616667,26.379999,28.386667,28.281080,59700
2013-02-01,28.670000,28.879999,26.780001,27.056667,26.956026,27600
2013-03-01,27.346666,28.946667,27.236666,27.753334,27.650101,22500
2013-04-01,27.730000,31.049999,27.206667,31.000000,30.884691,136500
2013-05-01,31.070000,32.603333,29.813334,30.280001,30.167370,94200
2013-06-01,29.036667,29.916666,25.350000,27.543333,27.440884,32700
2013-07-01,27.543333,31.163334,27.480000,30.233334,30.120876,49200
2013-08-01,31.126667,32.143333,29.226667,29.226667,29.117956,83100
2013-09-01,29.996666,35.173332,29.996666,33.706665,33.581287,73500
2013-10-01,34.086666,37.683334,32.543335,36.033333,35.899303,215100
2013-11-01,35.226665,38.333332,34.439999,36.216667,36.081955,145800
2013-12-01,36.003334,37.496666,33.630001,37.496666,37.357193,91800
2014-01-01,36.570000,37.560001,33.833332,33.983334,33.856930,337800
2014-02-01,33.470001,38.023335,32.176666,37.963333,37.822124,178200
2014-03-01,36.389999,38.396667,34.950001,37.236668,37.098160,95700
2014-04-01,37.583332,38.236668,33.333332,38.233334,38.091122,869100
2014-05-01,38.689999,39.733334,38.013332,39.689999,39.542362,134100
2014-06-01,39.666668,41.456665,39.453335,40.183334,40.033867,59400
2014-07-01,40.756668,41.316666,39.000000,39.323334,39.177067,95400
2014-08-01,37.680000,39.166668,36.080002,37.943333,37.802197,273300
2014-09-01,38.306667,38.900002,34.903332,34.903332,34.773502,144300
2014-10-01,34.500000,34.799999,29.530001,34.799999,34.670555,617700
2014-11-01,34.599998,35.256668,33.566666,35.256668,35.125530,758100
2014-12-01,33.423332,34.906666,26.156666,32.046665,31.927464,1070400
2015-01-01,32.046665,33.160000,26.103333,32.500000,32.379112,210600
2015-02-01,32.893333,37.946667,32.376667,37.376667,37.237640,143100
2015-03-01,37.786667,38.233334,33.373333,35.263332,35.132164,183000
2015-04-01,35.720001,40.410000,35.720001,38.000000,37.858658,113400
2015-05-01,40.049999,40.816666,37.156666,38.610001,38.466385,159900
2015-06-01,38.599998,38.733334,35.520000,35.520000,35.387878,1302600
2015-07-01,35.606667,37.676666,32.689999,36.616665,36.480461,96300
2015-08-01,36.680000,37.056667,28.020000,30.969999,30.854803,155700
2015-09-01,29.116667,32.553333,27.280001,27.456667,27.354538,110700
2015-10-01,27.456667,34.203335,27.456667,32.316666,32.196461,405000
2015-11-01,33.163334,33.173332,29.886667,31.830000,31.711605,548400
2015-12-01,32.016666,32.016666,28.563334,30.006666,29.895052,376500
2016-01-01,28.726667,28.750000,23.453333,26.306667,26.208817,475200
2016-02-01,26.213333,26.213333,22.573334,24.826666,24.734320,1663200
2016-03-01,25.959999,28.856667,25.430000,28.183332,28.078501,77700
2016-04-01,27.230000,30.746666,26.133333,29.076666,28.968512,3485700
2016-05-01,29.400000,29.559999,27.320000,28.893333,28.785860,591300
2016-06-01,28.680000,30.283333,23.603333,27.040001,26.939421,1208400
2016-07-01,27.103333,29.309999,25.163334,29.190001,29.081425,1072800
2016-08-01,28.940001,30.459999,28.026667,29.379999,29.270716,4636500
2016-09-01,29.379999,31.166666,28.493334,30.223333,30.110914,183000
2016-10-01,29.846666,30.316668,28.073334,28.766666,28.659664,51000
2016-11-01,28.533333,28.683332,27.080000,27.713333,27.610250,106500
2016-12-01,27.520000,30.086666,27.456667,29.129999,29.021645,174300
2017-01-01,29.340000,31.753334,29.276667,31.030001,30.914581,156900
2017-02-01,31.316668,32.303333,30.926666,31.706667,31.588730,104700
2017-03-01,32.506668,34.836666,31.600000,33.703335,33.577969,91800
2017-04-01,33.810001,35.616665,32.709999,35.279999,35.148769,165600
2017-05-01,35.279999,37.986668,35.279999,37.713333,37.573055,48000
2017-06-01,37.950001,38.946667,37.076668,37.689999,37.549805,112200
2017-07-01,37.830002,39.750000,37.216667,39.680000,39.532406,166800
2017-08-01,40.326668,40.363335,38.419998,39.590000,39.442738,67800
2017-09-01,39.590000,41.349998,39.016666,41.333332,41.179588,113700
2017-10-01,41.119999,42.773335,40.966667,42.653332,42.494675,72900
2017-11-01,43.046665,43.376667,41.086666,43.070000,42.909794,100000
2017-12-01,42.766666,44.230000,42.086666,44.213333,44.048878,62100
2018-01-01,44.536667,50.259998,44.380001,48.483334,48.302994,600600
2018-02-01,48.669998,48.726665,40.133335,43.553333,43.391327,140100
2018-03-01,43.553333,44.206665,40.696667,42.643333,42.484718,78600
2018-04-01,42.643333,44.933334,42.209999,43.799999,43.637077,12300
2018-05-01,43.356667,45.340000,40.990002,41.970001,41.813885,123500
2018-06-01,41.970001,43.410000,40.290001,40.340000,40.189949,49300
2018-07-01,39.560001,42.820000,39.380001,42.549999,42.391727,21200
2018-08-01,42.650002,42.650002,38.070000,40.450001,40.299541,41500
2018-09-01,39.320000,42.290001,38.060001,41.040001,40.887344,74600
2018-10-01,41.150002,41.410000,32.910000,33.349998,33.225948,72200
2018-11-01,35.060001,36.250000,33.799999,34.810001,34.680523,19600
2018-12-01,35.639999,35.639999,28.879999,30.510000,30.396515,23900
2019-01-01,30.110001,34.799999,29.820000,34.689999,34.601700,19800
2019-02-01,34.799999,36.689999,33.320000,36.139999,36.048012,20000
2019-03-01,36.880001,37.740002,35.200001,36.490002,36.397125,35000
