Date,Open,High,Low,Close,Adj Close,Volume
2005-03-01,null,null,null,null,null,null
2005-04-01,72.949997,73.500000,63.250000,64.250000,52.965954,155300
2005-05-01,64.699997,68.099998,63.750000,67.599998,55.727581,193000
2005-06-01,67.650002,74.849998,66.750000,73.050003,60.220444,235300
2005-07-01,73.500000,80.500000,72.150002,79.250000,65.331566,199800
2005-08-01,79.849998,86.750000,76.050003,86.099998,70.978493,742400
2005-09-01,87.449997,92.199997,84.250000,88.500000,72.956993,1612000
2005-10-01,88.699997,89.500000,74.849998,77.349998,63.765240,754300
2005-11-01,77.500000,83.099998,76.599998,80.800003,66.609322,459400
2005-12-01,81.449997,83.900002,78.300003,80.949997,66.732971,389700
2006-01-01,82.000000,102.500000,80.500000,102.400002,84.415764,1346000
2006-02-01,103.099998,105.650002,97.000000,102.300003,84.333351,1645300
2006-03-01,103.400002,107.000000,95.500000,106.199997,87.548363,1730500
2006-04-01,107.000000,118.150002,104.099998,111.650002,92.041229,2392600
2006-05-01,114.000000,120.400002,90.000000,103.599998,85.405014,3410600
2006-06-01,103.599998,107.300003,87.400002,95.050003,78.356651,2126000
2006-07-01,95.500000,96.400002,83.099998,87.800003,72.417816,1257500
2006-08-01,87.150002,91.199997,82.599998,90.750000,74.851013,1140600
2006-09-01,91.099998,91.250000,81.199997,84.099998,69.366051,978800
2006-10-01,83.500000,92.150002,82.250000,89.349998,73.696274,1078400
2006-11-01,89.900002,92.400002,85.050003,90.550003,74.686058,1934700
2006-12-01,90.849998,91.949997,85.099998,86.599998,71.428070,1287700
2007-01-01,87.500000,88.300003,83.050003,87.949997,72.691582,1777900
2007-02-01,88.849998,98.349998,87.500000,92.349998,76.328194,2066600
2007-03-01,91.099998,96.000000,86.449997,94.449997,78.063889,1769300
2007-04-01,93.849998,100.849998,93.000000,97.050003,80.212807,1332200
2007-05-01,97.099998,99.250000,93.900002,98.699997,81.576538,1483200
2007-06-01,99.599998,105.250000,95.800003,104.099998,86.039696,1651000
2007-07-01,104.750000,114.449997,104.150002,106.849998,88.312614,2492100
2007-08-01,105.500000,117.699997,94.050003,105.849998,87.486092,4065200
2007-09-01,107.650002,115.849998,101.699997,114.449997,94.594078,1310100
2007-10-01,114.949997,127.500000,114.250000,126.900002,104.884163,2733600
2007-11-01,124.949997,132.449997,107.099998,120.400002,99.511833,4800900
2007-12-01,121.500000,144.199997,117.199997,138.449997,114.430321,4055000
2008-01-01,140.699997,140.699997,92.500000,109.000000,90.089615,8049900
2008-02-01,110.250000,115.550003,101.250000,103.599998,85.626457,4489900
2008-03-01,102.650002,105.349998,92.550003,98.000000,80.997986,4010900
2008-04-01,99.800003,110.949997,99.599998,105.050003,86.824890,4078600
2008-05-01,104.599998,119.800003,103.150002,112.250000,92.775749,3533700
2008-06-01,112.050003,113.500000,97.750000,97.750000,80.791367,3501500
2008-07-01,97.300003,99.349998,87.000000,95.199997,78.683739,4358700
2008-08-01,95.000000,101.199997,90.750000,98.949997,81.783180,2135300
2008-09-01,99.349998,99.750000,71.349998,74.300003,61.409710,4415000
2008-10-01,74.400002,75.250000,39.849998,49.400002,40.829609,4535800
2008-11-01,51.299999,57.000000,30.900000,42.450001,35.085358,3186500
2008-12-01,41.450001,44.650002,36.700001,43.099998,35.622597,4476400
2009-01-01,42.750000,48.150002,36.500000,39.299999,32.481853,3012500
2009-02-01,38.799999,42.950001,32.500000,32.650002,26.985559,2435500
2009-03-01,32.150002,41.349998,28.900000,38.000000,31.407383,2516600
2009-04-01,37.799999,46.400002,37.500000,44.900002,37.110310,3029200
2009-05-01,45.250000,50.099998,43.000000,49.900002,41.242863,2221500
2009-06-01,51.150002,56.849998,47.250000,50.400002,41.656105,2686600
2009-07-01,50.650002,54.250000,43.799999,52.599998,43.474430,2508900
2009-08-01,53.349998,54.599998,48.000000,49.299999,40.746948,1619400
