Date,Open,High,Low,Close,Adj Close,Volume
2005-03-01,null,null,null,null,null,null
2005-04-01,50.430000,50.650002,48.750000,49.650002,36.679691,128000
2005-05-01,50.299999,51.970001,49.740002,51.799999,38.268044,81500
2005-06-01,51.750000,53.169998,51.730000,52.919998,39.095467,116100
2005-07-01,52.730000,54.110001,52.279999,53.720001,39.882835,142700
2005-08-01,53.700001,54.090000,51.830002,52.490002,38.969677,172000
2005-09-01,52.549999,53.700001,51.700001,52.660000,39.095875,150900
2005-10-01,52.750000,54.000000,50.459999,53.639999,40.023792,215000
2005-11-01,53.770000,57.470001,53.410000,56.320000,42.023495,283100
2005-12-01,56.750000,57.220001,55.779999,56.009998,41.792187,339200
2006-01-01,56.150002,57.980000,55.709999,56.869999,42.750515,529300
2006-02-01,56.799999,58.619999,55.950001,57.970001,43.577435,164400
2006-03-01,58.180000,59.340000,57.500000,58.369999,43.878105,245200
2006-04-01,58.439999,60.320000,57.549999,60.090000,45.357254,222200
2006-05-01,60.150002,60.619999,57.009998,57.990002,43.772137,331800
2006-06-01,58.070000,59.200001,55.549999,57.680000,43.538132,201400
2006-07-01,58.000000,59.070000,56.060001,58.759998,44.591843,630100
2006-08-01,58.590000,59.820000,57.740002,59.619999,45.244480,382500
2006-09-01,59.630001,61.740002,58.970001,61.490002,46.663593,395400
2006-10-01,61.470001,63.560001,61.049999,63.110001,48.131710,634000
2006-11-01,63.299999,64.690002,62.000000,63.919998,48.749454,434300
2006-12-01,63.790001,65.930000,62.970001,65.500000,49.954487,399400
2007-01-01,65.739998,67.110001,64.500000,66.150002,50.788589,662100
2007-02-01,66.250000,67.680000,63.389999,64.230003,49.314476,1919700
2007-03-01,62.799999,65.330002,61.060001,63.439999,48.707909,629900
2007-04-01,63.320000,66.440002,62.810001,65.660004,50.601986,1024100
2007-05-01,65.860001,67.559998,65.320000,67.199997,51.788803,772900
2007-06-01,67.430000,67.599998,63.349998,63.849998,49.207085,418800
2007-07-01,64.339996,65.370003,58.759998,58.759998,45.555321,1735800
2007-08-01,58.889999,62.000000,55.930000,60.330002,46.772530,1647600
2007-09-01,60.009998,63.299999,57.950001,60.880001,47.198910,1075700
2007-10-01,61.290001,63.930000,57.330002,60.000000,46.855968,1699300
2007-11-01,57.939999,58.459999,51.000000,55.720001,43.513588,2958700
2007-12-01,56.099998,57.790001,51.270000,52.650002,41.116112,2869200
2008-01-01,52.939999,52.939999,43.480000,51.930000,40.866978,5178800
2008-02-01,52.310001,53.490002,46.959999,47.250000,37.183990,3425000
2008-03-01,47.000000,50.130001,42.080002,45.759998,36.011421,7090000
2008-04-01,47.070000,49.980000,45.029999,48.480000,38.373634,5108600
2008-05-01,48.570000,51.250000,45.250000,46.209999,36.576847,2790800
2008-06-01,46.119999,46.320000,38.009998,38.009998,30.086245,4478600
2008-07-01,38.349998,43.009998,32.320000,40.900002,32.628620,10317000
2008-08-01,41.000000,42.980000,37.779999,40.849998,32.588722,6740200
2008-09-01,41.779999,44.599998,34.450001,39.279999,31.336227,14041100
2008-10-01,38.669998,40.270000,23.320000,30.750000,24.733709,13293200
2008-11-01,30.690001,32.340000,18.139999,25.770000,20.728062,6156200
2008-12-01,24.889999,27.600000,21.530001,25.889999,20.824577,7918000
2009-01-01,25.770000,26.260000,17.990000,19.780001,16.177309,16218400
2009-02-01,19.230000,21.250000,15.260000,16.440001,13.445650,27085600
2009-03-01,15.840000,20.290001,13.070000,18.790001,15.367627,39259200
2009-04-01,18.290001,23.500000,18.240000,22.400000,18.379206,24473600
2009-05-01,22.379999,26.370001,21.930000,24.530001,20.126873,17264500
2009-06-01,24.830000,25.590000,22.959999,24.080000,19.757652,9069900
2009-07-01,24.160000,26.309999,22.020000,26.230000,21.635050,5568100
2009-08-01,26.780001,29.790001,26.580000,29.389999,24.241488,7667700
2009-09-01,29.200001,30.910000,27.610001,29.860001,24.629158,6447400
2009-10-01,29.730000,31.299999,27.950001,28.150000,23.313789,3909800
2009-11-01,28.309999,30.059999,27.580000,29.260000,24.233093,5640900
2009-12-01,29.400000,29.809999,28.450001,29.040001,24.050882,6284200
2010-01-01,29.309999,30.680000,28.400000,28.780001,23.993711,4397000
2010-02-01,28.940001,29.930000,27.459999,29.790001,24.835745,3403700
2010-03-01,29.879999,33.160000,29.790001,32.430000,27.036695,3166600
2010-04-01,32.720001,34.840000,32.490002,33.200001,27.705091,4635300
2010-05-01,33.470001,33.830002,13.070000,30.270000,25.260036,7421700
2010-06-01,29.950001,30.959999,28.150000,28.219999,23.549324,4088000
2010-07-01,28.170000,30.799999,27.320000,30.180000,25.273867,3302500
2010-08-01,30.620001,30.910000,27.330000,27.889999,23.356129,3183200
2010-09-01,28.270000,30.760000,28.270000,29.620001,24.804899,3900400
2010-10-01,29.830000,30.910000,29.540001,30.190001,25.375675,2426600
2010-11-01,30.250000,32.330002,29.830000,29.940001,25.165546,2173500
2010-12-01,30.340000,33.209999,30.309999,32.880001,27.636711,3871500
2011-01-01,33.299999,34.360001,32.980000,33.669998,28.465170,4984800
