Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,20.299999,20.790001,20.260000,20.350000,9.602902,91900
2008-02-01,20.350000,22.639999,19.799999,20.230000,9.546269,2076300
2008-03-01,20.809999,21.389999,17.350000,19.260000,9.141417,1084000
2008-04-01,19.250000,19.799999,18.959999,19.580000,9.350830,1944200
2008-05-01,19.540001,20.500000,19.010000,19.230000,9.239783,1984000
2008-06-01,19.230000,19.400000,17.010000,17.360001,8.392233,1479900
2008-07-01,17.400000,17.400000,12.070000,16.629999,8.091451,2651200
2008-08-01,16.750000,17.049999,14.980000,16.549999,8.117647,6105700
2008-09-01,16.540001,16.760000,9.180000,12.140000,5.997995,5009000
2008-10-01,12.300000,13.740000,8.000000,12.830000,6.385977,8155100
2008-11-01,12.880000,17.500000,9.000000,11.460000,5.739371,5683900
2008-12-01,11.300000,12.800000,11.000000,12.430000,6.290691,8403800
2009-01-01,12.600000,13.910000,9.790000,11.070000,5.659744,12002400
2009-02-01,10.870000,10.960000,6.500000,8.300000,4.277437,10933300
2009-03-01,8.080000,10.170000,6.090000,9.720000,5.055286,12196900
2009-04-01,9.670000,10.880000,9.430000,10.710000,5.628976,8571100
2009-05-01,10.740000,12.200000,10.600000,12.000000,6.356862,9186400
2009-06-01,12.180000,12.570000,11.750000,12.270000,6.552052,8749900
2009-07-01,12.390000,13.320000,12.050000,13.130000,7.057805,8769600
2009-08-01,13.270000,13.650000,12.510000,12.790000,6.920452,14916000
2009-09-01,12.700000,13.730000,12.580000,13.530000,7.366964,10868300
2009-10-01,13.550000,13.630000,12.950000,13.070000,7.160472,10100600
2009-11-01,13.020000,13.350000,11.800000,13.210000,7.280283,8600700
2009-12-01,13.260000,13.620000,13.200000,13.550000,7.513130,8643500
2010-01-01,13.630000,13.780000,13.480000,13.500000,7.565721,8951400
2010-02-01,13.530000,13.840000,13.450000,13.840000,7.801627,8780200
2010-03-01,13.870000,14.100000,13.830000,13.950000,7.908826,12267200
2010-04-01,13.960000,13.980000,13.740000,13.830000,7.883878,9939100
2010-05-01,13.840000,13.850000,12.100000,13.410000,7.688027,12877300
2010-06-01,13.400000,13.760000,13.280000,13.570000,7.824629,8070700
2010-07-01,13.610000,14.090000,13.470000,14.070000,8.158288,12582900
2010-08-01,14.100000,14.400000,14.010000,14.360000,8.373499,16900900
2010-09-01,14.500000,14.590000,14.350000,14.460000,8.478815,16363500
2010-10-01,14.470000,14.530000,14.170000,14.310000,8.436275,12260100
2010-11-01,14.330000,14.410000,14.120000,14.250000,8.447638,10938300
2010-12-01,14.300000,14.330000,13.800000,14.120000,8.413282,11552700
2011-01-01,14.160000,14.190000,14.010000,14.090000,8.453750,8760600
2011-02-01,14.140000,14.250000,14.110000,14.180000,8.555041,7921200
2011-03-01,14.220000,14.390000,14.090000,14.350000,8.705358,9246000
2011-04-01,14.410000,14.450000,14.200000,14.440000,8.809307,8115200
2011-05-01,14.470000,14.530000,14.380000,14.440000,8.858763,8091200
2011-06-01,14.450000,14.450000,14.090000,14.340000,8.844896,8821900
2011-07-01,14.390000,14.440000,14.000000,14.060000,8.719688,9307400
2011-08-01,14.140000,14.230000,12.380000,14.100000,8.790985,16797800
2011-09-01,14.090000,14.250000,13.310000,13.580000,8.513666,8458400
2011-10-01,13.640000,14.090000,12.980000,14.000000,8.827511,9488800
2011-11-01,13.830000,14.040000,13.460000,13.660000,8.660542,10487700
2011-12-01,13.630000,13.860000,13.540000,13.690000,8.725881,8022400
2012-01-01,13.800000,14.250000,13.750000,14.230000,9.120371,10205100
2012-02-01,14.270000,14.460000,14.230000,14.440000,9.307776,11065900
2012-03-01,14.490000,14.540000,14.300000,14.370000,9.314654,12324100
2012-04-01,14.320000,14.420000,14.220000,14.370000,9.366476,10793100
2012-05-01,14.350000,14.490000,13.850000,14.230000,9.326357,13410300
2012-06-01,14.150000,14.620000,14.110000,14.520000,9.570557,14099800
2012-07-01,14.550000,14.760000,14.550000,14.730000,9.764049,17861600
2012-08-01,14.740000,14.840000,14.640000,14.800000,9.864136,15921600
2012-09-01,14.800000,14.890000,14.700000,14.780000,9.902387,14947100
2012-10-01,14.790000,14.930000,14.770000,14.840000,9.995732,15826900
2012-11-01,14.860000,14.890000,14.450000,14.780000,10.006248,18675300
2012-12-01,14.780000,14.790000,14.590000,14.680000,9.992543,17461200
2013-01-01,14.720000,14.920000,14.700000,14.790000,10.121125,25180700
2013-02-01,14.810000,14.850000,14.760000,14.840000,10.208820,20973000
2013-03-01,14.820000,14.910000,14.790000,14.880000,10.290387,21056000
2013-04-01,14.890000,14.990000,14.830000,14.980000,10.414098,25117000
2013-05-01,14.980000,15.120000,14.690000,14.690000,10.265536,36911000
2013-06-01,14.670000,14.670000,13.680000,14.270000,10.022081,42572700
2013-07-01,14.390000,14.390000,13.960000,14.070000,9.933752,24200500
2013-08-01,14.070000,14.090000,12.760000,13.760000,9.767051,30468300
2013-09-01,13.770000,13.810000,13.550000,13.690000,9.771217,16680600
2013-10-01,13.660000,13.850000,13.460000,13.790000,9.897657,20701500
2013-11-01,13.820000,13.820000,13.590000,13.780000,9.944509,13996400
2013-12-01,13.780000,13.780000,13.340000,13.440000,9.751873,27250100
