Date,Open,High,Low,Close,Adj Close,Volume
2012-03-01,20.049999,20.049999,19.940001,19.940001,16.773388,4000
2012-04-01,20.040001,20.250000,19.930000,20.240000,17.025753,50200
2012-05-01,20.240000,20.400000,19.969999,20.320000,17.093048,51700
2012-06-01,20.340000,20.530001,20.190001,20.420000,17.215433,75600
2012-07-01,20.580000,21.020000,20.440001,21.020000,17.770245,303000
2012-08-01,20.930000,21.010000,20.500000,20.969999,17.773247,253700
2012-09-01,20.940001,21.160000,20.799999,21.139999,17.966030,115400
2012-10-01,21.120001,21.440001,21.110001,21.370001,18.200583,129300
2012-11-01,21.389999,21.420000,21.260000,21.400000,18.268476,86200
2012-12-01,21.320000,21.750000,21.219999,21.290001,18.224026,223400
2013-01-01,21.379999,21.379999,21.049999,21.100000,18.174557,454300
2013-02-01,21.110001,21.299999,20.959999,21.260000,18.312370,333500
2013-03-01,21.260000,21.299999,21.010000,21.299999,18.392143,216500
2013-04-01,21.250000,21.620001,21.209999,21.600000,18.685471,299300
2013-05-01,21.620001,21.629999,20.889999,20.900000,18.119051,1288000
2013-06-01,20.959999,20.990000,19.959999,20.340000,17.674482,419500
2013-07-01,20.309999,20.600000,20.059999,20.510000,17.852100,488800
2013-08-01,20.410000,20.510000,20.010000,20.299999,17.706745,710800
2013-09-01,20.190001,20.510000,19.980000,20.459999,17.882921,631800
2013-10-01,20.420000,20.850000,20.340000,20.760000,18.186350,236200
2013-11-01,20.709999,20.799999,20.450001,20.690001,18.164972,439800
2013-12-01,20.670000,20.799999,20.480000,20.540001,18.073334,876600
2014-01-01,20.590000,21.049999,20.540001,20.910000,18.439453,986700
2014-02-01,20.870001,21.120001,20.799999,21.030001,18.545279,763900
2014-03-01,20.959999,21.100000,20.750000,20.879999,18.451202,834300
2014-04-01,20.830000,21.100000,20.770000,21.040001,18.631664,696900
2014-05-01,21.010000,21.290001,20.950001,21.230000,18.841782,860900
2014-06-01,21.139999,21.299999,21.020000,21.260000,18.909304,913700
2014-07-01,21.180000,21.270000,21.049999,21.120001,18.825663,969100
2014-08-01,21.129999,21.360001,21.120001,21.309999,19.038902,633300
2014-09-01,21.309999,22.290001,20.990000,21.080000,18.875420,3605100
2014-10-01,21.070000,21.629999,21.000000,21.150000,18.976843,1680900
2014-11-01,21.100000,21.280001,21.020000,21.209999,19.069296,1604000
2014-12-01,21.250000,21.250000,20.910000,21.090000,19.002464,1260900
2015-01-01,21.030001,21.530001,20.959999,21.520000,19.473820,2363300
2015-02-01,21.510000,21.520000,21.200001,21.420000,19.383316,1958000
2015-03-01,21.389999,22.219999,21.150000,21.500000,19.492853,2398100
2015-04-01,21.510000,21.620001,21.410000,21.480000,19.511158,1911800
2015-05-01,21.430000,21.469999,21.280001,21.440001,19.516577,1261900
2015-06-01,21.420000,21.420000,21.090000,21.230000,19.363276,2421400
2015-07-01,21.160000,21.320000,21.090000,21.260000,19.428703,2375600
2015-08-01,21.120001,21.340000,20.950001,21.150000,19.369240,1825600
2015-09-01,21.120001,21.340000,21.080000,21.280001,19.527792,2772700
2015-10-01,21.230000,21.490000,21.139999,21.230000,19.521778,1842800
2015-11-01,21.180000,21.200001,21.000000,21.160000,19.493956,1754000
2015-12-01,21.150000,21.180000,20.830000,20.889999,19.282457,3367100
2016-01-01,20.889999,21.440001,20.830000,21.020000,19.490664,3921400
2016-02-01,20.889999,21.059999,20.830000,21.030001,19.499933,2572000
2016-03-01,20.990000,21.400000,20.870001,21.400000,19.877998,3347800
2016-04-01,21.309999,21.520000,21.270000,21.520000,20.029476,4022400
2016-05-01,21.480000,21.570000,21.330000,21.440001,19.994259,2614600
2016-06-01,21.360001,21.740000,21.360001,21.709999,20.282803,3469600
2016-07-01,21.680000,21.790001,21.610001,21.760000,20.369419,2385500
2016-08-01,21.709999,21.790001,21.610001,21.690001,20.339504,2916100
2016-09-01,21.660000,21.750000,21.540001,21.709999,20.392927,2397100
2016-10-01,21.670000,21.680000,21.530001,21.580000,20.309395,2214800
2016-11-01,21.540001,21.610001,21.150000,21.190001,19.977318,4403700
2016-12-01,21.190001,21.309999,21.070000,21.200001,20.019215,4528000
2017-01-01,21.230000,21.360001,21.190001,21.340000,20.236372,6512200
2017-02-01,21.270000,21.440001,21.219999,21.389999,20.283781,5366700
2017-03-01,21.309999,21.420000,21.209999,21.389999,20.323780,5457700
2017-04-01,21.370001,21.500000,21.340000,21.430000,20.392296,3812500
2017-05-01,21.389999,21.559999,21.360001,21.520000,20.511503,4674000
2017-06-01,21.480000,21.570000,21.440001,21.480000,20.504951,3038400
