Date,Open,High,Low,Close,Adj Close,Volume
2011-07-01,20.200001,20.580000,18.600000,18.860001,18.364178,4881100
2011-08-01,19.250000,19.250000,15.010000,17.070000,16.621241,2288900
2011-09-01,17.059999,17.320000,15.700000,15.940000,15.520946,1076100
2011-10-01,15.760000,18.980000,15.190000,18.549999,18.062330,1319300
2011-11-01,18.150000,19.150000,16.799999,17.990000,17.517056,746000
2011-12-01,18.030001,18.730000,16.639999,17.200001,16.747826,775600
2012-01-01,17.500000,19.250000,17.040001,18.969999,18.486000,917600
2012-02-01,19.010000,20.730000,18.889999,20.420000,19.899004,1043800
2012-03-01,20.500000,21.570000,19.709999,21.360001,20.815025,1411300
2012-04-01,21.420000,21.629999,19.850000,20.480000,19.957478,1325600
2012-05-01,20.549999,20.790001,17.820000,18.059999,17.599218,1474700
2012-06-01,17.660000,18.830000,17.330000,18.690001,18.213144,707500
2012-07-01,18.730000,19.049999,17.059999,17.910000,17.453045,614900
2012-08-01,17.990000,19.530001,17.370001,19.309999,18.817326,615400
2012-09-01,19.299999,20.559999,19.120001,19.879999,19.372789,609000
2012-10-01,19.959999,20.070000,18.200001,18.590000,18.115700,645900
2012-11-01,18.610001,19.209999,17.900000,19.120001,18.632175,499100
2012-12-01,19.200001,20.280001,18.600000,19.870001,19.363035,743400
2013-01-01,20.660000,22.100000,20.139999,21.330000,20.788895,960200
2013-02-01,21.580000,21.700001,20.590000,20.980000,20.447769,898700
2013-03-01,20.889999,21.780001,20.780001,21.200001,20.662193,468700
2013-04-01,21.260000,21.260000,19.639999,21.040001,20.506250,854600
2013-05-01,20.990000,22.379999,20.959999,21.719999,21.168999,564000
2013-06-01,21.709999,21.830000,20.219999,21.150000,20.613453,638400
2013-07-01,21.370001,23.610001,21.139999,23.450001,22.855106,700500
2013-08-01,23.629999,24.049999,22.860001,23.049999,22.465256,765600
2013-09-01,23.270000,25.350000,23.270000,24.639999,24.014921,899900
2013-10-01,24.680000,25.840000,23.500000,24.930000,24.297562,1542700
2013-11-01,25.030001,25.510000,24.549999,25.280001,24.638683,921300
2013-12-01,25.379999,26.690001,24.750000,26.549999,25.876461,1026200
2014-01-01,26.480000,27.610001,26.049999,26.809999,26.129873,1643500
2014-02-01,26.830000,28.639999,25.879999,28.230000,27.513849,1811600
2014-03-01,27.980000,28.850000,26.559999,27.040001,26.354038,4463000
2014-04-01,27.170000,27.600000,24.809999,25.790001,25.135744,2696800
2014-05-01,25.969999,26.820000,24.750000,26.510000,25.837484,1242600
2014-06-01,26.510000,27.530001,26.030001,27.040001,26.354038,1166400
2014-07-01,27.070000,27.620001,26.309999,26.770000,26.100533,1195200
2014-08-01,26.740000,28.200001,26.350000,27.990000,27.290024,1271400
2014-09-01,28.059999,28.379999,26.920000,27.400000,26.714777,1533200
2014-10-01,27.420000,27.549999,24.820000,27.469999,26.788887,1646500
2014-11-01,27.530001,28.549999,27.320000,28.410000,27.705578,980300
2014-12-01,28.400000,29.459999,26.950001,28.450001,27.744583,952500
2015-01-01,28.680000,28.709999,27.000000,27.590000,26.934771,2287500
