Date,Open,High,Low,Close,Adj Close,Volume
2007-04-01,74.959999,75.379997,74.879997,75.349998,58.446735,1633100
2007-05-01,75.379997,75.379997,73.680000,75.050003,58.214046,958800
2007-06-01,74.699997,75.019997,74.440002,74.970001,58.220020,933800
2007-07-01,74.760002,75.440002,74.529999,75.360001,58.723141,1284700
2007-08-01,75.129997,76.209999,74.900002,75.930000,59.381996,1171500
2007-09-01,75.650002,76.250000,75.559998,76.129997,59.747726,874700
2007-10-01,76.029999,76.650002,75.540001,76.260002,60.077602,959700
2007-11-01,76.059998,78.320000,76.059998,77.400002,61.183796,954400
2007-12-01,77.400002,77.750000,76.410004,77.050003,61.130009,1147900
2008-01-01,77.150002,79.139999,77.120003,78.800003,62.963036,1696400
2008-02-01,79.430000,79.430000,78.120003,79.139999,63.234741,2016100
2008-03-01,78.980003,79.269997,78.419998,79.029999,63.364758,1449700
2008-04-01,78.599998,80.000000,77.709999,78.320000,62.992123,1883800
2008-05-01,78.199997,78.260002,77.250000,77.489998,62.531052,1955600
2008-06-01,77.370003,79.250000,76.510002,77.370003,62.624527,1950000
2008-07-01,76.989998,77.599998,76.610001,77.459999,62.897060,1847800
2008-08-01,78.900002,78.900002,76.949997,77.559998,63.169315,2187600
2008-09-01,77.260002,79.400002,76.550003,77.150002,63.031460,3021400
2008-10-01,78.099998,78.110001,68.290001,75.379997,61.772564,3474300
2008-11-01,75.839996,78.529999,74.720001,78.349998,64.390053,2307100
2008-12-01,78.449997,80.959999,77.779999,80.550003,66.411270,3008200
2009-01-01,80.239998,80.639999,78.500000,79.669998,66.060753,2937900
2009-02-01,79.540001,79.620003,78.190002,78.669998,65.231544,4130200
2009-03-01,78.559998,79.660004,77.800003,78.800003,65.521149,4924000
2009-04-01,78.629997,79.459999,78.099998,78.940002,65.798080,3951800
2009-05-01,78.760002,81.589996,78.500000,79.269997,66.241302,4133200
2009-06-01,79.050003,79.220001,78.110001,79.070000,66.236099,5431200
2009-07-01,78.820000,79.660004,78.699997,79.570000,66.816811,5762300
2009-08-01,79.349998,79.879997,78.830002,79.849998,67.203171,6914900
2009-09-01,79.809998,80.139999,79.550003,80.050003,67.526848,8876000
2009-10-01,80.099998,80.320000,79.639999,80.059998,67.685310,9212100
2009-11-01,79.940002,80.680000,79.750000,80.559998,68.249573,8934100
2009-12-01,80.550003,80.550003,79.360001,79.540001,67.526276,10957800
2010-01-01,79.669998,80.339996,79.510002,80.339996,68.490730,8453300
2010-02-01,80.169998,80.440002,79.959999,80.400002,68.541878,10772200
2010-03-01,80.300003,80.349998,79.809998,80.000000,68.339539,11921500
2010-04-01,79.860001,80.239998,79.449997,80.199997,68.634132,10608400
2010-05-01,80.059998,81.000000,79.949997,80.370003,68.962349,9529800
2010-06-01,80.330002,81.019997,80.190002,81.019997,69.654778,10809400
2010-07-01,80.849998,81.449997,80.699997,81.430000,70.142479,11932200
2010-08-01,81.290001,81.739998,81.199997,81.669998,70.477974,9719300
2010-09-01,81.570000,81.809998,81.199997,81.750000,70.676353,10135600
2010-10-01,81.599998,82.000000,81.580002,81.980003,71.002930,8507000
2010-11-01,81.830002,82.059998,81.220001,81.510002,70.719604,10396500
2010-12-01,81.180000,81.330002,80.070000,80.459999,69.933167,12596900
