Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,50.549999,50.549999,47.130001,49.349998,49.349998,22700
2014-08-01,49.360001,49.459999,42.750000,43.090000,43.090000,47000
2014-09-01,44.669998,49.730000,44.669998,46.139999,46.139999,30400
2014-10-01,45.070000,45.070000,31.889999,41.200001,41.200001,57200
2014-11-01,41.200001,41.599998,37.599998,37.599998,37.599998,10000
2014-12-01,37.700001,39.349998,33.529999,35.259998,35.259998,51900
2015-01-01,35.209999,35.209999,24.570000,24.570000,24.570000,141900
2015-02-01,25.610001,34.000000,25.610001,31.690001,31.690001,80100
2015-03-01,31.700001,37.070000,28.100000,29.650000,29.650000,109100
2015-04-01,28.709999,33.695000,27.790001,33.000000,33.000000,56600
2015-05-01,33.150002,38.279999,33.150002,34.160000,34.160000,127800
2015-06-01,34.400002,41.919998,34.400002,38.632999,38.632999,127700
2015-07-01,39.970001,40.840000,32.599998,32.740002,32.740002,86900
2015-08-01,32.080002,34.119999,26.190001,33.320000,33.320000,64000
2015-09-01,33.250000,35.500000,30.129999,30.353001,30.353001,25000
2015-10-01,30.100000,32.070000,27.750000,32.000000,32.000000,23300
2015-11-01,32.060001,35.779999,32.060001,33.250000,33.250000,18100
2015-12-01,33.250000,34.495998,30.150000,32.992001,32.992001,27800
2016-01-01,32.169998,32.169998,25.590000,25.750000,25.750000,14300
2016-02-01,26.020000,26.379999,19.580000,23.055000,23.055000,31000
2016-03-01,24.040001,25.730000,23.070000,23.750000,23.750000,13600
2016-04-01,23.304001,25.299999,21.790001,25.280001,25.280001,64800
2016-05-01,24.462999,24.462999,22.100000,23.750000,23.750000,20900
2016-06-01,22.700001,22.930000,16.000000,16.950001,16.950001,105500
2016-07-01,15.600000,17.590000,14.900000,16.680000,16.680000,33800
2016-08-01,16.680000,17.677999,16.285000,17.379999,17.379999,30600
2016-09-01,17.379999,19.480000,17.010000,17.777000,17.777000,19000
2016-10-01,17.610001,21.160000,17.610001,20.900000,20.900000,18600
2016-11-01,21.100000,27.660000,19.889999,27.490000,27.490000,86800
2016-12-01,28.100000,29.726000,26.530001,29.049999,29.049999,62000
2017-01-01,27.709999,28.358999,24.211000,26.860001,26.860001,32300
2017-02-01,27.780001,28.150000,25.075001,25.400000,25.400000,52600
2017-03-01,26.910000,29.632999,25.680000,25.969999,25.969999,22600
2017-04-01,25.969999,25.969999,22.590000,25.000000,25.000000,7300
2017-05-01,25.000000,26.570000,22.980000,23.200001,23.200001,11300
2017-06-01,23.042000,23.042000,20.416000,22.400000,22.400000,18900
2017-07-01,23.270000,24.139999,22.021999,23.120001,23.120001,11900
2017-08-01,22.719999,22.760000,20.059999,20.540001,20.540001,22300
2017-09-01,20.580000,22.940001,19.302000,22.507000,22.507000,39500
2017-10-01,22.507000,24.000000,22.030001,22.830000,22.830000,15200
2017-11-01,22.490000,22.950001,21.650000,22.000000,22.000000,10400
2017-12-01,21.799999,23.379999,21.139999,21.966000,21.966000,8500
2018-01-01,21.966000,26.030001,21.966000,25.097000,25.097000,49700
2018-02-01,26.090000,28.950001,23.360001,28.500000,28.500000,79400
2018-03-01,28.490000,28.860001,25.080000,25.236000,25.236000,64500
2018-04-01,25.770000,29.299999,24.959999,28.355000,28.355000,12400
2018-05-01,28.360001,30.679001,23.680000,25.750000,25.750000,69000
2018-06-01,26.896000,28.340000,25.180000,25.180000,25.180000,41800
2018-07-01,25.180000,28.200001,24.990000,28.045000,28.045000,11800
2018-08-01,28.340000,28.500000,25.139999,25.930000,25.930000,54400
2018-09-01,26.670000,29.860001,26.150999,28.760000,28.760000,30200
2018-10-01,29.365999,32.731998,28.620001,31.170000,31.170000,97500
2018-11-01,31.430000,32.669998,28.799999,29.458000,29.458000,70900
2018-12-01,28.910000,28.950001,23.014999,23.506001,23.506001,91300
2019-01-01,23.475000,25.620001,21.730000,23.549999,23.549999,24800
2019-02-01,23.549999,24.570000,22.775000,24.570000,24.570000,26100
2019-03-01,24.969999,25.980000,20.350000,20.773001,20.773001,83700
